Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.72258E-7,0.000017226,0.001413378,1,0,0
1.7468E-7,0.000034694,0.001433242,0.999920446,0,0
2.37137E-7,0.000058408,0.001945196,0.999840891,0,0
2.66403E-7,0.000108952,0.002184997,0.999681782,0,0
4.95769E-7,0.000283071,0.004062395,0.999363564,0,0
6.1221E-7,0.000512457,0.005014135,0.999045346,0,0
7.48291E-7,0.001052889,0.006125246,0.99840891,0,0
1.2444E-6,0.002543175,0.010165542,0.997215593,0,0
1.65309E-6,0.005084146,0.013481491,0.995863166,0,0
2.04743E-6,0.010031477,0.016670584,0.993715195,0,0
2.95752E-6,0.025196058,0.02399119,0.988862371,0,0
3.98615E-6,0.050254361,0.032199739,0.983054893,0,0
5.27455E-6,0.100374424,0.042383995,0.974542562,0,0
6.94427E-6,0.200434751,0.055423081,0.96141607,0.00036245,0
7.9686E-6,0.300048674,0.063334226,0.950835322,0.0007249,0
8.49539E-6,0.400768713,0.067376913,0.941129674,0.001812251,0
8.9676E-6,0.500568331,0.070985883,0.932060461,0.002537151,0
9.34395E-6,0.600459239,0.07385226,0.923389021,0.003262051,0
9.75745E-6,0.700854185,0.076991404,0.9150358,0.003624502,0
9.93225E-6,0.750084276,0.078315144,0.911058075,0.003986952,0
1.01393E-5,0.800248597,0.079881082,0.90708035,0.004711852,0
1.05165E-5,0.900422451,0.082726306,0.899363564,0.005074302,0
1.09376E-5,1.000176657,0.085892322,0.891964996,0.005436752,0
1.12713E-5,1.100156757,0.088393473,0.884805091,0.006886553,0
1.16103E-5,1.200884576,0.090927246,0.877804296,0.006886553,0
1.19798E-5,1.301104426,0.093681047,0.871042164,0.007611453,0
1.22773E-5,1.40059237,0.095892075,0.864518695,0.007611453,0
1.25925E-5,1.500046472,0.098229185,0.858154336,0.007611453,0
1.34067E-5,1.750047551,0.104237851,0.842879873,0.008698804,0
1.42415E-5,2.000248069,0.110356169,0.828480509,0.010511055,0
1.50922E-5,2.251474718,0.116549082,0.814876691,0.012323306,0
1.59947E-5,2.501188236,0.123071143,0.802147971,0.012323306,0
1.68116E-5,2.750630812,0.128933799,0.790055688,0.012685756,0
1.76526E-5,3.000401685,0.134927569,0.778520286,0.012685756,0.003267974
1.83538E-5,3.2505019,0.139894387,0.767462212,0.012685756,0.003267974
1.91028E-5,3.501750947,0.145167674,0.756801909,0.013773106,0.003267974
1.97449E-5,3.751955442,0.149662199,0.746539379,0.015222907,0.003267974
2.04902E-5,4.001240307,0.154850311,0.736674622,0.016672708,0.003267974
2.12455E-5,4.251816309,0.160075202,0.727128083,0.016672708,0.003267974
2.21362E-5,4.500946011,0.1661958,0.717979316,0.016672708,0.003267974
2.29106E-5,4.751081112,0.171480566,0.709148767,0.017035158,0.003267974
2.35427E-5,5.002350296,0.175769101,0.700556881,0.017760058,0.003267974
2.4508E-5,5.250384269,0.18227632,0.692362768,0.018484958,0.003267974
2.54723E-5,5.500404827,0.188725391,0.684407319,0.018484958,0.003267974
2.61801E-5,5.751060832,0.193426134,0.676690533,0.019572309,0.003267974
2.69822E-5,6.000933513,0.198720938,0.669212411,0.019572309,0.006535948
2.7802E-5,6.250058171,0.204096767,0.661972951,0.02210946,0.006535948
2.85975E-5,6.501186228,0.209278196,0.654892601,0.023559261,0.006535948
2.92546E-5,6.752754613,0.213533057,0.64797136,0.025733962,0.006535948
2.99086E-5,7.000915082,0.2177449,0.641288783,0.027546212,0.006535948
3.06399E-5,7.252252841,0.222427917,0.63468576,0.028633563,0.013071895
3.12629E-5,7.500135751,0.22639515,0.6283214,0.029720913,0.016339869
3.19047E-5,7.752526212,0.230460872,0.621957041,0.032982965,0.016339869
3.27367E-5,8.001207019,0.235700387,0.615831344,0.034070315,0.019607843
3.33904E-5,8.252675358,0.239791308,0.609785203,0.036607466,0.022875817
3.40492E-5,8.502257339,0.243892949,0.60389817,0.040956868,0.022875817
3.47997E-5,8.75045146,0.248537495,0.598170247,0.041319319,0.022875817
3.56298E-5,9.000359746,0.253642262,0.592521877,0.04385647,0.026143791
3.61892E-5,9.251621647,0.257062045,0.586953063,0.045668721,0.026143791
3.68762E-5,9.50020054,0.261241547,0.581543357,0.047480971,0.032679739
