variable,x,y
bathy,-5676.4,4.767493373947218E-5
bathy,-5662.4944,4.767493373947218E-5
bathy,-5648.5887999999995,4.767493373947218E-5
bathy,-5634.6831999999995,4.767493373947218E-5
bathy,-5620.777599999999,4.767493373947218E-5
bathy,-5606.871999999999,4.767493373947218E-5
bathy,-5592.966399999999,4.767493373947218E-5
bathy,-5579.060799999999,4.767493373947218E-5
bathy,-5565.155199999999,4.767493373947218E-5
bathy,-5551.249599999999,4.767493373947218E-5
bathy,-5537.344,4.767493373947218E-5
bathy,-5523.4384,4.767493373947218E-5
bathy,-5509.5328,4.767493373947218E-5
bathy,-5495.6272,4.767493373947218E-5
bathy,-5481.7216,4.767493373947218E-5
bathy,-5467.816,4.767493373947218E-5
bathy,-5453.9104,4.767493373947218E-5
bathy,-5440.0048,4.767493373947218E-5
bathy,-5426.0992,4.767493373947218E-5
bathy,-5412.1936,4.767493373947218E-5
bathy,-5398.288,4.767493373947218E-5
bathy,-5384.3823999999995,4.767493373947218E-5
bathy,-5370.4767999999995,4.767493373947218E-5
bathy,-5356.571199999999,4.767493373947218E-5
bathy,-5342.665599999999,4.767493373947218E-5
bathy,-5328.759999999999,4.767493373947218E-5
bathy,-5314.854399999999,4.767493373947218E-5
bathy,-5300.9488,4.767493373947218E-5
bathy,-5287.0432,4.767493373947218E-5
bathy,-5273.1376,4.767493373947218E-5
bathy,-5259.232,4.767493373947218E-5
bathy,-5245.3264,4.767493373947218E-5
bathy,-5231.4208,4.767493373947218E-5
bathy,-5217.5152,4.767493373947218E-5
bathy,-5203.6096,4.767493373947218E-5
bathy,-5189.704,4.767493373947218E-5
bathy,-5175.7984,4.767493373947218E-5
bathy,-5161.8928,4.767493373947218E-5
bathy,-5147.9872,4.767493373947218E-5
bathy,-5134.0815999999995,4.767493373947218E-5
bathy,-5120.1759999999995,4.767493373947218E-5
bathy,-5106.270399999999,4.767493373947218E-5
bathy,-5092.364799999999,4.8750665882835165E-5
bathy,-5078.459199999999,5.212570249568671E-5
bathy,-5064.553599999999,5.573426096816547E-5
bathy,-5050.648,5.959277768852189E-5
bathy,-5036.742399999999,6.371842027874663E-5
bathy,-5022.8368,6.812952051404864E-5
bathy,-5008.9312,7.284616731340066E-5
bathy,-4995.0256,7.7889344538562E-5
bathy,-4981.12,8.328147669089958E-5
bathy,-4967.2144,8.904709829948843E-5
bathy,-4953.3088,9.521187894279137E-5
bathy,-4939.4032,1.0180321260122582E-4
bathy,-4925.4976,1.0885110532399267E-4
bathy,-4911.592,1.1638693104032427E-4
bathy,-4897.6864,1.2444416643120348E-4
bathy,-4883.7807999999995,1.3305951142683625E-4
bathy,-4869.8751999999995,1.336143322987482E-4
bathy,-4855.969599999999,1.3331968511920422E-4
bathy,-4842.063999999999,1.3302569277584553E-4
bathy,-4828.1584,1.327323552686721E-4
bathy,-4814.252799999999,1.3243965804576874E-4
bathy,-4800.3472,1.3214761565905064E-4
bathy,-4786.4416,1.3185619900468737E-4
bathy,-4772.536,1.3156543718650937E-4
bathy,-4758.6304,1.1923276906600222E-4
bathy,-4744.7248,1.068759520421736E-4
bathy,-4730.8192,9.580011101206765E-5
bathy,-4716.9136,8.587176125729457E-5
bathy,-4703.008,7.697234104853123E-5
bathy,-4689.1024,6.899549043737352E-5
bathy,-4675.1968,6.184507219586521E-5
bathy,-4661.2912,5.543568840948865E-5
bathy,-4647.3856,4.96907377964817E-5
bathy,-4633.48,4.4540982344187796E-5
bathy,-4619.5743999999995,3.995681254309602E-5
bathy,-4605.6687999999995,3.630957507994026E-5
bathy,-4591.763199999999,3.4468630474293604E-5
bathy,-4577.857599999999,3.3289466955466196E-5
bathy,-4563.951999999999,3.264911720179953E-5
bathy,-4550.046399999999,3.287397339590825E-5
bathy,-4536.140799999999,3.3377033105352893E-5
bathy,-4522.2352,3.404231392778456E-5
bathy,-4508.3296,3.4800104913301766E-5
bathy,-4494.424,3.5574765206547454E-5
bathy,-4480.5184,3.636664405348711E-5
bathy,-4466.6128,3.717617437359877E-5
bathy,-4452.7072,3.8003727240720764E-5
bathy,-4438.8016,3.884967009071261E-5
bathy,-4424.896,3.971447586081922E-5
bathy,-4410.9904,4.0598533814772964E-5
bathy,-4397.0848,4.1502236854285E-5
bathy,-4383.1792,4.2426087020430714E-5
bathy,-4369.2735999999995,4.3370502680772915E-5
bathy,-4355.368,4.4335909478832036E-5
bathy,-4341.4624,4.532283855951391E-5
bathy,-4327.556799999999,4.633174103219062E-5
bathy,-4313.6512,4.736306073027663E-5
bathy,-4299.7456,4.8417376092402264E-5
bathy,-4285.84,4.9495163693791255E-5
bathy,-4271.9344,5.059690010966733E-5
bathy,-4258.0288,5.172320015844889E-5
bathy,-4244.1232,5.287457679514773E-5
bathy,-4230.2176,5.405153569881804E-5
bathy,-4216.312,5.5254738981602713E-5
bathy,-4202.4064,5.648472506436519E-5
bathy,-4188.5008,5.774204691988416E-5
bathy,-4174.5952,5.9027403040090576E-5
bathy,-4160.6896,6.034137186361477E-5
bathy,-4146.784,6.168454274302348E-5
bathy,-4132.8784,6.305765418801457E-5
bathy,-4118.9728,6.446133920690045E-5
