variable,x,y
bathy,-5676.4,1.6928055265452713E-4
bathy,-5662.4944,1.6928055265452713E-4
bathy,-5648.5887999999995,1.6928055265452713E-4
bathy,-5634.6831999999995,1.6928055265452713E-4
bathy,-5620.777599999999,1.6928055265452713E-4
bathy,-5606.871999999999,1.6928055265452713E-4
bathy,-5592.966399999999,1.6928055265452713E-4
bathy,-5579.060799999999,1.6928055265452713E-4
bathy,-5565.155199999999,1.6928055265452713E-4
bathy,-5551.249599999999,1.6928055265452713E-4
bathy,-5537.344,1.6928055265452713E-4
bathy,-5523.4384,1.6928055265452713E-4
bathy,-5509.5328,1.6928055265452713E-4
bathy,-5495.6272,1.6928055265452713E-4
bathy,-5481.7216,1.6928055265452713E-4
bathy,-5467.816,1.6928055265452713E-4
bathy,-5453.9104,1.6928055265452713E-4
bathy,-5440.0048,1.6928055265452713E-4
bathy,-5426.0992,1.6928055265452713E-4
bathy,-5412.1936,1.6928055265452713E-4
bathy,-5398.288,1.6928055265452713E-4
bathy,-5384.3823999999995,1.6928055265452713E-4
bathy,-5370.4767999999995,1.6928055265452713E-4
bathy,-5356.571199999999,1.6928055265452713E-4
bathy,-5342.665599999999,1.6928055265452713E-4
bathy,-5328.759999999999,1.6928055265452713E-4
bathy,-5314.854399999999,1.6928055265452713E-4
bathy,-5300.9488,1.6928055265452713E-4
bathy,-5287.0432,1.6928055265452713E-4
bathy,-5273.1376,1.6928055265452713E-4
bathy,-5259.232,1.6928055265452713E-4
bathy,-5245.3264,1.6928055265452713E-4
bathy,-5231.4208,1.6928055265452713E-4
bathy,-5217.5152,1.6928055265452713E-4
bathy,-5203.6096,1.6928055265452713E-4
bathy,-5189.704,1.6928055265452713E-4
bathy,-5175.7984,1.6928055265452713E-4
bathy,-5161.8928,1.6928055265452713E-4
bathy,-5147.9872,1.6928055265452713E-4
bathy,-5134.0815999999995,1.6928055265452713E-4
bathy,-5120.1759999999995,1.6928055265452713E-4
bathy,-5106.270399999999,1.6928055265452713E-4
bathy,-5092.364799999999,1.7316297453362495E-4
bathy,-5078.459199999999,1.8535286653786898E-4
bathy,-5064.553599999999,1.9840056484099478E-4
bathy,-5050.648,2.123674494214356E-4
bathy,-5036.742399999999,2.2731776698492467E-4
bathy,-5022.8368,2.433202025713399E-4
bathy,-5008.9312,2.604500041343272E-4
bathy,-4995.0256,2.7878599939867854E-4
bathy,-4981.12,2.98412429401651E-4
bathy,-4967.2144,3.194216114934534E-4
bathy,-4953.3088,3.419102285988629E-4
bathy,-4939.4032,3.659815702121705E-4
bathy,-4925.4976,3.917488793376833E-4
bathy,-4911.592,4.193307540845126E-4
bathy,-4897.6864,4.488539125304669E-4
bathy,-4883.7807999999995,4.804572381544858E-4
bathy,-4869.8751999999995,4.982296959497035E-4
bathy,-4855.969599999999,5.043772398494184E-4
bathy,-4842.063999999999,5.094719235785306E-4
bathy,-4828.1584,5.146185867488384E-4
bathy,-4814.252799999999,5.198175203986466E-4
bathy,-4800.3472,5.250696558505297E-4
bathy,-4786.4416,5.303753423504531E-4
bathy,-4772.536,5.357348709367216E-4
bathy,-4758.6304,5.024320562370121E-4
bathy,-4744.7248,4.684357554651797E-4
bathy,-4730.8192,4.3674121843650937E-4
bathy,-4716.9136,4.071904986631125E-4
bathy,-4703.008,3.796395903918892E-4
bathy,-4689.1024,3.539540048222989E-4
bathy,-4675.1968,3.3000571420416236E-4
bathy,-4661.2912,3.076780412811786E-4
bathy,-4647.3856,2.868619922082871E-4
bathy,-4633.48,2.674538118299097E-4
bathy,-4619.5743999999995,2.505708544049412E-4
bathy,-4605.6687999999995,2.3734290152788162E-4
bathy,-4591.763199999999,2.2481303312815726E-4
bathy,-4577.857599999999,2.145905018551275E-4
bathy,-4563.951999999999,2.0537173259072006E-4
bathy,-4550.046399999999,1.9654887728393078E-4
bathy,-4536.140799999999,1.8986972281709313E-4
bathy,-4522.2352,1.865931844804436E-4
bathy,-4508.3296,1.8391314370092005E-4
bathy,-4494.424,1.8367546726949513E-4
bathy,-4480.5184,1.8351171456743032E-4
bathy,-4466.6128,1.8334828200750053E-4
bathy,-4452.7072,1.831851404858753E-4
bathy,-4438.8016,1.8302233365830034E-4
bathy,-4424.896,1.8285981786902994E-4
bathy,-4410.9904,1.8269760766997933E-4
bathy,-4397.0848,1.8253571761306375E-4
bathy,-4383.1792,1.8237413314636797E-4
bathy,-4369.2735999999995,1.8221285426989198E-4
bathy,-4355.368,1.8205188098363578E-4
bathy,-4341.4624,1.8189121328759938E-4
bathy,-4327.556799999999,1.8173085118178278E-4
bathy,-4313.6512,1.8157079466618598E-4
bathy,-4299.7456,1.8141104374080896E-4
bathy,-4285.84,1.8125159840565175E-4
bathy,-4271.9344,1.8109245866071433E-4
bathy,-4258.0288,1.8093360995408148E-4
bathy,-4244.1232,1.8077506683766842E-4
bathy,-4230.2176,1.8061682931147516E-4
bathy,-4216.312,1.804588973755017E-4
bathy,-4202.4064,1.803012564778328E-4
bathy,-4188.5008,1.801439211703837E-4
bathy,-4174.5952,1.7998687690123916E-4
bathy,-4160.6896,1.7983013822231442E-4
bathy,-4146.784,1.7967370513360947E-4
bathy,-4132.8784,1.7951754853129387E-4
bathy,-4118.9728,1.793617120711133E-4
bathy,-4105.0671999999995,1.7920615209732205E-4
bathy,-4091.1615999999995,1.790508977137506E-4
bathy,-4077.256,1.7889594892039895E-4
bathy,-4063.3504,1.7874127661343664E-4
bathy,-4049.4448,1.7858690989669412E-4
bathy,-4035.5391999999997,1.7843283421825618E-4
bathy,-4021.6335999999997,1.7827906413003802E-4
bathy,-4007.728,1.781255705282092E-4
bathy,-3993.8224,1.779723825166002E-4
bathy,-3979.9168,1.778194709913805E-4
