variable,x,y
anom,-1.3269999623298645,1.816450385376811E-4
anom,-1.3198719625473023,1.816450385376811E-4
anom,-1.31274396276474,1.816450385376811E-4
anom,-1.3056159629821777,1.816450385376811E-4
anom,-1.2984879631996156,1.816450385376811E-4
anom,-1.2913599634170532,1.816450385376811E-4
anom,-1.284231963634491,1.816450385376811E-4
anom,-1.2771039638519288,1.816450385376811E-4
anom,-1.2699759640693664,1.816450385376811E-4
anom,-1.2628479642868042,1.816450385376811E-4
anom,-1.2557199645042418,1.816450385376811E-4
anom,-1.2485919647216797,1.816450385376811E-4
anom,-1.2414639649391175,1.816450385376811E-4
anom,-1.234335965156555,1.816450385376811E-4
anom,-1.227207965373993,1.816450385376811E-4
anom,-1.2200799655914307,1.816450385376811E-4
anom,-1.2129519658088683,1.816450385376811E-4
anom,-1.2058239660263061,1.816450385376811E-4
anom,-1.198695966243744,1.816450385376811E-4
anom,-1.1915679664611816,1.816450385376811E-4
anom,-1.1844399666786194,1.816450385376811E-4
anom,-1.1773119668960572,1.816450385376811E-4
anom,-1.1701839671134948,1.816450385376811E-4
anom,-1.1630559673309326,1.816450385376811E-4
anom,-1.1559279675483705,1.816450385376811E-4
anom,-1.148799967765808,1.816450385376811E-4
anom,-1.1416719679832459,1.816450385376811E-4
anom,-1.1345439682006835,1.816450385376811E-4
anom,-1.1274159684181213,1.816450385376811E-4
anom,-1.1202879686355591,1.816450385376811E-4
anom,-1.113159968852997,1.816450385376811E-4
anom,-1.1060319690704346,1.816450385376811E-4
anom,-1.0989039692878724,1.816450385376811E-4
anom,-1.09177596950531,1.816450385376811E-4
anom,-1.0846479697227478,1.816450385376811E-4
anom,-1.0775199699401856,1.816450385376811E-4
anom,-1.0703919701576232,1.816450385376811E-4
anom,-1.063263970375061,1.816450385376811E-4
anom,-1.0561359705924986,1.816450385376811E-4
anom,-1.0490079708099365,1.816450385376811E-4
anom,-1.0418799710273743,1.816450385376811E-4
anom,-1.034751971244812,1.816450385376811E-4
anom,-1.0276239714622497,1.8148365779779851E-4
anom,-1.0204959716796875,1.8100083980243653E-4
anom,-1.0133679718971251,1.8051995721179992E-4
anom,-1.006239972114563,1.8004103912971914E-4
anom,-0.9991119723320008,1.795640419004485E-4
anom,-0.9919839725494385,1.7908898007590324E-4
anom,-0.9848559727668762,1.786158245522529E-4
anom,-0.977727972984314,1.7814458988141268E-4
anom,-0.9705999732017517,1.776752615114674E-4
anom,-0.9634719734191894,1.7720781033858657E-4
anom,-0.9563439736366273,1.7674226546660066E-4
anom,-0.9492159738540649,1.7627858323976398E-4
anom,-0.9420879740715027,1.7581676365807652E-4
anom,-0.9349599742889405,1.753568067215383E-4
anom,-0.9278319745063781,1.7489871243014932E-4
anom,-0.9207039747238159,1.744424516800791E-4
anom,-0.9135759749412536,1.7398802447132766E-4
anom,-0.9064479751586914,1.73535430803895E-4
anom,-0.8993199753761292,1.7308465612586588E-4
anom,-0.8921919755935669,1.7263568588532507E-4
anom,-0.8850639758110046,1.721885200822726E-4
anom,-0.8779359760284424,1.7174315871670842E-4
anom,-0.8708079762458801,1.7129957268480211E-4
anom,-0.8636799764633178,1.7085776198655367E-4
anom,-0.8565519766807557,1.7041772662196308E-4
anom,-0.8494239768981934,1.6997945203911513E-4
anom,-0.8422959771156311,1.695429382380098E-4
anom,-0.8351679773330689,1.691081706667319E-4
anom,-0.8280399775505065,1.6867513477336615E-4
anom,-0.8209119777679443,1.6824384510982782E-4
anom,-0.813783977985382,1.6781427257228643E-4
anom,-0.8066559782028199,1.6738641716074198E-4
anom,-0.7995279784202576,1.669602788751945E-4
anom,-0.7923999786376953,1.6653582861181349E-4
anom,-0.785271978855133,1.661130809225142E-4
anom,-0.7781439790725708,1.656920212553814E-4
anom,-0.7710159792900085,1.6527263505849987E-4
anom,-0.7638879795074462,1.648549223318696E-4
anom,-0.7567599797248841,1.644388830754906E-4
anom,-0.7496319799423218,1.640244881855324E-4
anom,-0.7425039801597595,1.6361175221391022E-4
anom,-0.7353759803771973,1.6320066060870886E-4
anom,-0.728247980594635,1.6279119881801307E-4
anom,-0.7211199808120727,1.6238336684182286E-4
anom,-0.7139919810295104,1.6197716468013823E-4
anom,-0.7068639812469483,1.6157257778104395E-4
anom,-0.699735981464386,1.6116959159262478E-4
anom,-0.6926079816818237,1.6076820611488074E-4
anom,-0.6854799818992615,1.6036842134781182E-4
anom,-0.6783519821166992,1.5997020818758756E-4
anom,-0.6712239823341369,1.595735811861232E-4
anom,-0.6640959825515748,1.5917854034341872E-4
anom,-0.6569679827690125,1.5878505655564368E-4
anom,-0.6498399829864502,1.5839312982279807E-4
anom,-0.6427119832038879,1.580027601448819E-4
anom,-0.6355839834213257,1.5761393296997994E-4
anom,-0.6284559836387634,1.572266482980922E-4
anom,-0.6213279838562011,1.568408915773034E-4
anom,-0.614199984073639,1.564566628076136E-4
anom,-0.6070719842910767,1.560739619890228E-4
anom,-0.5999439845085144,1.556927600177005E-4
anom,-0.5928159847259521,1.5531307144556195E-4
anom,-0.5856879849433899,1.5493488172069192E-4
anom,-0.5785599851608276,1.5455819084309042E-4
anom,-0.5714319853782653,1.541829842608422E-4
anom,-0.5643039855957032,1.538092619739473E-4
anom,-0.5571759858131409,1.5343700943049043E-4
anom,-0.5500479860305786,1.5306622663047165E-4
anom,-0.5429199862480164,1.526968990219757E-4
anom,-0.5357919864654541,1.5232902660500258E-4
anom,-0.5286639866828918,1.519626093795523E-4
anom,-0.5215359869003295,1.5159764734562486E-4
anom,-0.5144079871177674,1.5123409684747458E-4
anom,-0.5072799873352051,1.5087200154084712E-4
anom,-0.5001519875526428,1.5051131776999682E-4
anom,-0.4930239877700806,1.5015204553492367E-4
anom,-0.4858959879875183,1.497941993875429E-4
anom,-0.47876798820495603,1.4943775022402406E-4
anom,-0.47163998842239385,1.4908271259628236E-4
anom,-0.46451198863983156,1.4872905740048736E-4
anom,-0.4573839888572693,1.483767991885543E-4
anom,-0.450255989074707,1.480259234085679E-4
anom,-0.4431279892921448,1.47676415508613E-4
anom,-0.4359999895095825,1.4732829004060477E-4
anom,-0.42887198972702023,1.469815179007128E-4
anom,-0.42174398994445805,1.4663611364085227E-4
anom,-0.41461599016189576,1.46292062709108E-4
anom,-0.4074879903793335,1.4594936510547996E-4
anom,-0.4003599905967712,1.4560800627805293E-4
anom,-0.393231990814209,1.4526797167491168E-4
anom,-0.3861039910316467,1.4492927584797144E-4
anom,-0.37897599124908443,1.445919187972322E-4
anom,-0.37184799146652225,1.4425587141886353E-4
anom,-0.36471999168395997,1.439211337128654E-4
anom,-0.3575919919013977,1.4358770567923784E-4
anom,-0.3504639921188355,1.4325558731798083E-4
anom,-0.3433359923362732,1.429247495252639E-4
anom,-0.3362079925537109,1.4259522140491754E-4
