variable,x,y
bathy,-5676.4,1.9166594865964725E-4
bathy,-5669.4472,1.9166594865964725E-4
bathy,-5662.4944,1.9166594865964725E-4
bathy,-5655.5416,1.9166594865964725E-4
bathy,-5648.5887999999995,1.9166594865964725E-4
bathy,-5641.6359999999995,1.9166594865964725E-4
bathy,-5634.6831999999995,1.9166594865964725E-4
bathy,-5627.7303999999995,1.9166594865964725E-4
bathy,-5620.777599999999,1.9166594865964725E-4
bathy,-5613.824799999999,1.9166594865964725E-4
bathy,-5606.871999999999,1.9166594865964725E-4
bathy,-5599.919199999999,1.9166594865964725E-4
bathy,-5592.966399999999,1.9166594865964725E-4
bathy,-5586.013599999999,1.9166594865964725E-4
bathy,-5579.060799999999,1.9166594865964725E-4
bathy,-5572.107999999999,1.9166594865964725E-4
bathy,-5565.155199999999,1.9166594865964725E-4
bathy,-5558.202399999999,1.9166594865964725E-4
bathy,-5551.249599999999,1.9166594865964725E-4
bathy,-5544.2968,1.9166594865964725E-4
bathy,-5537.344,1.9166594865964725E-4
bathy,-5530.3912,1.9166594865964725E-4
bathy,-5523.4384,1.9166594865964725E-4
bathy,-5516.4856,1.9166594865964725E-4
bathy,-5509.5328,1.9166594865964725E-4
bathy,-5502.58,1.9166594865964725E-4
bathy,-5495.6272,1.9166594865964725E-4
bathy,-5488.6744,1.9166594865964725E-4
bathy,-5481.7216,1.9166594865964725E-4
bathy,-5474.7688,1.9166594865964725E-4
bathy,-5467.816,1.9166594865964725E-4
bathy,-5460.8632,1.9166594865964725E-4
bathy,-5453.9104,1.9166594865964725E-4
bathy,-5446.9576,1.9166594865964725E-4
bathy,-5440.0048,1.9166594865964725E-4
bathy,-5433.052,1.9166594865964725E-4
bathy,-5426.0992,1.9166594865964725E-4
bathy,-5419.1464,1.9166594865964725E-4
bathy,-5412.1936,1.9166594865964725E-4
bathy,-5405.2408,1.9166594865964725E-4
bathy,-5398.288,1.9166594865964725E-4
bathy,-5391.3351999999995,1.9166594865964725E-4
bathy,-5384.3823999999995,1.9166594865964725E-4
bathy,-5377.4295999999995,1.9166594865964725E-4
bathy,-5370.4767999999995,1.9166594865964725E-4
bathy,-5363.523999999999,1.9166594865964725E-4
bathy,-5356.571199999999,1.9166594865964725E-4
bathy,-5349.618399999999,1.9166594865964725E-4
bathy,-5342.665599999999,1.9166594865964725E-4
bathy,-5335.712799999999,1.9166594865964725E-4
bathy,-5328.759999999999,1.9166594865964725E-4
bathy,-5321.807199999999,1.9166594865964725E-4
bathy,-5314.854399999999,1.9166594865964725E-4
bathy,-5307.901599999999,1.9166594865964725E-4
bathy,-5300.9488,1.9166594865964725E-4
bathy,-5293.996,1.9166594865964725E-4
bathy,-5287.0432,1.9166594865964725E-4
bathy,-5280.0904,1.9166594865964725E-4
bathy,-5273.1376,1.9166594865964725E-4
bathy,-5266.1848,1.9166594865964725E-4
bathy,-5259.232,1.9166594865964725E-4
bathy,-5252.2792,1.9166594865964725E-4
bathy,-5245.3264,1.9166594865964725E-4
bathy,-5238.3736,1.9166594865964725E-4
bathy,-5231.4208,1.9166594865964725E-4
bathy,-5224.468,1.9166594865964725E-4
bathy,-5217.5152,1.9166594865964725E-4
bathy,-5210.5624,1.9166594865964725E-4
bathy,-5203.6096,1.9166594865964725E-4
bathy,-5196.6568,1.9166594865964725E-4
bathy,-5189.704,1.9166594865964725E-4
bathy,-5182.7512,1.9166594865964725E-4
bathy,-5175.7984,1.9166594865964725E-4
bathy,-5168.8456,1.9166594865964725E-4
bathy,-5161.8928,1.9166594865964725E-4
bathy,-5154.94,1.9166594865964725E-4
bathy,-5147.9872,1.9166594865964725E-4
bathy,-5141.0344,1.9166594865964725E-4
bathy,-5134.0815999999995,1.9166594865964725E-4
bathy,-5127.1287999999995,1.9166594865964725E-4
bathy,-5120.1759999999995,1.9166594865964725E-4
bathy,-5113.223199999999,1.9166594865964725E-4
bathy,-5106.270399999999,1.9166594865964725E-4
bathy,-5099.317599999999,1.935633466928266E-4
bathy,-5092.364799999999,1.9546074472600594E-4
bathy,-5085.412,2.013840108702417E-4
bathy,-5078.459199999999,2.0730727701447904E-4
bathy,-5071.506399999999,2.1359358142944985E-4
bathy,-5064.553599999999,2.1987988584442063E-4
bathy,-5057.6008,2.265522009111005E-4
bathy,-5050.648,2.3322451597778126E-4
bathy,-5043.6952,2.4030656932154623E-4
bathy,-5036.742399999999,2.4738862266531213E-4
bathy,-5029.7896,2.549055905546988E-4
bathy,-5022.8368,2.6242255844408644E-4
bathy,-5015.884,2.704020072997082E-4
bathy,-5008.9312,2.7838145615532994E-4
bathy,-5001.9784,2.8685186989605425E-4
bathy,-4995.0256,2.953222836367786E-4
bathy,-4988.0728,3.0431388586293906E-4
bathy,-4981.12,3.133054880890995E-4
bathy,-4974.1672,3.2285137567669155E-4
bathy,-4967.2144,3.3239726326428354E-4
bathy,-4960.2616,3.425316404900514E-4
bathy,-4953.3088,3.5266601771581917E-4
bathy,-4946.356,3.6342517414595933E-4
bathy,-4939.4032,3.7418433057609943E-4
bathy,-4932.4504,3.856080191326328E-4
bathy,-4925.4976,3.9703170768916606E-4
bathy,-4918.5448,4.0916100260801613E-4
bathy,-4911.592,4.212902975268662E-4
bathy,-4904.6392,4.341688036220148E-4
bathy,-4897.6864,4.4704730971716343E-4
bathy,-4890.7336,4.607227689120919E-4
bathy,-4883.7807999999995,4.7439822810702026E-4
bathy,-4876.8279999999995,4.835481726331636E-4
bathy,-4869.8751999999995,4.92698117159307E-4
bathy,-4862.9223999999995,4.967897300957702E-4
bathy,-4855.969599999999,5.008813430322334E-4
bathy,-4849.016799999999,5.039733965531923E-4
bathy,-4842.063999999999,5.070654500741511E-4
bathy,-4835.111199999999,5.099955305922778E-4
bathy,-4828.1584,5.129256111104042E-4
bathy,-4821.205599999999,5.157920037163423E-4
bathy,-4814.252799999999,5.186583963222802E-4
bathy,-4807.299999999999,5.207974725635723E-4
bathy,-4800.3472,5.229365488048643E-4
bathy,-4793.3944,5.250512127531693E-4
bathy,-4786.4416,5.271658767014742E-4
bathy,-4779.488799999999,5.287024279823528E-4
bathy,-4772.536,5.302389792632312E-4
bathy,-4765.5832,5.136920386576094E-4
bathy,-4758.6304,4.971450980519876E-4
bathy,-4751.6776,4.808996061910875E-4
bathy,-4744.7248,4.6465411433018746E-4
bathy,-4737.772,4.4947195274289695E-4
bathy,-4730.8192,4.342897911556065E-4
bathy,-4723.8664,4.2010028701042754E-4
bathy,-4716.9136,4.0591078286524864E-4
bathy,-4709.9608,3.926494551706128E-4
bathy,-4703.008,3.7938812747597697E-4
bathy,-4696.0552,3.6699461634270847E-4
bathy,-4689.1024,3.5460110520943997E-4
bathy,-4682.1496,3.43017747218255E-4
bathy,-4675.1968,3.314343892270699E-4
bathy,-4668.244,3.206085675628856E-4
bathy,-4661.2912,3.0978274589870124E-4
bathy,-4654.3384,2.9966521105961874E-4
bathy,-4647.3856,2.8954767622053624E-4
bathy,-4640.4328,2.800913731334731E-4
bathy,-4633.48,2.7063507004640994E-4
bathy,-4626.5271999999995,2.6201849832432347E-4
bathy,-4619.5743999999995,2.5340192660223694E-4
bathy,-4612.6215999999995,2.458442271745298E-4
bathy,-4605.6687999999995,2.3828652774682269E-4
bathy,-4598.715999999999,2.3123140053940005E-4
bathy,-4591.763199999999,2.2417627333197742E-4
bathy,-4584.8104,2.190391904150608E-4
bathy,-4577.857599999999,2.1390210749814287E-4
bathy,-4570.9048,2.099422403262002E-4
bathy,-4563.951999999999,2.059823731542565E-4
bathy,-4556.9992,2.0227455752319705E-4
bathy,-4550.046399999999,1.9856674189213663E-4
bathy,-4543.0936,1.9574951293179805E-4
bathy,-4536.140799999999,1.9293228397145867E-4
bathy,-4529.188,1.913978216180113E-4
bathy,-4522.2352,1.8986335926456376E-4
bathy,-4515.2824,1.887266509584151E-4
bathy,-4508.3296,1.8758994265226646E-4
bathy,-4501.3768,1.871288535767235E-4
bathy,-4494.424,1.866677645011805E-4
bathy,-4487.4712,1.8652785001904704E-4
bathy,-4480.5184,1.8638793553691358E-4
bathy,-4473.5656,1.8626019009388984E-4
bathy,-4466.6128,1.8613244465086608E-4
bathy,-4459.66,1.8600516486912965E-4
bathy,-4452.7072,1.8587788508739322E-4
bathy,-4445.7544,1.8575107751530595E-4
bathy,-4438.8016,1.8562426994321867E-4
bathy,-4431.8488,1.8549791930126957E-4
bathy,-4424.896,1.8537156865932046E-4
bathy,-4417.9432,1.852456814958714E-4
bathy,-4410.9904,1.8511979433242232E-4
bathy,-4404.0376,1.8499437355785632E-4
bathy,-4397.0848,1.8486895278329029E-4
bathy,-4390.132,1.8474398675607517E-4
bathy,-4383.1792,1.8461902072886005E-4
bathy,-4376.2264,1.8449451235937885E-4
bathy,-4369.2735999999995,1.8437000398989766E-4
bathy,-4362.3207999999995,1.8424595691612922E-4
bathy,-4355.368,1.8412190984236078E-4
bathy,-4348.4151999999995,1.839983116951771E-4
bathy,-4341.4624,1.8387471354799345E-4
bathy,-4334.509599999999,1.8375157087575645E-4
bathy,-4327.556799999999,1.8362842820351943E-4
bathy,-4320.603999999999,1.8350573736825027E-4
bathy,-4313.6512,1.833830465329811E-4
bathy,-4306.698399999999,1.832608053518925E-4
bathy,-4299.7456,1.8313856417080389E-4
bathy,-4292.792799999999,1.8301677046110852E-4
bathy,-4285.84,1.828949767514132E-4
bathy,-4278.8872,1.827736348786857E-4
bathy,-4271.9344,1.826522930059582E-4
bathy,-4264.981599999999,1.825313927838579E-4
bathy,-4258.0288,1.8241049256175756E-4
bathy,-4251.076,1.822900347178802E-4
bathy,-4244.1232,1.8216957687400281E-4
bathy,-4237.1704,1.820495665015187E-4
bathy,-4230.2176,1.8192955612903461E-4
bathy,-4223.2648,1.8180998304160312E-4
bathy,-4216.312,1.8169040995417163E-4
bathy,-4209.3592,1.8157127778977155E-4
bathy,-4202.4064,1.8145214562537149E-4
bathy,-4195.4536,1.8133345438400283E-4
bathy,-4188.5008,1.8121476314263417E-4
bathy,-4181.548,1.810965048207436E-4
bathy,-4174.5952,1.8097824649885297E-4
bathy,-4167.6424,1.808604247344192E-4
bathy,-4160.6896,1.8074260296998545E-4
bathy,-4153.7368,1.8062521921820008E-4
bathy,-4146.784,1.805078354664147E-4
bathy,-4139.8312,1.803908780857455E-4
bathy,-4132.8784,1.802739207050763E-4
