Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.13324E-7,0.000011332,0.00087271,1,0,0
1.30922E-7,0.000036691,0.001008163,0.999841043,0,0
2.03075E-7,0.000056998,0.001563345,0.999761564,0,0
2.7153E-7,0.000106412,0.002089786,0.999602607,0,0
4.11743E-7,0.000279066,0.003167202,0.999205214,0,0
5.08792E-7,0.000515959,0.003912254,0.998807821,0,0
7.27557E-7,0.001026077,0.005589692,0.998171992,0,0
1.0221E-6,0.002532942,0.007843726,0.996820855,0,0
1.24748E-6,0.005116163,0.009564998,0.994992847,0,0
1.58219E-6,0.010066838,0.012115822,0.992211095,0,0
2.16867E-6,0.025161861,0.016569432,0.985932284,0,0
2.74889E-6,0.050173848,0.020955771,0.977904944,0,0
3.56617E-6,0.100009675,0.02710115,0.9654268,0,0
4.58823E-6,0.20011054,0.034731999,0.946034017,0,0
5.41697E-6,0.300103665,0.04087552,0.930217771,0.00036245,0
6.03992E-6,0.400266218,0.045467721,0.916309013,0.00108735,0
6.57257E-6,0.500435261,0.049376897,0.903671912,0.002174701,0
7.08947E-6,0.600068107,0.053155076,0.892068034,0.002174701,0
7.55214E-6,0.700285125,0.056524201,0.881179463,0.002537151,0
7.80835E-6,0.750271021,0.058384762,0.876013352,0.002537151,0
8.0659E-6,0.800314508,0.060251266,0.871006199,0.002537151,0
8.48777E-6,0.900477912,0.063300767,0.861389286,0.003986952,0.003267974
8.90336E-6,1.000588534,0.066295121,0.852249245,0.004349402,0.006535948
9.39206E-6,1.100214316,0.069804073,0.843586075,0.004711852,0.006535948
9.79315E-6,1.200892276,0.072674056,0.83524082,0.004711852,0.006535948
1.01376E-5,1.300567684,0.075131924,0.827292958,0.005436752,0.006535948
1.0575E-5,1.400054023,0.078242946,0.819663011,0.005799203,0.009803922
1.09256E-5,1.500001303,0.08072931,0.812271499,0.006524103,0.009803922
1.18853E-5,1.750431459,0.087501447,0.794865681,0.010148605,0.013071895
1.29627E-5,2.00070197,0.095044662,0.778811,0.011598405,0.013071895
1.40313E-5,2.250457276,0.102464716,0.764107455,0.011598405,0.013071895
1.4943E-5,2.500400111,0.108746976,0.750437132,0.012323306,0.016339869
1.5849E-5,2.751237284,0.114946223,0.737482117,0.013048206,0.019607843
1.68418E-5,3.000097099,0.121690083,0.725401367,0.014135556,0.019607843
1.77877E-5,3.25087246,0.128067767,0.713876967,0.016672708,0.026143791
1.85243E-5,3.501295778,0.133001532,0.702908918,0.018847408,0.026143791
1.93819E-5,3.751310409,0.138711552,0.69241774,0.019572309,0.032679739
2.02849E-5,4.000812745,0.14468263,0.682403433,0.02174701,0.032679739
