variable,x,y
anom,-1.3269999623298645,1.235014497069642E-4
anom,-1.3198719625473023,1.235014497069642E-4
anom,-1.31274396276474,1.235014497069642E-4
anom,-1.3056159629821777,1.235014497069642E-4
anom,-1.2984879631996156,1.235014497069642E-4
anom,-1.2913599634170532,1.235014497069642E-4
anom,-1.284231963634491,1.235014497069642E-4
anom,-1.2771039638519288,1.235014497069642E-4
anom,-1.2699759640693664,1.235014497069642E-4
anom,-1.2628479642868042,1.235014497069642E-4
anom,-1.2557199645042418,1.235014497069642E-4
anom,-1.2485919647216797,1.235014497069642E-4
anom,-1.2414639649391175,1.235014497069642E-4
anom,-1.234335965156555,1.235014497069642E-4
anom,-1.227207965373993,1.235014497069642E-4
anom,-1.2200799655914307,1.235014497069642E-4
anom,-1.2129519658088683,1.235014497069642E-4
anom,-1.2058239660263061,1.235014497069642E-4
anom,-1.198695966243744,1.235014497069642E-4
anom,-1.1915679664611816,1.235014497069642E-4
anom,-1.1844399666786194,1.235014497069642E-4
anom,-1.1773119668960572,1.235014497069642E-4
anom,-1.1701839671134948,1.235014497069642E-4
anom,-1.1630559673309326,1.235014497069642E-4
anom,-1.1559279675483705,1.235014497069642E-4
anom,-1.148799967765808,1.235014497069642E-4
anom,-1.1416719679832459,1.235014497069642E-4
anom,-1.1345439682006835,1.235014497069642E-4
anom,-1.1274159684181213,1.235014497069642E-4
anom,-1.1202879686355591,1.235014497069642E-4
anom,-1.113159968852997,1.235014497069642E-4
anom,-1.1060319690704346,1.235014497069642E-4
anom,-1.0989039692878724,1.235014497069642E-4
anom,-1.09177596950531,1.235014497069642E-4
anom,-1.0846479697227478,1.235014497069642E-4
anom,-1.0775199699401856,1.235014497069642E-4
anom,-1.0703919701576232,1.235014497069642E-4
anom,-1.063263970375061,1.235014497069642E-4
anom,-1.0561359705924986,1.235014497069642E-4
anom,-1.0490079708099365,1.235014497069642E-4
anom,-1.0418799710273743,1.235014497069642E-4
anom,-1.034751971244812,1.235014497069642E-4
anom,-1.0276239714622497,1.2335578503552824E-4
anom,-1.0204959716796875,1.2291980965528637E-4
anom,-1.0133679718971251,1.224853767780587E-4
anom,-1.006239972114563,1.2205247912788764E-4
anom,-0.9991119723320008,1.2162110942881554E-4
anom,-0.9919839725494385,1.2119126768084243E-4
anom,-0.9848559727668762,1.2076294660801068E-4
anom,-0.977727972984314,1.2033613165840507E-4
anom,-0.9705999732017517,1.199108301079832E-4
anom,-0.9634719734191894,1.1948703468078747E-4
anom,-0.9563439736366273,1.1906473082490265E-4
anom,-0.9492159738540649,1.1864392581628636E-4
anom,-0.9420879740715027,1.1822460510302335E-4
anom,-0.9349599742889405,1.1780676140915602E-4
anom,-0.9278319745063781,1.1739040201064199E-4
anom,-0.9207039747238159,1.1697551235556602E-4
anom,-0.9135759749412536,1.1656208516797051E-4
anom,-0.9064479751586914,1.1615012772381306E-4
anom,-0.8993199753761292,1.1573961819522083E-4
anom,-0.8921919755935669,1.1533056385815144E-4
anom,-0.8850639758110046,1.1492295016068965E-4
anom,-0.8779359760284424,1.1451678437879309E-4
anom,-0.8708079762458801,1.1411205196054652E-4
anom,-0.8636799764633178,1.1370874562999234E-4
anom,-0.8565519766807557,1.1330686538713053E-4
anom,-0.8494239768981934,1.129064112319611E-4
anom,-0.8422959771156311,1.1250736861256883E-4
anom,-0.8351679773330689,1.1210973025299609E-4
anom,-0.8280399775505065,1.117135034292005E-4
anom,-0.8209119777679443,1.1131868086522445E-4
anom,-0.813783977985382,1.1092524800915271E-4
anom,-0.8066559782028199,1.1053320486098528E-4
anom,-0.7995279784202576,1.1014255142072216E-4
anom,-0.7923999786376953,1.0975327313644812E-4
anom,-0.785271978855133,1.0936537728412077E-4
anom,-0.7781439790725708,1.0897884931182489E-4
anom,-0.7710159792900085,1.0859368921956047E-4
anom,-0.7638879795074462,1.0820988973136991E-4
anom,-0.7567599797248841,1.0782744357129559E-4
anom,-0.7496319799423218,1.074463507393375E-4
anom,-0.7425039801597595,1.0706660395953804E-4
anom,-0.7353759803771973,1.066882032318972E-4
anom,-0.728247980594635,1.0631113400449976E-4
anom,-0.7211199808120727,1.0593540355330333E-4
anom,-0.7139919810295104,1.0556099732639268E-4
anom,-0.7068639812469483,1.0518791532376781E-4
anom,-0.699735981464386,1.0481615026947111E-4
anom,-0.6926079816818237,1.0444570216350257E-4
anom,-0.6854799818992615,1.0407656372990459E-4
anom,-0.6783519821166992,1.0370872769271955E-4
anom,-0.6712239823341369,1.0334218677598983E-4
anom,-0.6640959825515748,1.0297694825567305E-4
anom,-0.6569679827690125,1.0261299757985398E-4
anom,-0.6498399829864502,1.0225033474853262E-4
anom,-0.6427119832038879,1.0188895248575136E-4
anom,-0.6355839834213257,1.015288507915102E-4
anom,-0.6284559836387634,1.0117002238985151E-4
anom,-0.6213279838562011,1.008124600048177E-4
anom,-0.614199984073639,1.0045615636045113E-4
anom,-0.6070719842910767,1.0010111873270944E-4
anom,-0.5999439845085144,9.974733256967738E-5
anom,-0.5928159847259521,9.939479787135497E-5
anom,-0.5856879849433899,9.904350736178458E-5
anom,-0.5785599851608276,9.869346104096621E-5
anom,-0.5714319853782653,9.834465163294226E-5
anom,-0.5643039855957032,9.79970718617551E-5
anom,-0.5571759858131409,9.765072172740474E-5
anom,-0.5500479860305786,9.730559395393357E-5
anom,-0.5429199862480164,9.696169581729919E-5
anom,-0.5357919864654541,9.661900548962876E-5
anom,-0.5286639866828918,9.627752297092229E-5
anom,-0.5215359869003295,9.593725553713739E-5
anom,-0.5144079871177674,9.559818136040121E-5
anom,-0.5072799873352051,9.526031499262899E-5
anom,-0.5001519875526428,9.492363460594788E-5
anom,-0.4930239877700806,9.45881474763155E-5
anom,-0.4858959879875183,9.425384632777423E-5
anom,-0.47876798820495603,9.392073116032407E-5
anom,-0.47163998842239385,9.358878742204979E-5
anom,-0.46451198863983156,9.32580151129514E-5
anom,-0.4573839888572693,9.292841423302889E-5
anom,-0.450255989074707,9.259998478228226E-5
anom,-0.4431279892921448,9.227270493283868E-5
anom,-0.4359999895095825,9.194658923661336E-5
anom,-0.42887198972702023,9.162162314169109E-5
anom,-0.42174398994445805,9.129780664807186E-5
anom,-0.41461599016189576,9.097513975575566E-5
anom,-0.4074879903793335,9.065360791282728E-5
anom,-0.4003599905967712,9.033321111928672E-5
anom,-0.393231990814209,9.001394937513396E-5
anom,-0.3861039910316467,8.96958154044114E-5
anom,-0.37897599124908443,8.937880193116143E-5
anom,-0.37184799146652225,8.906290895538405E-5
anom,-0.36471999168395997,8.874813647707924E-5
anom,-0.3575919919013977,8.843447722028941E-5
anom,-0.3504639921188355,8.812192390905693E-5
anom,-0.3433359923362732,8.781047654338181E-5
anom,-0.3362079925537109,8.750012784730643E-5
anom,-0.32907999277114863,8.719087782083079E-5
anom,-0.32195199298858634,8.70143630891107E-5
anom,-0.31482399320602417,8.70143630891107E-5
anom,-0.307695993423462,8.70143630891107E-5
anom,-0.3005679936408996,8.70143630891107E-5
anom,-0.2934399938583374,8.70143630891107E-5
anom,-0.28631199407577523,8.70143630891107E-5
anom,-0.27918399429321283,8.70143630891107E-5
anom,-0.27205599451065066,8.70143630891107E-5
anom,-0.2649279947280885,8.70143630891107E-5
anom,-0.2577999949455261,8.70143630891107E-5
anom,-0.2506719951629639,8.70143630891107E-5
anom,-0.2435439953804015,8.70143630891107E-5
anom,-0.23641599559783932,8.70143630891107E-5
anom,-0.22928799581527715,8.70143630891107E-5
anom,-0.22215999603271475,8.70143630891107E-5
anom,-0.21503199625015257,8.70143630891107E-5
anom,-0.2079039964675904,8.70143630891107E-5
anom,-0.200775996685028,8.70143630891107E-5
anom,-0.1936479969024658,8.70143630891107E-5
anom,-0.18651999711990364,8.70143630891107E-5
anom,-0.17939199733734124,8.70143630891107E-5
anom,-0.17226399755477906,8.70143630891107E-5
anom,-0.16513599777221688,8.70143630891107E-5
anom,-0.15800799798965448,8.70143630891107E-5
anom,-0.1508799982070923,8.70143630891107E-5
anom,-0.14375199842453013,8.70143630891107E-5
anom,-0.13662399864196773,8.70143630891107E-5
anom,-0.12949599885940555,8.70143630891107E-5
anom,-0.12236799907684337,8.70143630891107E-5
anom,-0.11523999929428097,8.70143630891107E-5
anom,-0.10811199951171879,8.70143630891107E-5
anom,-0.10098399972915639,8.70143630891107E-5
anom,-0.09385599994659422,8.70143630891107E-5
anom,-0.08672800016403204,8.70143630891107E-5
anom,-0.07960000038146964,8.70143630891107E-5
anom,-0.07247200059890746,8.70143630891107E-5
anom,-0.06534400081634528,8.70143630891107E-5
anom,-0.05821600103378288,8.70143630891107E-5
anom,-0.051088001251220705,8.70143630891107E-5
anom,-0.04396000146865853,8.70143630891107E-5
anom,-0.03683200168609613,8.70143630891107E-5
anom,-0.02970400190353395,8.70143630891107E-5
anom,-0.022576002120971772,8.70143630891107E-5
anom,-0.015448002338409372,8.70143630891107E-5
anom,-0.008320002555847195,8.70143630891107E-5
anom,-0.001192002773285017,8.70143630891107E-5
