variable,x,y
bathy,-5676.4,7.334785186685622E-5
bathy,-5662.4944,7.334785186685622E-5
bathy,-5648.5887999999995,7.334785186685622E-5
bathy,-5634.6831999999995,7.334785186685622E-5
bathy,-5620.777599999999,7.334785186685622E-5
bathy,-5606.871999999999,7.334785186685622E-5
bathy,-5592.966399999999,7.334785186685622E-5
bathy,-5579.060799999999,7.334785186685622E-5
bathy,-5565.155199999999,7.334785186685622E-5
bathy,-5551.249599999999,7.334785186685622E-5
bathy,-5537.344,7.334785186685622E-5
bathy,-5523.4384,7.334785186685622E-5
bathy,-5509.5328,7.334785186685622E-5
bathy,-5495.6272,7.334785186685622E-5
bathy,-5481.7216,7.334785186685622E-5
bathy,-5467.816,7.334785186685622E-5
bathy,-5453.9104,7.334785186685622E-5
bathy,-5440.0048,7.334785186685622E-5
bathy,-5426.0992,7.334785186685622E-5
bathy,-5412.1936,7.334785186685622E-5
bathy,-5398.288,7.334785186685622E-5
bathy,-5384.3823999999995,7.334785186685622E-5
bathy,-5370.4767999999995,7.334785186685622E-5
bathy,-5356.571199999999,7.334785186685622E-5
bathy,-5342.665599999999,7.334785186685622E-5
bathy,-5328.759999999999,7.334785186685622E-5
bathy,-5314.854399999999,7.334785186685622E-5
bathy,-5300.9488,7.334785186685622E-5
bathy,-5287.0432,7.334785186685622E-5
bathy,-5273.1376,7.334785186685622E-5
bathy,-5259.232,7.334785186685622E-5
bathy,-5245.3264,7.334785186685622E-5
bathy,-5231.4208,7.334785186685622E-5
bathy,-5217.5152,7.334785186685622E-5
bathy,-5203.6096,7.334785186685622E-5
bathy,-5189.704,7.334785186685622E-5
bathy,-5175.7984,7.334785186685622E-5
bathy,-5161.8928,7.334785186685622E-5
bathy,-5147.9872,7.334785186685622E-5
bathy,-5134.0815999999995,7.334785186685622E-5
bathy,-5120.1759999999995,7.334785186685622E-5
bathy,-5106.270399999999,7.334785186685622E-5
bathy,-5092.364799999999,7.444667426170781E-5
bathy,-5078.459199999999,7.784426270518452E-5
bathy,-5064.553599999999,8.13989172456786E-5
bathy,-5050.648,8.511824125889689E-5
bathy,-5036.742399999999,8.900985267246142E-5
bathy,-5022.8368,9.308166772825643E-5
bathy,-5008.9312,9.734246123116463E-5
bathy,-4995.0256,1.0180094977840781E-4
bathy,-4981.12,1.0646626469679177E-4
bathy,-4967.2144,1.1134846863569692E-4
bathy,-4953.3088,1.1645760969258845E-4
bathy,-4939.4032,1.2180416524643078E-4
bathy,-4925.4976,1.273997186217457E-4
bathy,-4911.592,1.3325581676326692E-4
bathy,-4897.6864,1.3938453048467636E-4
bathy,-4883.7807999999995,1.4579916023649275E-4
bathy,-4869.8751999999995,1.5251297736540437E-4
bathy,-4855.969599999999,1.5953989350236952E-4
bathy,-4842.063999999999,1.66895188158378E-4
bathy,-4828.1584,1.7459416994825006E-4
bathy,-4814.252799999999,1.8265278777107596E-4
bathy,-4800.3472,1.9108866399619728E-4
bathy,-4786.4416,1.999193918891251E-4
bathy,-4772.536,2.0499415404628962E-4
bathy,-4758.6304,1.9504637748468667E-4
bathy,-4744.7248,1.8433578952681273E-4
bathy,-4730.8192,1.7421826487407088E-4
bathy,-4716.9136,1.646600430831313E-4
bathy,-4703.008,1.5563028864562511E-4
bathy,-4689.1024,1.4709985407534987E-4
bathy,-4675.1968,1.3904034858569503E-4
bathy,-4661.2912,1.314258697675541E-4
bathy,-4647.3856,1.2423188309185207E-4
bathy,-4633.48,1.174345234176144E-4
bathy,-4619.5743999999995,1.11011991975829E-4
bathy,-4605.6687999999995,1.0494365415070206E-4
bathy,-4591.763199999999,9.920944285113364E-5
bathy,-4577.857599999999,9.443488670513034E-5
bathy,-4563.951999999999,9.025811596075073E-5
bathy,-4550.046399999999,8.688100933795795E-5
bathy,-4536.140799999999,8.447381696896628E-5
bathy,-4522.2352,8.263489871751517E-5
bathy,-4508.3296,8.08380646049045E-5
bathy,-4494.424,7.9673933214508E-5
bathy,-4480.5184,7.856579759391025E-5
bathy,-4466.6128,7.747505878796801E-5
bathy,-4452.7072,7.64014694141224E-5
bathy,-4438.8016,7.549661677330732E-5
bathy,-4424.896,7.482106593670323E-5
bathy,-4410.9904,7.41534968256019E-5
bathy,-4397.0848,7.34938366804272E-5
bathy,-4383.1792,7.284192543011159E-5
bathy,-4369.2735999999995,7.219768303912133E-5
bathy,-4355.368,7.156103674788028E-5
bathy,-4341.4624,7.093184103723615E-5
bathy,-4327.556799999999,7.03100158716552E-5
bathy,-4313.6512,6.969548849156126E-5
bathy,-4299.7456,6.908811337780207E-5
bathy,-4285.84,6.848783232271671E-5
bathy,-4271.9344,6.789455801481381E-5
bathy,-4258.0288,6.730816676281393E-5
bathy,-4244.1232,6.672858580714092E-5
bathy,-4230.2176,6.615574238821864E-5
bathy,-4216.312,6.558952009072527E-5
bathy,-4202.4064,6.502983887912706E-5
bathy,-4188.5008,6.447664782172069E-5
bathy,-4174.5952,6.39298086753115E-5
bathy,-4160.6896,6.33892705081962E-5
bathy,-4146.784,6.285496783675626E-5
bathy,-4132.8784,6.232678424566984E-5
bathy,-4118.9728,6.180464697536081E-5
bathy,-4105.0671999999995,6.128851237008348E-5
bathy,-4091.1615999999995,6.077826037653722E-5
bathy,-4077.256,6.0273840063018724E-5
bathy,-4063.3504,5.977516411803663E-5
bathy,-4049.4448,5.928217069595121E-5
bathy,-4035.5391999999997,5.8794787037186325E-5
bathy,-4021.6335999999997,5.83129221922718E-5
bathy,-4007.728,5.7836532505461946E-5
bathy,-3993.8224,5.73655343032442E-5
bathy,-3979.9168,5.689985482604243E-5
bathy,-3966.0112,5.6439439504174516E-5
bathy,-3952.1056,5.5984211940085515E-5
bathy,-3938.2,5.553410301217809E-5
bathy,-3924.2943999999998,5.508906542672776E-5
bathy,-3910.3887999999997,5.464902278617956E-5
bathy,-3896.4831999999997,5.421390596893616E-5
bathy,-3882.5775999999996,5.378366768127307E-5
bathy,-3868.6719999999996,5.335823880159296E-5
bathy,-3854.7663999999995,5.2937557484256104E-5
bathy,-3840.8608,5.25215727975592E-5
bathy,-3826.9552,5.211021198192611E-5
bathy,-3813.0496,5.170343501958996E-5
bathy,-3799.144,5.130117278895341E-5
bathy,-3785.2383999999997,5.0903367082355544E-5
bathy,-3771.3328,5.050997788202949E-5
bathy,-3757.4272,5.012093606637791E-5
bathy,-3743.5216,4.9736187065718696E-5
bathy,-3729.616,4.935569086228497E-5
bathy,-3715.7104,4.897920734947547E-5
bathy,-3701.8048,4.859846376348287E-5
bathy,-3687.8992,4.822195114684291E-5
bathy,-3673.9936,4.784960765391588E-5
bathy,-3660.0879999999997,4.748137143906206E-5
bathy,-3646.1823999999997,4.7117213398450986E-5
bathy,-3632.2767999999996,4.6757068048464134E-5
bathy,-3618.3712,4.6400884457398206E-5
bathy,-3604.4656,4.604862624546513E-5
bathy,-3590.56,4.57002388429828E-5
bathy,-3576.6544,4.535566768026911E-5
bathy,-3562.7488,4.5014876377535984E-5
bathy,-3548.8432,4.467781764105894E-5
bathy,-3534.9375999999997,4.434443690115586E-5
bathy,-3521.0319999999997,4.401469777803868E-5
bathy,-3507.1264,4.3688556615961716E-5
bathy,-3493.2208,4.3365962483221665E-5
bathy,-3479.3152,4.3046882638009265E-5
bathy,-3465.4096,4.2731266148621216E-5
bathy,-3451.5039999999995,4.241907299729064E-5
bathy,-3437.5984,4.211026316625066E-5
bathy,-3423.6928,4.18047966377344E-5
bathy,-3409.7871999999998,4.150262975599617E-5
bathy,-3395.8815999999997,4.12037261412479E-5
bathy,-3381.976,4.090804941370152E-5
bathy,-3368.0704,4.061554864165373E-5
bathy,-3354.1648,4.032620199723169E-5
bathy,-3340.2592,4.0039965824689716E-5
bathy,-3326.3536,3.975679646828212E-5
bathy,-3312.4480000000003,3.947666482417844E-5
bathy,-3298.5424,3.919953451259062E-5
bathy,-3284.6367999999998,3.8925365515751764E-5
bathy,-3270.7311999999997,3.865412872983143E-5
bathy,-3256.8255999999997,3.838578413706273E-5
bathy,-3242.92,3.8120298995636404E-5
bathy,-3229.0144,3.7857644201721996E-5
bathy,-3215.1088,3.7597783375531435E-5
bathy,-3201.2032,3.734067649929784E-5
bathy,-3187.2976,3.708630538312718E-5
bathy,-3173.3920000000003,3.683463000925258E-5
bathy,-3159.4864000000002,3.6585617635864764E-5
bathy,-3145.5807999999997,3.633924279711209E-5
bathy,-3131.6751999999997,3.609546911320649E-5
bathy,-3117.7695999999996,3.5854602174367756E-5
bathy,-3103.864,3.561642370186746E-5
bathy,-3089.9584,3.538075179676525E-5
bathy,-3076.0528,3.514755371725187E-5
bathy,-3062.1472,3.491681127343327E-5
bathy,-3048.2416,3.4688913729041815E-5
bathy,-3034.3360000000002,3.447067501838319E-5
bathy,-3020.4304,3.4254710044479E-5
bathy,-3006.5248,3.404098970349878E-5
bathy,-2992.6191999999996,3.3829481253633276E-5
bathy,-2978.7135999999996,3.362017378094606E-5
bathy,-2964.808,3.341303454362787E-5
bathy,-2950.9024,3.3208034437848255E-5
bathy,-2936.9968,3.3005162549670786E-5
bathy,-2923.0912,3.280438977526501E-5
bathy,-2909.1856,3.260568337282166E-5
bathy,-2895.28,3.2409036066383123E-5
bathy,-2881.3744,3.221441511414014E-5
bathy,-2867.4688,3.202179868821986E-5
bathy,-2853.5631999999996,3.183117223670706E-5
bathy,-2839.6575999999995,3.1642506655771285E-5
bathy,-2825.752,3.145578011753969E-5
bathy,-2811.8464,3.1270978070097044E-5
bathy,-2797.9408,3.1088071409612894E-5
bathy,-2784.0352,3.09070419461932E-5
bathy,-2770.1295999999998,3.0727875127922744E-5
bathy,-2756.224,3.0550545488949865E-5
bathy,-2742.3184,3.037503302039113E-5
bathy,-2728.4128,3.02013195323525E-5
bathy,-2714.5072,3.0029383196961135E-5
bathy,-2700.6015999999995,2.985921128129121E-5
bathy,-2686.696,2.9690780138480477E-5
bathy,-2672.7904,2.9524067940656096E-5
bathy,-2658.8848,2.9359063773881644E-5
bathy,-2644.9791999999998,2.919574581028428E-5
bathy,-2631.0735999999997,2.903409222199116E-5
bathy,-2617.168,2.8874093914055265E-5
bathy,-2603.2624,2.8715727239614353E-5
bathy,-2589.3568,2.855897582776379E-5
bathy,-2575.4512,2.840382330759894E-5
bathy,-2561.5456000000004,2.8250255127204582E-5
bathy,-2547.6400000000003,2.809824945870787E-5
bathy,-2533.7344,2.794779538817238E-5
bathy,-2519.8288,2.779887472570408E-5
bathy,-2505.9231999999997,2.7651467462419532E-5
bathy,-2492.0176,2.750556632236112E-5
bathy,-2478.112,2.7361149477656E-5
bathy,-2464.2064,2.721820055739954E-5
bathy,-2450.3008,2.7076710466644727E-5
bathy,-2436.3952,2.693666101549752E-5
bathy,-2422.4896000000003,2.6798034014063887E-5
bathy,-2408.5840000000003,2.666082036739681E-5
bathy,-2394.6784,2.6525003704591654E-5
bathy,-2380.7727999999997,2.639056765474379E-5
bathy,-2366.8671999999997,2.62575031229062E-5
bathy,-2352.9616,2.612579191918485E-5
bathy,-2339.056,2.5995419491664506E-5
bathy,-2325.1504,2.5866376745398156E-5
bathy,-2311.2448,2.573864912847057E-5
bathy,-2297.3392,2.5612220269977115E-5
bathy,-2283.4336000000003,2.5487081074970774E-5
bathy,-2269.5280000000002,2.536321699153632E-5
bathy,-2255.6224,2.524061346775852E-5
bathy,-2241.7167999999997,2.5119261408690363E-5
bathy,-2227.8111999999996,2.499914808140602E-5
bathy,-2213.9056,2.488025711500086E-5
bathy,-2200.0,2.4762581233517267E-5
bathy,-2186.0944,2.464610770402942E-5
bathy,-2172.1888,2.4530821974622086E-5
bathy,-2158.2832,2.4416716769337654E-5
bathy,-2144.3776000000003,2.43037793552503E-5
bathy,-2130.472,2.419199336145539E-5
bathy,-2116.5664,2.4081355149974115E-5
bathy,-2102.6608,2.3971848349901848E-5
bathy,-2088.7551999999996,2.3863463866291568E-5
bathy,-2074.8496,2.3756192604196258E-5
bathy,-2060.944,2.3650023649679497E-5
bathy,-2047.0384,2.3544942450826056E-5
bathy,-2033.1327999999999,2.3440941731678322E-5
bathy,-2019.2271999999998,2.3338012397289276E-5
bathy,-2005.3216000000002,2.3236143533722498E-5
bathy,-1991.4160000000002,2.3135324227041565E-5
bathy,-1977.5104000000001,2.3035543563310057E-5
bathy,-1963.6048,2.2936796085559763E-5
bathy,-1949.6992,2.2839067241875455E-5
bathy,-1935.7936,2.274235157528892E-5
bathy,-1921.888,2.2646638171863742E-5
bathy,-1907.9823999999999,2.25519179366529E-5
bathy,-1894.0767999999998,2.245817995571997E-5
bathy,-1880.1711999999998,2.2365416953107342E-5
bathy,-1866.2656000000002,2.22736216528574E-5
bathy,-1852.3600000000001,2.2182783141033724E-5
bathy,-1838.4544,2.2092892322689295E-5
bathy,-1824.5488,2.2003943740855902E-5
bathy,-1810.6432,2.1915924662607722E-5
bathy,-1796.7376000000004,2.1828829630976543E-5
bathy,-1782.8319999999999,2.1742649551015347E-5
bathy,-1768.9263999999998,2.165737714676652E-5
bathy,-1755.0207999999998,2.1573003323283046E-5
bathy,-1741.1151999999997,2.148952080460731E-5
bathy,-1727.2096000000001,2.1406920495792292E-5
bathy,-1713.304,2.1325196939869784E-5
bathy,-1699.3984,2.1244341041892767E-5
bathy,-1685.4928,2.1164345525903627E-5
bathy,-1671.5872,2.108520311594475E-5
bathy,-1657.6816000000003,2.1006906536058523E-5
bathy,-1643.7760000000003,2.092944851028733E-5
bathy,-1629.8703999999998,2.0852819943684153E-5
bathy,-1615.9647999999997,2.0777017198270187E-5
