variable,x,y
bathy,-5676.4,5.043346027377993E-5
bathy,-5662.4944,5.043346027377993E-5
bathy,-5648.5887999999995,5.043346027377993E-5
bathy,-5634.6831999999995,5.043346027377993E-5
bathy,-5620.777599999999,5.043346027377993E-5
bathy,-5606.871999999999,5.043346027377993E-5
bathy,-5592.966399999999,5.043346027377993E-5
bathy,-5579.060799999999,5.043346027377993E-5
bathy,-5565.155199999999,5.043346027377993E-5
bathy,-5551.249599999999,5.043346027377993E-5
bathy,-5537.344,5.043346027377993E-5
bathy,-5523.4384,5.043346027377993E-5
bathy,-5509.5328,5.043346027377993E-5
bathy,-5495.6272,5.043346027377993E-5
bathy,-5481.7216,5.043346027377993E-5
bathy,-5467.816,5.043346027377993E-5
bathy,-5453.9104,5.043346027377993E-5
bathy,-5440.0048,5.043346027377993E-5
bathy,-5426.0992,5.043346027377993E-5
bathy,-5412.1936,5.043346027377993E-5
bathy,-5398.288,5.043346027377993E-5
bathy,-5384.3823999999995,5.043346027377993E-5
bathy,-5370.4767999999995,5.043346027377993E-5
bathy,-5356.571199999999,5.043346027377993E-5
bathy,-5342.665599999999,5.043346027377993E-5
bathy,-5328.759999999999,5.043346027377993E-5
bathy,-5314.854399999999,5.043346027377993E-5
bathy,-5300.9488,5.043346027377993E-5
bathy,-5287.0432,5.043346027377993E-5
bathy,-5273.1376,5.043346027377993E-5
bathy,-5259.232,5.043346027377993E-5
bathy,-5245.3264,5.043346027377993E-5
bathy,-5231.4208,5.043346027377993E-5
bathy,-5217.5152,5.043346027377993E-5
bathy,-5203.6096,5.043346027377993E-5
bathy,-5189.704,5.043346027377993E-5
bathy,-5175.7984,5.043346027377993E-5
bathy,-5161.8928,5.043346027377993E-5
bathy,-5147.9872,5.043346027377993E-5
bathy,-5134.0815999999995,5.043346027377993E-5
bathy,-5120.1759999999995,5.043346027377993E-5
bathy,-5106.270399999999,5.043346027377993E-5
bathy,-5092.364799999999,5.151315053808503E-5
bathy,-5078.459199999999,5.489289833349176E-5
bathy,-5064.553599999999,5.8494257245911285E-5
bathy,-5050.648,6.233203021110967E-5
bathy,-5036.742399999999,6.642159860348329E-5
bathy,-5022.8368,7.077932241372764E-5
bathy,-5008.9312,7.542311504948884E-5
bathy,-4995.0256,8.037158113438636E-5
bathy,-4981.12,8.564451854908839E-5
bathy,-4967.2144,9.126360237132758E-5
bathy,-4953.3088,9.725135168991983E-5
bathy,-4939.4032,1.0363172623328865E-4
bathy,-4925.4976,1.1043094127671793E-4
bathy,-4911.592,1.1767625255743042E-4
bathy,-4897.6864,1.2539663293864578E-4
bathy,-4883.7807999999995,1.3362383469939232E-4
bathy,-4869.8751999999995,1.3407047663349658E-4
bathy,-4855.969599999999,1.3390051026362926E-4
bathy,-4842.063999999999,1.3358199794311076E-4
bathy,-4828.1584,1.3326422777026892E-4
bathy,-4814.252799999999,1.329472434008494E-4
bathy,-4800.3472,1.326309866271913E-4
bathy,-4786.4416,1.3231548655312508E-4
bathy,-4772.536,1.3086307444609702E-4
bathy,-4758.6304,1.1779223859775811E-4
bathy,-4744.7248,1.0579227819107473E-4
bathy,-4730.8192,9.50151588767767E-5
bathy,-4716.9136,8.533558866474777E-5
bathy,-4703.008,7.66421144362539E-5
bathy,-4689.1024,6.883453897899017E-5
bathy,-4675.1968,6.182209472171962E-5
bathy,-4661.2912,5.552403308684006E-5
bathy,-4647.3856,4.9867769121192396E-5
bathy,-4633.48,4.478754271985963E-5
bathy,-4619.5743999999995,4.024038935313001E-5
bathy,-4605.6687999999995,3.6594185075955465E-5
bathy,-4591.763199999999,3.484195258351974E-5
bathy,-4577.857599999999,3.382643990335055E-5
bathy,-4563.951999999999,3.362359348102473E-5
bathy,-4550.046399999999,3.385918535059318E-5
bathy,-4536.140799999999,3.440248474362306E-5
bathy,-4522.2352,3.513730189297348E-5
bathy,-4508.3296,3.588784238672815E-5
bathy,-4494.424,3.665441181510687E-5
bathy,-4480.5184,3.7437330320244655E-5
bathy,-4466.6128,3.82370017177891E-5
bathy,-4452.7072,3.905374978785403E-5
bathy,-4438.8016,3.988791650044732E-5
bathy,-4424.896,4.07399311370682E-5
bathy,-4410.9904,4.161014294368215E-5
bathy,-4397.0848,4.2498912080191076E-5
bathy,-4383.1792,4.340670056990348E-5
bathy,-4369.2735999999995,4.433387584867887E-5
bathy,-4355.368,4.528082354227081E-5
bathy,-4341.4624,4.624803113983944E-5
bathy,-4327.556799999999,4.723589518107474E-5
bathy,-4313.6512,4.824483039556071E-5
bathy,-4299.7456,4.927534973830916E-5
bathy,-4285.84,5.032787885284051E-5
bathy,-4271.9344,5.140285429661162E-5
bathy,-4258.0288,5.2500829042401165E-5
bathy,-4244.1232,5.362225783756003E-5
bathy,-4230.2176,5.4767599067417905E-5
bathy,-4216.312,5.593744936049916E-5
bathy,-4202.4064,5.713228165404871E-5
bathy,-4188.5008,5.835259798914194E-5
bathy,-4174.5952,5.959902046015486E-5
bathy,-4160.6896,6.087206566007808E-5
bathy,-4146.784,6.217225745785981E-5
bathy,-4132.8784,6.350027251755819E-5
bathy,-4118.9728,6.485664926003665E-5
bathy,-4105.0671999999995,6.62419552099891E-5
bathy,-4091.1615999999995,6.765689613530412E-5
bathy,-4077.256,6.910203228471801E-5
bathy,-4063.3504,7.057806942611933E-5
bathy,-4049.4448,7.208560418803245E-5
bathy,-4035.5391999999997,7.362533506238833E-5
bathy,-4021.6335999999997,7.519798964494839E-5
bathy,-4007.728,7.680420821998268E-5
bathy,-3993.8224,7.844473293516785E-5
bathy,-3979.9168,8.012032776605338E-5
bathy,-3966.0112,8.183168392861262E-5
bathy,-3952.1056,8.357959450222552E-5
bathy,-3938.2,8.536486711818725E-5
bathy,-3924.2943999999998,8.718825120013207E-5
bathy,-3910.3887999999997,8.9050576207228E-5
bathy,-3896.4831999999997,9.095271525438875E-5
bathy,-3882.5775999999996,9.289544686907902E-5
bathy,-3868.6719999999996,9.487967327004299E-5
bathy,-3854.7663999999995,9.690632577985525E-5
bathy,-3840.8608,9.897622658172622E-5
bathy,-3826.9552,1.0109037975780666E-4
bathy,-3813.0496,1.0324965114705265E-4
bathy,-3799.144,1.0545504483161494E-4
bathy,-3785.2383999999997,1.0770758672151715E-4
bathy,-3771.3328,1.1000820086337626E-4
bathy,-3757.4272,1.1232473480049521E-4
