variable,x,y
D2C,-22319.179266368712,3.3946329494938254E-4
D2C,-21721.64922569461,3.3946329494938254E-4
D2C,-21124.119185020514,3.3946329494938254E-4
D2C,-20526.589144346413,3.3946329494938254E-4
D2C,-19929.059103672316,3.3946329494938254E-4
D2C,-19331.529062998216,3.3946329494938254E-4
D2C,-18733.99902232412,3.3946329494938254E-4
D2C,-18136.468981650018,3.3946329494938254E-4
D2C,-17538.938940975917,3.3946329494938254E-4
D2C,-16941.40890030182,3.3946329494938254E-4
D2C,-16343.87885962772,3.3946329494938254E-4
D2C,-15746.348818953622,3.3946329494938254E-4
D2C,-15148.818778279523,3.3946329494938254E-4
D2C,-14551.288737605424,3.3946329494938254E-4
D2C,-13953.758696931325,3.3946329494938254E-4
D2C,-13356.228656257226,3.3946329494938254E-4
D2C,-12758.698615583126,3.3946329494938254E-4
D2C,-12161.168574909027,3.3946329494938254E-4
D2C,-11563.63853423493,3.3946329494938254E-4
D2C,-10966.108493560829,3.3946329494938254E-4
D2C,-10368.57845288673,3.3946329494938254E-4
D2C,-9771.04841221263,3.3946329494938254E-4
D2C,-9173.518371538532,3.3946329494938254E-4
D2C,-8575.988330864431,3.3946329494938254E-4
D2C,-7978.458290190334,3.3946329494938254E-4
D2C,-7380.928249516235,3.3946329494938254E-4
D2C,-6783.398208842134,3.3946329494938254E-4
D2C,-6185.8681681680355,3.3946329494938254E-4
D2C,-5588.338127493938,3.3946329494938254E-4
D2C,-4990.808086819838,3.3946329494938254E-4
D2C,-4393.2780461457405,3.3946329494938254E-4
D2C,-3795.7480054716398,3.3946329494938254E-4
D2C,-3198.217964797539,3.3946329494938254E-4
D2C,-2600.687924123442,3.3946329494938254E-4
D2C,-2003.1578834493412,3.3946329494938254E-4
D2C,-1405.627842775244,3.3946329494938254E-4
D2C,-808.097802101147,3.3946329494938254E-4
D2C,-210.56776142704257,3.3946329494938254E-4
D2C,386.96227924705454,3.3946329494938254E-4
D2C,984.4923199211516,3.3946329494938254E-4
D2C,1582.0223605952524,3.3946329494938254E-4
D2C,2179.552401269353,3.3946329494938254E-4
D2C,2777.0824419434502,3.386002208571881E-4
D2C,3374.612482617551,3.360233677085489E-4
D2C,3972.142523291648,3.334650245960802E-4
D2C,4569.672563965745,3.3092504600062966E-4
D2C,5167.20260463985,3.284033155068755E-4
D2C,5764.732645313947,3.258997166994959E-4
D2C,6362.262685988044,3.2341410405933857E-4
D2C,6959.792726662145,3.209464193787426E-4
D2C,7557.322767336242,3.1849645893089473E-4
D2C,8154.852808010346,3.160641645081341E-4
D2C,8752.382848684443,3.1364941969513893E-4
D2C,9349.91288935854,3.112520498689264E-4
D2C,9947.442930032641,3.0887199682183564E-4
D2C,10544.972970706742,3.0650911503471434E-4
D2C,11142.503011380835,3.041632880922407E-4
D2C,11740.033052054936,3.0183439957909286E-4
D2C,12337.563092729037,2.995223621837795E-4
D2C,12935.093133403137,2.9722703038714826E-4
D2C,13532.623174077231,2.949482877738774E-4
D2C,14130.153214751332,2.9268607613630593E-4
D2C,14727.683255425432,2.9044022085145116E-4
D2C,15325.213296099533,2.882106346078217E-4
D2C,15922.743336773634,2.859972300939262E-4
D2C,16520.273377447727,2.8379986179061234E-4
D2C,17117.803418121828,2.816184423863888E-4
D2C,17715.33345879593,2.794528554659337E-4
D2C,18312.86349947003,2.773029846139252E-4
D2C,18910.39354014413,2.75168742518872E-4
D2C,19507.923580818224,2.7305001276545227E-4
D2C,20105.453621492325,2.709467080421746E-4
D2C,20702.983662166418,2.688586828298867E-4
D2C,21300.513702840526,2.6678587892092764E-4
D2C,21898.043743514627,2.647281507961452E-4
D2C,22495.57378418872,2.6268544024787843E-4
D2C,23093.10382486282,2.6065760175697505E-4
D2C,23690.63386553692,2.5864457711577415E-4
D2C,24288.163906211015,2.5664622080512345E-4
D2C,24885.693946885123,2.54662474617362E-4
D2C,25483.223987559217,2.526931930333376E-4
D2C,26080.754028233318,2.5073831784538925E-4
D2C,26678.28406890742,2.4879773263819516E-4
D2C,27275.81410958151,2.4687135010026395E-4
D2C,27873.344150255612,2.449590538162738E-4
D2C,28470.874190929713,2.4306077102664858E-4
D2C,29068.404231603814,2.4117638531606644E-4
D2C,29665.934272277915,2.3930580937303603E-4
D2C,30263.46431295201,2.3744895588606596E-4
D2C,30860.99435362611,2.3560572299174964E-4
D2C,31458.524394300202,2.3377600882668048E-4
D2C,32056.05443497431,2.3195974063128233E-4
D2C,32653.58447564841,2.3015680199023336E-4
D2C,33251.1145163225,2.2836713469587266E-4
