variable,x,y
D2C,-22319.179266368712,3.367794502992183E-4
D2C,-22020.41424603166,3.367794502992183E-4
D2C,-21721.64922569461,3.367794502992183E-4
D2C,-21422.884205357564,3.367794502992183E-4
D2C,-21124.119185020514,3.367794502992183E-4
D2C,-20825.354164683464,3.367794502992183E-4
D2C,-20526.589144346413,3.367794502992183E-4
D2C,-20227.824124009367,3.367794502992183E-4
D2C,-19929.059103672316,3.367794502992183E-4
D2C,-19630.294083335266,3.367794502992183E-4
D2C,-19331.529062998216,3.367794502992183E-4
D2C,-19032.76404266117,3.367794502992183E-4
D2C,-18733.99902232412,3.367794502992183E-4
D2C,-18435.234001987068,3.367794502992183E-4
D2C,-18136.468981650018,3.367794502992183E-4
D2C,-17837.703961312967,3.367794502992183E-4
D2C,-17538.938940975917,3.367794502992183E-4
D2C,-17240.17392063887,3.367794502992183E-4
D2C,-16941.40890030182,3.367794502992183E-4
D2C,-16642.64387996477,3.367794502992183E-4
D2C,-16343.87885962772,3.367794502992183E-4
D2C,-16045.113839290672,3.367794502992183E-4
D2C,-15746.348818953622,3.367794502992183E-4
D2C,-15447.583798616572,3.367794502992183E-4
D2C,-15148.818778279523,3.367794502992183E-4
D2C,-14850.053757942474,3.367794502992183E-4
D2C,-14551.288737605424,3.367794502992183E-4
D2C,-14252.523717268374,3.367794502992183E-4
D2C,-13953.758696931325,3.367794502992183E-4
D2C,-13654.993676594275,3.367794502992183E-4
D2C,-13356.228656257226,3.367794502992183E-4
D2C,-13057.463635920176,3.367794502992183E-4
D2C,-12758.698615583126,3.367794502992183E-4
D2C,-12459.933595246077,3.367794502992183E-4
D2C,-12161.168574909027,3.367794502992183E-4
D2C,-11862.403554571978,3.367794502992183E-4
D2C,-11563.63853423493,3.367794502992183E-4
D2C,-11264.873513897877,3.367794502992183E-4
D2C,-10966.108493560829,3.367794502992183E-4
D2C,-10667.34347322378,3.367794502992183E-4
D2C,-10368.57845288673,3.367794502992183E-4
D2C,-10069.81343254968,3.367794502992183E-4
D2C,-9771.04841221263,3.367794502992183E-4
D2C,-9472.28339187558,3.367794502992183E-4
D2C,-9173.518371538532,3.367794502992183E-4
D2C,-8874.753351201483,3.367794502992183E-4
D2C,-8575.988330864431,3.367794502992183E-4
D2C,-8277.223310527383,3.367794502992183E-4
D2C,-7978.458290190334,3.367794502992183E-4
D2C,-7679.693269853284,3.367794502992183E-4
D2C,-7380.928249516235,3.367794502992183E-4
