Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.76203E-7,0.00002762,0.002698207,1,0,0
3.98938E-7,0.000067514,0.003894856,0.999920369,0,0
4.27522E-7,0.000110266,0.004173333,0.999840739,0,0
5.40693E-7,0.000268753,0.005275158,0.999601847,0,0
6.1915E-7,0.000509639,0.00603829,0.999283325,0,0
7.80134E-7,0.001012803,0.007602313,0.998725912,0,0
9.94222E-7,0.002588965,0.009678452,0.997292563,0,0
1.3593E-6,0.005088701,0.013208858,0.995620322,0,0
1.85971E-6,0.01003448,0.018027446,0.993151776,0,0
3.00145E-6,0.025109517,0.028933712,0.988214684,0,0
4.23798E-6,0.050125736,0.040608807,0.982799809,0,0
5.74402E-6,0.100123623,0.054639233,0.974916388,0,0.003257329
7.12242E-6,0.200210191,0.067300632,0.962573658,0,0.006514658
7.8726E-6,0.300541381,0.074120025,0.951903169,0.001087745,0.006514658
8.59288E-6,0.400261537,0.080620722,0.942267877,0.002175489,0.009771987
9.29509E-6,0.500002675,0.086914387,0.933349259,0.002538071,0.013029316
9.9774E-6,0.600171722,0.092988402,0.925067686,0.002900653,0.016286645
1.05684E-5,0.700936069,0.098217005,0.917263896,0.004713561,0.026058632
1.08134E-5,0.750084163,0.100375827,0.913600892,0.005076142,0.026058632
1.11261E-5,0.800448764,0.103123542,0.909937888,0.005076142,0.026058632
1.17275E-5,0.900987611,0.108383814,0.902930403,0.005438724,0.029315961
1.22757E-5,1.000701961,0.11315226,0.89632107,0.006526468,0.029315961
1.27487E-5,1.100994629,0.117246121,0.889950629,0.007614213,0.029315961
1.33905E-5,1.200467699,0.122771343,0.88389871,0.007976795,0.03257329
1.39043E-5,1.301304285,0.127169504,0.878006052,0.008339376,0.03257329
1.43204E-5,1.400038131,0.130714876,0.872431916,0.008701958,0.03257329
1.49054E-5,1.500916477,0.135674981,0.86693741,0.009789703,0.03257329
1.63862E-5,1.75092803,0.148105013,0.854196528,0.010152284,0.03257329
1.77443E-5,2.000104964,0.1593478,0.842570473,0.010514866,0.03257329
