variable,x,y
anom,-1.3269999623298645,1.0563651449047029E-4
anom,-1.3198719625473023,1.0563651449047029E-4
anom,-1.31274396276474,1.0563651449047029E-4
anom,-1.3056159629821777,1.0563651449047029E-4
anom,-1.2984879631996156,1.0563651449047029E-4
anom,-1.2913599634170532,1.0563651449047029E-4
anom,-1.284231963634491,1.0563651449047029E-4
anom,-1.2771039638519288,1.0563651449047029E-4
anom,-1.2699759640693664,1.0563651449047029E-4
anom,-1.2628479642868042,1.0563651449047029E-4
anom,-1.2557199645042418,1.0563651449047029E-4
anom,-1.2485919647216797,1.0563651449047029E-4
anom,-1.2414639649391175,1.0563651449047029E-4
anom,-1.234335965156555,1.0563651449047029E-4
anom,-1.227207965373993,1.0563651449047029E-4
anom,-1.2200799655914307,1.0563651449047029E-4
anom,-1.2129519658088683,1.0563651449047029E-4
anom,-1.2058239660263061,1.0563651449047029E-4
anom,-1.198695966243744,1.0563651449047029E-4
anom,-1.1915679664611816,1.0563651449047029E-4
anom,-1.1844399666786194,1.0563651449047029E-4
anom,-1.1773119668960572,1.0563651449047029E-4
anom,-1.1701839671134948,1.0563651449047029E-4
anom,-1.1630559673309326,1.0563651449047029E-4
anom,-1.1559279675483705,1.0563651449047029E-4
anom,-1.148799967765808,1.0563651449047029E-4
anom,-1.1416719679832459,1.0563651449047029E-4
anom,-1.1345439682006835,1.0563651449047029E-4
anom,-1.1274159684181213,1.0563651449047029E-4
anom,-1.1202879686355591,1.0563651449047029E-4
anom,-1.113159968852997,1.0563651449047029E-4
anom,-1.1060319690704346,1.0563651449047029E-4
anom,-1.0989039692878724,1.0563651449047029E-4
anom,-1.09177596950531,1.0563651449047029E-4
anom,-1.0846479697227478,1.0563651449047029E-4
anom,-1.0775199699401856,1.0563651449047029E-4
anom,-1.0703919701576232,1.0563651449047029E-4
anom,-1.063263970375061,1.0563651449047029E-4
anom,-1.0561359705924986,1.0563651449047029E-4
anom,-1.0490079708099365,1.0563651449047029E-4
anom,-1.0418799710273743,1.0563651449047029E-4
anom,-1.034751971244812,1.0563651449047029E-4
anom,-1.0276239714622497,1.0558091889834031E-4
anom,-1.0204959716796875,1.0541432129684836E-4
anom,-1.0133679718971251,1.0524798562983051E-4
anom,-1.006239972114563,1.0508191189728677E-4
anom,-0.9991119723320008,1.0491609282325953E-4
anom,-0.9919839725494385,1.0475054295966402E-4
anom,-0.9848559727668762,1.0458525503054261E-4
anom,-0.977727972984314,1.0442022903589532E-4
anom,-0.9705999732017517,1.0425545769976452E-4
anom,-0.9634719734191894,1.0409094829810783E-4
anom,-0.9563439736366273,1.0392670083092526E-4
anom,-0.9492159738540649,1.0376270802225918E-4
anom,-0.9420879740715027,1.035989771480672E-4
anom,-0.9349599742889405,1.0343550820834935E-4
anom,-0.9278319745063781,1.0327229392714798E-4
anom,-0.9207039747238159,1.0310933430446312E-4
anom,-0.9135759749412536,1.0294663661625236E-4
anom,-0.9064479751586914,1.027841935865581E-4
anom,-0.8993199753761292,1.0262200521538034E-4
anom,-0.8921919755935669,1.0246007877867669E-4
anom,-0.8850639758110046,1.0229839972453192E-4
anom,-0.8779359760284424,1.0213698260486126E-4
anom,-0.8708079762458801,1.0197581286774948E-4
anom,-0.8636799764633178,1.0181490506511182E-4
anom,-0.8565519766807557,1.0165424464503303E-4
anom,-0.8494239768981934,1.0149384615942836E-4
anom,-0.8422959771156311,1.0133369505638257E-4
anom,-0.8351679773330689,1.0117379133589566E-4
anom,-0.8280399775505065,1.0101414954988286E-4
anom,-0.8209119777679443,1.0085475514642894E-4
anom,-0.813783977985382,1.0069561540149152E-4
anom,-0.8066559782028199,1.0053672303911299E-4
anom,-0.7995279784202576,1.0037807805929333E-4
anom,-0.7923999786376953,1.0021968773799017E-4
anom,-0.785271978855133,1.0006155207520351E-4
anom,-0.7781439790725708,9.990366379497573E-5
anom,-0.7710159792900085,9.974601562134922E-5
anom,-0.7638879795074462,9.958862938219681E-5
anom,-0.7567599797248841,9.943148324964568E-5
anom,-0.7496319799423218,9.927458449965343E-5
anom,-0.7425039801597595,9.911793313222006E-5
anom,-0.7353759803771973,9.896153642330319E-5
anom,-0.728247980594635,9.880537982098758E-5
anom,-0.7211199808120727,9.864947060123086E-5
anom,-0.7139919810295104,9.849380876403302E-5
anom,-0.7068639812469483,9.833839430939406E-5
anom,-0.699735981464386,9.818321996135637E-5
anom,-0.6926079816818237,9.802829299587756E-5
anom,-0.6854799818992615,9.787361341295764E-5
anom,-0.6783519821166992,9.771917393663898E-5
anom,-0.6712239823341369,9.75649818428792E-5
anom,-0.6640959825515748,9.74110298557207E-5
anom,-0.6569679827690125,9.725731797516346E-5
anom,-0.6498399829864502,9.71038534771651E-5
anom,-0.6427119832038879,9.695062908576801E-5
anom,-0.6355839834213257,9.67976448009722E-5
anom,-0.6284559836387634,9.664490789873526E-5
anom,-0.6213279838562011,9.649241110309958E-5
anom,-0.614199984073639,9.634014713810757E-5
anom,-0.6070719842910767,9.618813055567443E-5
anom,-0.5999439845085144,9.603635407984257E-5
anom,-0.5928159847259521,9.588481043465436E-5
anom,-0.5856879849433899,9.573351417202502E-5
anom,-0.5785599851608276,9.558245074003935E-5
anom,-0.5714319853782653,9.543162741465494E-5
anom,-0.5643039855957032,9.52810441958718E-5
anom,-0.5571759858131409,9.513069380773231E-5
anom,-0.5500479860305786,9.49805835261941E-5
anom,-0.5429199862480164,9.483071335125715E-5
anom,-0.5357919864654541,9.468107600696385E-5
anom,-0.5286639866828918,9.453167876927182E-5
anom,-0.5215359869003295,9.438250708626583E-5
anom,-0.5144079871177674,9.423358278581873E-5
anom,-0.5072799873352051,9.408488404005766E-5
anom,-0.5001519875526428,9.393642540089786E-5
anom,-0.4930239877700806,9.378819959238172E-5
anom,-0.4858959879875183,9.364020661450922E-5
anom,-0.47876798820495603,9.3492453743238E-5
anom,-0.47163998842239385,9.334492642665282E-5
anom,-0.46451198863983156,9.319763194071129E-5
anom,-0.4573839888572693,9.305057756137103E-5
anom,-0.450255989074707,9.290374873671681E-5
anom,-0.4431279892921448,9.275715274270624E-5
anom,-0.4359999895095825,9.261078230338171E-5
anom,-0.42887198972702023,9.246465197065845E-5
anom,-0.42174398994445805,9.231874719262123E-5
anom,-0.41461599016189576,9.217307524522766E-5
anom,-0.4074879903793335,9.202762885252014E-5
anom,-0.4003599905967712,9.188241529045627E-5
anom,-0.393231990814209,9.173743455903605E-5
anom,-0.3861039910316467,9.159267938230187E-5
anom,-0.37897599124908443,9.144814976025373E-5
anom,-0.37184799146652225,9.130385296884924E-5
anom,-0.36471999168395997,9.11597817321308E-5
anom,-0.3575919919013977,9.101593605009839E-5
anom,-0.3504639921188355,9.087231592275202E-5
anom,-0.3433359923362732,9.072892862604931E-5
anom,-0.3362079925537109,9.058576688403264E-5
anom,-0.32907999277114863,9.051123197423294E-5
anom,-0.32195199298858634,9.045414481079206E-5
anom,-0.31482399320602417,9.040167060447857E-5
anom,-0.307695993423462,9.034923277795315E-5
anom,-0.3005679936408996,9.029682405525818E-5
anom,-0.2934399938583374,9.024444443639368E-5
anom,-0.28631199407577523,9.019209392135963E-5
anom,-0.27918399429321283,9.013977251015604E-5
anom,-0.27205599451065066,9.008748747874051E-5
anom,-0.2649279947280885,9.003522427519783E-5
anom,-0.2577999949455261,8.998299745144323E-5
anom,-0.2506719951629639,8.993079973151907E-5
anom,-0.2435439953804015,8.987863111542538E-5
anom,-0.23641599559783932,8.982649887911975E-5
anom,-0.22928799581527715,8.977438847068697E-5
anom,-0.22215999603271475,8.972231444204226E-5
anom,-0.21503199625015257,8.967026224127039E-5
anom,-0.2079039964675904,8.96182464202866E-5
anom,-0.200775996685028,8.956625970313326E-5
anom,-0.1936479969024658,8.951430936576799E-5
anom,-0.18651999711990364,8.946238085627556E-5
anom,-0.17939199733734124,8.94104887265712E-5
anom,-0.17226399755477906,8.935861842473969E-5
anom,-0.16513599777221688,8.930678450269625E-5
anom,-0.15800799798965448,8.925497968448326E-5
anom,-0.1508799982070923,8.920320397010073E-5
anom,-0.14375199842453013,8.915145735954866E-5
anom,-0.13662399864196773,8.909973985282704E-5
anom,-0.12949599885940555,8.90480587258935E-5
anom,-0.12236799907684337,8.89963994268328E-5
anom,-0.11523999929428097,8.894477650756016E-5
anom,-0.10811199951171879,8.889318269211799E-5
anom,-0.10098399972915639,8.884161798050627E-5
anom,-0.09385599994659422,8.879008237272501E-5
anom,-0.08672800016403204,8.87385758687742E-5
anom,-0.07960000038146964,8.868709846865386E-5
anom,-0.07247200059890746,8.863565017236397E-5
anom,-0.06534400081634528,8.858423825586215E-5
anom,-0.05821600103378288,8.853284816723317E-5
anom,-0.051088001251220705,8.848149445839226E-5
anom,-0.04396000146865853,8.84301625774242E-5
anom,-0.03683200168609613,8.83788670762442E-5
anom,-0.02970400190353395,8.832760067889467E-5
anom,-0.022576002120971772,8.827636338537559E-5
anom,-0.015448002338409372,8.822515519568697E-5
anom,-0.008320002555847195,8.81739761098288E-5
anom,-0.001192002773285017,8.812282612780109E-5
anom,0.005935997009277383,8.807171252556145E-5
anom,0.01306399679183956,8.802062075119466E-5
anom,0.02019199657440196,8.796956535661593E-5
anom,0.027319996356964138,8.791853178991005E-5
anom,0.034447996139526316,8.786753460299224E-5
anom,0.041575995922088715,8.781655924394727E-5
anom,0.04870399570465089,8.776562026469037E-5
anom,0.05583199548721307,8.77206475706771E-5
anom,0.06295999526977547,8.77206475706771E-5
anom,0.07008799505233765,8.77206475706771E-5
anom,0.07721599483489983,8.77206475706771E-5
anom,0.08434399461746223,8.77206475706771E-5
anom,0.0914719944000244,8.77206475706771E-5
anom,0.09859999418258658,8.77206475706771E-5
anom,0.10572799396514898,8.77206475706771E-5
anom,0.11285599374771116,8.77206475706771E-5
anom,0.11998399353027334,8.77206475706771E-5
anom,0.12711199331283574,8.77206475706771E-5
anom,0.1342399930953979,8.77206475706771E-5
anom,0.1413679928779603,8.77206475706771E-5
anom,0.1484959926605225,8.77206475706771E-5
anom,0.15562399244308467,8.77206475706771E-5
anom,0.16275199222564707,8.77206475706771E-5
anom,0.16987999200820925,8.77206475706771E-5
anom,0.17700799179077142,8.77206475706771E-5
anom,0.18413599157333382,8.77206475706771E-5
anom,0.191263991355896,8.77206475706771E-5
anom,0.19839199113845818,8.77206475706771E-5
anom,0.20551999092102058,8.77206475706771E-5
anom,0.21264799070358276,8.77206475706771E-5
anom,0.21977599048614493,8.77206475706771E-5
anom,0.22690399026870733,8.77206475706771E-5
anom,0.2340319900512695,8.77206475706771E-5
anom,0.2411599898338317,8.77206475706771E-5
anom,0.2482879896163941,8.77206475706771E-5
anom,0.25541598939895627,8.77206475706771E-5
anom,0.26254398918151844,8.77206475706771E-5
anom,0.26967198896408084,8.77206475706771E-5
anom,0.276799988746643,8.77206475706771E-5
anom,0.2839279885292054,8.77206475706771E-5
anom,0.2910559883117676,8.77206475706771E-5
anom,0.2981839880943298,8.77206475706771E-5
anom,0.3053119878768922,8.77206475706771E-5
anom,0.31243998765945435,8.77206475706771E-5
anom,0.31956798744201653,8.77206475706771E-5
anom,0.32669598722457893,8.77206475706771E-5
anom,0.3338239870071411,8.77206475706771E-5
anom,0.3409519867897033,8.77206475706771E-5
anom,0.3480799865722657,8.77206475706771E-5
anom,0.35520798635482786,8.77206475706771E-5
anom,0.36233598613739004,8.77206475706771E-5
anom,0.36946398591995244,8.77206475706771E-5
anom,0.3765919857025146,8.77206475706771E-5
anom,0.3837199854850768,8.77206475706771E-5
anom,0.3908479852676392,8.77206475706771E-5
anom,0.3979759850502014,8.77206475706771E-5
anom,0.4051039848327638,8.77206475706771E-5
anom,0.41223198461532595,8.77206475706771E-5
anom,0.41935998439788813,8.77206475706771E-5
anom,0.42648798418045053,8.77206475706771E-5
anom,0.4336159839630127,8.77206475706771E-5
anom,0.4407439837455749,8.77206475706771E-5
anom,0.4478719835281373,8.77206475706771E-5
anom,0.45499998331069946,8.77206475706771E-5
anom,0.46212798309326164,8.77206475706771E-5
anom,0.46925598287582404,8.767932740738615E-5
anom,0.4763839826583862,8.759528282098472E-5
anom,0.4835119824409484,8.744967635720968E-5
anom,0.4906399822235108,8.727663953322917E-5
anom,0.497767982006073,8.708723908057436E-5
anom,0.5048959817886352,8.688343223184347E-5
anom,0.5120239815711976,8.660604362376034E-5
anom,0.5191519813537597,8.63284440129064E-5
anom,0.5262799811363221,8.6051739344839E-5
anom,0.5334079809188843,8.577592234360054E-5
anom,0.5405359807014465,8.550097845727578E-5
anom,0.5476639804840089,8.522692951373756E-5
anom,0.5547919802665711,8.495374640915543E-5
anom,0.5619199800491332,8.468145097140223E-5
anom,0.5690479798316956,8.441002137260512E-5
anom,0.5761759796142578,8.413945761276409E-5
anom,0.58330397939682,8.386976696783677E-5
anom,0.5904319791793824,8.360094216186553E-5
anom,0.5975599789619446,8.333297591889277E-5
anom,0.6046879787445067,8.306586823891848E-5
anom,0.6118159785270691,8.279961912194267E-5
anom,0.6189439783096313,8.253422129200771E-5
anom,0.6260719780921935,8.226967474911362E-5
anom,0.6331999778747559,8.200597949326038E-5
anom,0.6403279776573181,8.174312824849039E-5
anom,0.6474559774398805,8.148111373884603E-5
anom,0.6545839772224427,8.121994324028492E-5
anom,0.6617119770050048,8.087780588539317E-5
anom,0.6688399767875672,8.05320669314824E-5
anom,0.6759679765701292,8.01877977210097E-5
anom,0.6830959763526918,7.984500552993268E-5
anom,0.690223976135254,7.950368308229372E-5
anom,0.6973519759178162,7.91638158261776E-5
anom,0.7044799757003783,7.88253964856267E-5
anom,0.7116079754829405,7.848843233659863E-5
anom,0.7187359752655031,7.815290155122057E-5
anom,0.7258639750480653,7.78188114054501E-5
anom,0.7329919748306275,7.748614007141441E-5
anom,0.7401199746131897,7.715490210102871E-5
anom,0.7472479743957519,7.682506839046255E-5
anom,0.754375974178314,7.649665349163115E-5
anom,0.7615039739608767,7.616964285261929E-5
anom,0.7686319737434388,7.584402919746935E-5
anom,0.775759973526001,7.551980525022373E-5
anom,0.7828879733085632,7.51969637349248E-5
anom,0.7900159730911254,7.487550465157256E-5
anom,0.7971439728736875,7.45554207242094E-5
anom,0.8042719726562502,7.423671195283532E-5
anom,0.8113999724388123,7.391935650957748E-5
anom,0.8185279722213745,7.36033616703935E-5
anom,0.8256559720039367,7.328871288336813E-5
anom,0.8327839717864989,7.297541742445901E-5
anom,0.8399119715690615,7.266345346579328E-5
anom,0.8470399713516237,7.235282828332856E-5
anom,0.8541679711341859,7.204352732514963E-5
anom,0.861295970916748,7.173555059125647E-5
anom,0.8684239706993102,7.142889080569148E-5
anom,0.8755519704818724,7.112354069249704E-5
anom,0.882679970264435,7.081950025167316E-5
anom,0.8898079700469972,7.05167549313046E-5
anom,0.8969359698295594,7.021530473139137E-5
anom,0.9040639696121215,6.991514965193346E-5
anom,0.9111919693946837,6.961626786505803E-5
anom,0.9183199691772459,6.93186666467227E-5
anom,0.9254479689598085,6.902233872096986E-5
anom,0.9325759687423707,6.872727681184188E-5
anom,0.9397039685249329,6.843347364338115E-5
anom,0.946831968307495,6.814092921558768E-5
anom,0.9539599680900572,6.784963625250384E-5
anom,0.9610879678726194,6.755958747817203E-5
anom,0.968215967655182,6.727078289259225E-5
anom,0.9753439674377442,6.698320794384927E-5
anom,0.9824719672203064,6.669686263194308E-5
anom,0.9895999670028686,6.641173968091607E-5
anom,0.9967279667854307,6.625902460655198E-5
anom,1.0038559665679934,6.651736475760117E-5
anom,1.0109839663505555,6.699611549265683E-5
anom,1.0181119661331177,6.752064655302092E-5
anom,1.02523996591568,6.805331213399768E-5
anom,1.032367965698242,6.870678771520033E-5
anom,1.0394959654808043,6.936653517186642E-5
anom,1.0466239652633669,7.003261998761445E-5
anom,1.053751965045929,7.070510037010536E-5
anom,1.0608799648284912,7.138404180295765E-5
anom,1.0680079646110534,7.206949521787465E-5
anom,1.0751359643936156,7.276154065039009E-5
anom,1.0822639641761778,7.346022175624967E-5
anom,1.0893919639587404,7.416561857098714E-5
anom,1.0965199637413026,7.48777820263058E-5
anom,1.1036479635238647,7.55967921577394E-5
anom,1.110775963306427,7.632269989699125E-5
anom,1.117903963088989,7.705557800363749E-5
anom,1.1250319628715517,7.779549923725426E-5
anom,1.132159962654114,7.854252180550247E-5
anom,1.139287962436676,7.929671846795827E-5
anom,1.1464159622192382,8.005815470824018E-5
anom,1.1535439620018004,8.082690328592435E-5
anom,1.1606719617843626,8.16030369605869E-5
anom,1.1677999615669252,8.238662121584639E-5
anom,1.1749279613494874,8.317772881127894E-5
anom,1.1820559611320496,8.39764325064607E-5
anom,1.1891839609146118,8.47828050609678E-5
anom,1.196311960697174,8.559692651033401E-5
anom,1.2034399604797361,8.641885506222025E-5
anom,1.2105679602622987,8.724868530407548E-5
anom,1.217695960044861,8.808648271951824E-5
anom,1.224823959827423,8.893232006812468E-5
anom,1.2319519596099853,8.978628466138616E-5
anom,1.2390799593925474,9.064844925887883E-5
anom,1.24620795917511,9.151888662017882E-5
anom,1.2533359589576722,9.239769133273512E-5
anom,1.2604639587402344,9.328492888016626E-5
anom,1.2675919585227966,9.263013635063544E-5
anom,1.2747199583053588,8.93462129170075E-5
anom,1.281847958087921,8.617870480520651E-5
anom,1.2889759578704836,8.257892477558926E-5
anom,1.2961039576530458,7.859479228500277E-5
anom,1.303231957435608,7.416487642331049E-5
anom,1.3103599572181701,6.998464959906414E-5
anom,1.3174879570007323,6.60400401102379E-5
anom,1.3246159567832945,6.231776205822825E-5
anom,1.331743956565857,5.88052898820024E-5
anom,1.3388719563484193,5.5490792874479666E-5
anom,1.3459999561309814,5.236311335465871E-5
anom,1.3531279559135436,4.94117230118718E-5
anom,1.3602559556961058,4.662668288801797E-5
anom,1.3673839554786684,4.3998617911711335E-5
anom,1.3745119552612306,4.1518684156471863E-5
anom,1.3816399550437928,3.917852518497966E-5
anom,1.388767954826355,3.697027204907499E-5
anom,1.3958959546089171,3.4886481444118544E-5
anom,1.4030239543914793,3.292014298494905E-5
anom,1.410151954174042,3.10646319121588E-5
anom,1.417279953956604,2.9313707273104228E-5
anom,1.4244079537391663,2.7661471904139034E-5
anom,1.4315359535217285,2.6102361516677774E-5
anom,1.4386639533042906,2.4631130145280622E-5
anom,1.4457919530868528,2.3242822862812318E-5
anom,1.4529199528694154,2.193276486650575E-5
anom,1.4600479526519776,2.0696548745036125E-5
anom,1.4671759524345398,1.9530009012669325E-5
anom,1.474303952217102,1.8429220290272497E-5
anom,1.4814319519996642,1.7390477296430618E-5
anom,1.4885599517822268,1.641028211452067E-5
anom,1.495687951564789,1.5485333278775215E-5
anom,1.5028159513473511,1.4612519407819491E-5
anom,1.5099439511299133,1.3788900105282664E-5
anom,1.5170719509124755,1.3011703231313732E-5
anom,1.5241999506950377,1.2278312169655692E-5
anom,1.5313279504776003,1.1586258551687934E-5
anom,1.5384559502601625,1.0933211342489813E-5
anom,1.5455839500427246,1.0316972293367144E-5
anom,1.5527119498252868,9.735466846905183E-6
anom,1.559839949607849,9.186737770505715E-6
