variable,x,y
bathy,-5676.4,9.802450949791819E-5
bathy,-5662.4944,9.802450949791819E-5
bathy,-5648.5887999999995,9.802450949791819E-5
bathy,-5634.6831999999995,9.802450949791819E-5
bathy,-5620.777599999999,9.802450949791819E-5
bathy,-5606.871999999999,9.802450949791819E-5
bathy,-5592.966399999999,9.802450949791819E-5
bathy,-5579.060799999999,9.802450949791819E-5
bathy,-5565.155199999999,9.802450949791819E-5
bathy,-5551.249599999999,9.802450949791819E-5
bathy,-5537.344,9.802450949791819E-5
bathy,-5523.4384,9.802450949791819E-5
bathy,-5509.5328,9.802450949791819E-5
bathy,-5495.6272,9.802450949791819E-5
bathy,-5481.7216,9.802450949791819E-5
bathy,-5467.816,9.802450949791819E-5
bathy,-5453.9104,9.802450949791819E-5
bathy,-5440.0048,9.802450949791819E-5
bathy,-5426.0992,9.802450949791819E-5
bathy,-5412.1936,9.802450949791819E-5
bathy,-5398.288,9.802450949791819E-5
bathy,-5384.3823999999995,9.802450949791819E-5
bathy,-5370.4767999999995,9.802450949791819E-5
bathy,-5356.571199999999,9.802450949791819E-5
bathy,-5342.665599999999,9.802450949791819E-5
bathy,-5328.759999999999,9.802450949791819E-5
bathy,-5314.854399999999,9.802450949791819E-5
bathy,-5300.9488,9.802450949791819E-5
bathy,-5287.0432,9.802450949791819E-5
bathy,-5273.1376,9.802450949791819E-5
bathy,-5259.232,9.802450949791819E-5
bathy,-5245.3264,9.802450949791819E-5
bathy,-5231.4208,9.802450949791819E-5
bathy,-5217.5152,9.802450949791819E-5
bathy,-5203.6096,9.802450949791819E-5
bathy,-5189.704,9.802450949791819E-5
bathy,-5175.7984,9.802450949791819E-5
bathy,-5161.8928,9.802450949791819E-5
bathy,-5147.9872,9.802450949791819E-5
bathy,-5134.0815999999995,9.802450949791819E-5
bathy,-5120.1759999999995,9.802450949791819E-5
bathy,-5106.270399999999,9.802450949791819E-5
bathy,-5092.364799999999,9.888064960250631E-5
bathy,-5078.459199999999,1.0149420268135145E-4
bathy,-5064.553599999999,1.0417673911433667E-4
bathy,-5050.648,1.0693027434172109E-4
bathy,-5036.742399999999,1.0975658369716257E-4
bathy,-5022.8368,1.1265750072197989E-4
bathy,-5008.9312,1.1563519365154207E-4
bathy,-4995.0256,1.1869159061461687E-4
bathy,-4981.12,1.2182865611976013E-4
bathy,-4967.2144,1.2504875485319644E-4
bathy,-4953.3088,1.283539750147611E-4
bathy,-4939.4032,1.3174641935620457E-4
bathy,-4925.4976,1.352286635665223E-4
bathy,-4911.592,1.3880293408874422E-4
bathy,-4897.6864,1.4247155922930688E-4
bathy,-4883.7807999999995,1.462372747482732E-4
bathy,-4869.8751999999995,1.4654808910563588E-4
bathy,-4855.969599999999,1.465029490645975E-4
bathy,-4842.063999999999,1.4645783812738955E-4
bathy,-4828.1584,1.464127271901816E-4
bathy,-4814.252799999999,1.463676308048889E-4
bathy,-4800.3472,1.4632254897151142E-4
bathy,-4786.4416,1.4627748169004917E-4
bathy,-4772.536,1.4590888167731464E-4
bathy,-4758.6304,1.3650325126945972E-4
bathy,-4744.7248,1.274606620427221E-4
bathy,-4730.8192,1.1901738616870716E-4
bathy,-4716.9136,1.1113314394606277E-4
bathy,-4703.008,1.037711845128797E-4
bathy,-4689.1024,9.689715079730377E-5
bathy,-4675.1968,9.047825005836785E-5
bathy,-4661.2912,8.448456355836242E-5
bathy,-4647.3856,7.888812251621857E-5
bathy,-4633.48,7.366221689153463E-5
bathy,-4619.5743999999995,6.973078416194767E-5
bathy,-4605.6687999999995,6.70141089358367E-5
bathy,-4591.763199999999,6.464662874350324E-5
bathy,-4577.857599999999,6.250890874071047E-5
bathy,-4563.951999999999,6.115455471444875E-5
bathy,-4550.046399999999,6.049630246707238E-5
bathy,-4536.140799999999,6.08785412623547E-5
bathy,-4522.2352,6.161410419736058E-5
bathy,-4508.3296,6.272097380133346E-5
bathy,-4494.424,6.384772132150829E-5
bathy,-4480.5184,6.499466690002009E-5
bathy,-4466.6128,6.616226164624095E-5
bathy,-4452.7072,6.73508329782635E-5
bathy,-4438.8016,6.856071559013799E-5
bathy,-4424.896,6.979236786719412E-5
bathy,-4410.9904,7.104615360731259E-5
bathy,-4397.0848,7.232241478050128E-5
bathy,-4383.1792,7.362164615187794E-5
bathy,-4369.2735999999995,7.49442187952809E-5
bathy,-4355.368,7.629050378454849E-5
bathy,-4341.4624,7.766102498862892E-5
bathy,-4327.556799999999,7.905616075731814E-5
bathy,-4313.6512,8.047631854424253E-5
bathy,-4299.7456,8.192202949430794E-5
bathy,-4285.84,8.339371561305597E-5
bathy,-4271.9344,8.489178435411304E-5
bathy,-4258.0288,8.641682507004589E-5
bathy,-4244.1232,8.796925249043852E-5
bathy,-4230.2176,8.954951772466302E-5
bathy,-4216.312,9.115822467720136E-5
bathy,-4202.4064,9.279583900934085E-5
bathy,-4188.5008,9.446280455449596E-5
