variable,x,y
bathy,-5676.4,4.5947232138132676E-5
bathy,-5662.4944,4.5947232138132676E-5
bathy,-5648.5887999999995,4.5947232138132676E-5
bathy,-5634.6831999999995,4.5947232138132676E-5
bathy,-5620.777599999999,4.5947232138132676E-5
bathy,-5606.871999999999,4.5947232138132676E-5
bathy,-5592.966399999999,4.5947232138132676E-5
bathy,-5579.060799999999,4.5947232138132676E-5
bathy,-5565.155199999999,4.5947232138132676E-5
bathy,-5551.249599999999,4.5947232138132676E-5
bathy,-5537.344,4.5947232138132676E-5
bathy,-5523.4384,4.5947232138132676E-5
bathy,-5509.5328,4.5947232138132676E-5
bathy,-5495.6272,4.5947232138132676E-5
bathy,-5481.7216,4.5947232138132676E-5
bathy,-5467.816,4.5947232138132676E-5
bathy,-5453.9104,4.5947232138132676E-5
bathy,-5440.0048,4.5947232138132676E-5
bathy,-5426.0992,4.5947232138132676E-5
bathy,-5412.1936,4.5947232138132676E-5
bathy,-5398.288,4.5947232138132676E-5
bathy,-5384.3823999999995,4.5947232138132676E-5
bathy,-5370.4767999999995,4.5947232138132676E-5
bathy,-5356.571199999999,4.5947232138132676E-5
bathy,-5342.665599999999,4.5947232138132676E-5
bathy,-5328.759999999999,4.5947232138132676E-5
bathy,-5314.854399999999,4.5947232138132676E-5
bathy,-5300.9488,4.5947232138132676E-5
bathy,-5287.0432,4.5947232138132676E-5
bathy,-5273.1376,4.5947232138132676E-5
bathy,-5259.232,4.5947232138132676E-5
bathy,-5245.3264,4.5947232138132676E-5
bathy,-5231.4208,4.5947232138132676E-5
bathy,-5217.5152,4.5947232138132676E-5
bathy,-5203.6096,4.5947232138132676E-5
bathy,-5189.704,4.5947232138132676E-5
bathy,-5175.7984,4.5947232138132676E-5
bathy,-5161.8928,4.5947232138132676E-5
bathy,-5147.9872,4.5947232138132676E-5
bathy,-5134.0815999999995,4.5947232138132676E-5
bathy,-5120.1759999999995,4.5947232138132676E-5
bathy,-5106.270399999999,4.5947232138132676E-5
bathy,-5092.364799999999,4.70253435196355E-5
bathy,-5078.459199999999,5.041384429205209E-5
bathy,-5064.553599999999,5.404637704486959E-5
bathy,-5050.648,5.794079334009439E-5
bathy,-5036.742399999999,6.211582513060421E-5
bathy,-5022.8368,6.659153586952016E-5
bathy,-5008.9312,7.13899135007523E-5
bathy,-4995.0256,7.653405191376805E-5
bathy,-4981.12,8.204866026062518E-5
bathy,-4967.2144,8.796083420747891E-5
bathy,-4953.3088,9.429901547264308E-5
bathy,-4939.4032,1.0109366121469066E-4
bathy,-4925.4976,1.0837816080311313E-4
bathy,-4911.592,1.1618755524978042E-4
bathy,-4897.6864,1.2455935939215124E-4
bathy,-4883.7807999999995,1.3353473332244903E-4
bathy,-4869.8751999999995,1.3415378634817898E-4
bathy,-4855.969599999999,1.3389055675361305E-4
bathy,-4842.063999999999,1.3362783647608012E-4
bathy,-4828.1584,1.3336562551558018E-4
bathy,-4814.252799999999,1.3310395297594368E-4
bathy,-4800.3472,1.3284277520142496E-4
bathy,-4786.4416,1.3258210674393922E-4
bathy,-4772.536,1.323219621554017E-4
bathy,-4758.6304,1.1919923417735845E-4
bathy,-4744.7248,1.0685274901334196E-4
bathy,-4730.8192,9.57854645093903E-5
bathy,-4716.9136,8.586415060563013E-5
bathy,-4703.008,7.697046385146677E-5
bathy,-4689.1024,6.899824074935168E-5
bathy,-4675.1968,6.185150414239615E-5
bathy,-4661.2912,5.544501618715003E-5
