variable,x,y
anom,-1.3269999623298645,6.220347131602466E-5
anom,-1.3198719625473023,6.220347131602466E-5
anom,-1.31274396276474,6.220347131602466E-5
anom,-1.3056159629821777,6.220347131602466E-5
anom,-1.2984879631996156,6.220347131602466E-5
anom,-1.2913599634170532,6.220347131602466E-5
anom,-1.284231963634491,6.220347131602466E-5
anom,-1.2771039638519288,6.220347131602466E-5
anom,-1.2699759640693664,6.220347131602466E-5
anom,-1.2628479642868042,6.220347131602466E-5
anom,-1.2557199645042418,6.220347131602466E-5
anom,-1.2485919647216797,6.220347131602466E-5
anom,-1.2414639649391175,6.220347131602466E-5
anom,-1.234335965156555,6.220347131602466E-5
anom,-1.227207965373993,6.220347131602466E-5
anom,-1.2200799655914307,6.220347131602466E-5
anom,-1.2129519658088683,6.220347131602466E-5
anom,-1.2058239660263061,6.220347131602466E-5
anom,-1.198695966243744,6.220347131602466E-5
anom,-1.1915679664611816,6.220347131602466E-5
anom,-1.1844399666786194,6.220347131602466E-5
anom,-1.1773119668960572,6.220347131602466E-5
anom,-1.1701839671134948,6.220347131602466E-5
anom,-1.1630559673309326,6.220347131602466E-5
anom,-1.1559279675483705,6.220347131602466E-5
anom,-1.148799967765808,6.220347131602466E-5
anom,-1.1416719679832459,6.220347131602466E-5
anom,-1.1345439682006835,6.220347131602466E-5
anom,-1.1274159684181213,6.220347131602466E-5
anom,-1.1202879686355591,6.220347131602466E-5
anom,-1.113159968852997,6.220347131602466E-5
anom,-1.1060319690704346,6.220347131602466E-5
anom,-1.0989039692878724,6.220347131602466E-5
anom,-1.09177596950531,6.220347131602466E-5
anom,-1.0846479697227478,6.220347131602466E-5
anom,-1.0775199699401856,6.220347131602466E-5
anom,-1.0703919701576232,6.220347131602466E-5
anom,-1.063263970375061,6.220347131602466E-5
anom,-1.0561359705924986,6.220347131602466E-5
anom,-1.0490079708099365,6.220347131602466E-5
anom,-1.0418799710273743,6.220347131602466E-5
anom,-1.034751971244812,6.220347131602466E-5
anom,-1.0276239714622497,6.221204239409417E-5
anom,-1.0204959716796875,6.223778473213315E-5
anom,-1.0133679718971251,6.226352707017213E-5
anom,-1.006239972114563,6.228929123608395E-5
anom,-0.9991119723320008,6.231505540199578E-5
anom,-0.9919839725494385,6.234084139578044E-5
anom,-0.9848559727668762,6.236662738956511E-5
anom,-0.977727972984314,6.2392427935265E-5
anom,-0.9705999732017517,6.241824303288013E-5
anom,-0.9634719734191894,6.244406540645286E-5
anom,-0.9563439736366273,6.246989505598322E-5
anom,-0.9492159738540649,6.24957392574288E-5
anom,-0.9420879740715027,6.25215980107896E-5
anom,-0.9349599742889405,6.254746404010803E-5
anom,-0.9278319745063781,6.257333734538406E-5
anom,-0.9207039747238159,6.259922520257533E-5
anom,-0.9135759749412536,6.26251203357242E-5
anom,-0.9064479751586914,6.265103002078831E-5
anom,-0.8993199753761292,6.267694698181003E-5
anom,-0.8921919755935669,6.270287849474698E-5
anom,-0.8850639758110046,6.272881728364155E-5
anom,-0.8779359760284424,6.275477062445134E-5
anom,-0.8708079762458801,6.278073124121875E-5
anom,-0.8636799764633178,6.280670640990138E-5
anom,-0.8565519766807557,6.283268885454163E-5
anom,-0.8494239768981934,6.285868585109711E-5
anom,-0.8422959771156311,6.28846901236102E-5
anom,-0.8351679773330689,6.29107016720809E-5
anom,-0.8280399775505065,6.293672777246684E-5
anom,-0.8209119777679443,6.2962768424768E-5
anom,-0.813783977985382,6.298881635302678E-5
anom,-0.8066559782028199,6.301487155724317E-5
anom,-0.7995279784202576,6.304094131337479E-5
anom,-0.7923999786376953,6.306702562142164E-5
anom,-0.785271978855133,6.30931172054261E-5
anom,-0.7781439790725708,6.311921606538817E-5
anom,-0.7710159792900085,6.314532947726548E-5
anom,-0.7638879795074462,6.31714501651004E-5
anom,-0.7567599797248841,6.319758540485054E-5
