variable,x,y
bathy,-5676.4,9.640446587582119E-5
bathy,-5669.4472,9.640446587582119E-5
bathy,-5662.4944,9.640446587582119E-5
bathy,-5655.5416,9.640446587582119E-5
bathy,-5648.5887999999995,9.640446587582119E-5
bathy,-5641.6359999999995,9.640446587582119E-5
bathy,-5634.6831999999995,9.640446587582119E-5
bathy,-5627.7303999999995,9.640446587582119E-5
bathy,-5620.777599999999,9.640446587582119E-5
bathy,-5613.824799999999,9.640446587582119E-5
bathy,-5606.871999999999,9.640446587582119E-5
bathy,-5599.919199999999,9.640446587582119E-5
bathy,-5592.966399999999,9.640446587582119E-5
bathy,-5586.013599999999,9.640446587582119E-5
bathy,-5579.060799999999,9.640446587582119E-5
bathy,-5572.107999999999,9.640446587582119E-5
bathy,-5565.155199999999,9.640446587582119E-5
bathy,-5558.202399999999,9.640446587582119E-5
bathy,-5551.249599999999,9.640446587582119E-5
bathy,-5544.2968,9.640446587582119E-5
bathy,-5537.344,9.640446587582119E-5
bathy,-5530.3912,9.640446587582119E-5
bathy,-5523.4384,9.640446587582119E-5
bathy,-5516.4856,9.640446587582119E-5
bathy,-5509.5328,9.640446587582119E-5
bathy,-5502.58,9.640446587582119E-5
bathy,-5495.6272,9.640446587582119E-5
bathy,-5488.6744,9.640446587582119E-5
bathy,-5481.7216,9.640446587582119E-5
bathy,-5474.7688,9.640446587582119E-5
bathy,-5467.816,9.640446587582119E-5
bathy,-5460.8632,9.640446587582119E-5
bathy,-5453.9104,9.640446587582119E-5
bathy,-5446.9576,9.640446587582119E-5
bathy,-5440.0048,9.640446587582119E-5
bathy,-5433.052,9.640446587582119E-5
bathy,-5426.0992,9.640446587582119E-5
bathy,-5419.1464,9.640446587582119E-5
bathy,-5412.1936,9.640446587582119E-5
bathy,-5405.2408,9.640446587582119E-5
bathy,-5398.288,9.640446587582119E-5
bathy,-5391.3351999999995,9.640446587582119E-5
bathy,-5384.3823999999995,9.640446587582119E-5
bathy,-5377.4295999999995,9.640446587582119E-5
