Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.41841E-7,0.000014184,0.00112862,1,0,0
1.56517E-7,0.000029836,0.001245325,0.999920483,0,0
2.16755E-7,0.000071383,0.001724193,0.99976145,0,0
2.81132E-7,0.00012195,0.00223571,0.999602417,0,0
4.19158E-7,0.000281024,0.003331532,0.999284351,0,0
5.20103E-7,0.000523882,0.004132199,0.998886768,0,0
6.80473E-7,0.001025459,0.005402883,0.998250636,0,0
1.03077E-6,0.002509323,0.008172844,0.996898855,0,0
1.2358E-6,0.005120604,0.009790499,0.995069975,0,0
1.40851E-6,0.010002738,0.011151127,0.992127863,0,0
1.93467E-6,0.02501041,0.015284738,0.985050891,0,0
2.6265E-6,0.05020782,0.020693582,0.976224555,0,0
3.49092E-6,0.100036756,0.027410031,0.963263359,0,0
4.9149E-6,0.200053749,0.038373898,0.944497455,0,0
6.35161E-6,0.300556155,0.049310577,0.930343511,0.00036245,0
7.42542E-6,0.400497567,0.057403428,0.918813613,0.00108735,0
8.29238E-6,0.500621209,0.063886991,0.908715013,0.001449801,0
9.02035E-6,0.600209055,0.069296736,0.899570611,0.001449801,0
9.56943E-6,0.700497602,0.07335637,0.890982824,0.001812251,0
9.84224E-6,0.750878686,0.075366828,0.886847964,0.001812251,0
1.01254E-5,0.800737098,0.077448785,0.882872137,0.002537151,0
1.0771E-5,0.900864632,0.082178698,0.87523855,0.003262051,0
1.12174E-5,1.000992976,0.085434891,0.868002545,0.004349402,0
1.167E-5,1.100498588,0.088724032,0.861084606,0.004349402,0
1.20785E-5,1.200259922,0.091683183,0.854405216,0.004349402,0
1.25892E-5,1.300276071,0.095368544,0.847964377,0.005074302,0
1.29349E-5,1.401105632,0.097854868,0.84168257,0.006161653,0
1.34129E-5,1.50131106,0.10128199,0.835639313,0.007973904,0
1.43092E-5,1.751260715,0.107672337,0.821326336,0.009061254,0
1.50673E-5,2.001024818,0.113041557,0.807808524,0.009786154,0
1.58358E-5,2.250169378,0.118451437,0.795006361,0.009786154,0
1.66207E-5,2.501502023,0.123943098,0.782681298,0.011960855,0
1.73711E-5,2.751133201,0.129161284,0.770992366,0.012323306,0
1.82091E-5,3.000445435,0.134952041,0.759860051,0.013773106,0
1.90274E-5,3.251476343,0.140569003,0.749125318,0.013773106,0
1.98401E-5,3.500139777,0.146112114,0.738947201,0.013773106,0
2.05158E-5,3.750588849,0.150693404,0.72908715,0.013773106,0
2.12399E-5,4.001010528,0.155575156,0.719545165,0.014498007,0
2.18758E-5,4.251509421,0.159839586,0.710321247,0.015222907,0
2.26693E-5,4.500816336,0.165130514,0.701415394,0.015222907,0.003267974
2.34357E-5,4.751906724,0.170208883,0.692748092,0.015585357,0.003267974
2.41576E-5,5.002335452,0.174964262,0.684398855,0.017397608,0.003267974
2.48496E-5,5.252482765,0.179497303,0.676288168,0.020659659,0.003267974
2.54682E-5,5.501828597,0.183528013,0.668416031,0.02283436,0.003267974
2.61234E-5,5.75215164,0.187776016,0.660702926,0.024284161,0.006535948
2.68597E-5,6.00116004,0.19252341,0.653228372,0.025009061,0.009803922
2.77469E-5,6.252441605,0.198206975,0.64591285,0.027546212,0.009803922
2.83496E-5,6.502186232,0.202045241,0.638835878,0.028271113,0.016339869
2.91375E-5,6.752212746,0.207034548,0.631917939,0.029358463,0.022875817
2.9985E-5,7.000095343,0.212367188,0.62523855,0.032620515,0.022875817
3.06285E-5,7.251674883,0.21639198,0.618638677,0.033345415,0.022875817
3.1332E-5,7.502937703,0.220768402,0.612197837,0.036607466,0.026143791
3.20624E-5,7.750093322,0.225286525,0.605995547,0.040231968,0.026143791
3.26899E-5,8.002731974,0.229147104,0.599793257,0.042044219,0.029411765
