variable,x,y
bathy,-5676.4,5.007284562452696E-5
bathy,-5662.4944,5.007284562452696E-5
bathy,-5648.5887999999995,5.007284562452696E-5
bathy,-5634.6831999999995,5.007284562452696E-5
bathy,-5620.777599999999,5.007284562452696E-5
bathy,-5606.871999999999,5.007284562452696E-5
bathy,-5592.966399999999,5.007284562452696E-5
bathy,-5579.060799999999,5.007284562452696E-5
bathy,-5565.155199999999,5.007284562452696E-5
bathy,-5551.249599999999,5.007284562452696E-5
bathy,-5537.344,5.007284562452696E-5
bathy,-5523.4384,5.007284562452696E-5
bathy,-5509.5328,5.007284562452696E-5
bathy,-5495.6272,5.007284562452696E-5
bathy,-5481.7216,5.007284562452696E-5
bathy,-5467.816,5.007284562452696E-5
bathy,-5453.9104,5.007284562452696E-5
bathy,-5440.0048,5.007284562452696E-5
bathy,-5426.0992,5.007284562452696E-5
bathy,-5412.1936,5.007284562452696E-5
bathy,-5398.288,5.007284562452696E-5
bathy,-5384.3823999999995,5.007284562452696E-5
bathy,-5370.4767999999995,5.007284562452696E-5
bathy,-5356.571199999999,5.007284562452696E-5
bathy,-5342.665599999999,5.007284562452696E-5
bathy,-5328.759999999999,5.007284562452696E-5
bathy,-5314.854399999999,5.007284562452696E-5
bathy,-5300.9488,5.007284562452696E-5
bathy,-5287.0432,5.007284562452696E-5
bathy,-5273.1376,5.007284562452696E-5
bathy,-5259.232,5.007284562452696E-5
bathy,-5245.3264,5.007284562452696E-5
bathy,-5231.4208,5.007284562452696E-5
bathy,-5217.5152,5.007284562452696E-5
bathy,-5203.6096,5.007284562452696E-5
bathy,-5189.704,5.007284562452696E-5
bathy,-5175.7984,5.007284562452696E-5
bathy,-5161.8928,5.007284562452696E-5
bathy,-5147.9872,5.007284562452696E-5
bathy,-5134.0815999999995,5.007284562452696E-5
bathy,-5120.1759999999995,5.007284562452696E-5
bathy,-5106.270399999999,5.007284562452696E-5
bathy,-5092.364799999999,5.112505459692329E-5
bathy,-5078.459199999999,5.441621033241972E-5
bathy,-5064.553599999999,5.791911098640412E-5
bathy,-5050.648,6.164763181004673E-5
bathy,-5036.742399999999,6.561617919942364E-5
bathy,-5022.8368,6.984004721743986E-5
bathy,-5008.9312,7.433597784256563E-5
bathy,-4995.0256,7.912133150966838E-5
bathy,-4981.12,8.421456004725769E-5
bathy,-4967.2144,8.96358469617553E-5
bathy,-4953.3088,9.540612518321723E-5
bathy,-4939.4032,1.0154763731407002E-4
bathy,-4925.4976,1.0808473598444834E-4
bathy,-4911.592,1.150426542153582E-4
bathy,-4897.6864,1.224482257384807E-4
bathy,-4883.7807999999995,1.3033077993895859E-4
bathy,-4869.8751999999995,1.33965426357463E-4
bathy,-4855.969599999999,1.337823923677206E-4
bathy,-4842.063999999999,1.335058332188055E-4
bathy,-4828.1584,1.3322985614649951E-4
bathy,-4814.252799999999,1.3295444659888744E-4
bathy,-4800.3472,1.3267960457596928E-4
bathy,-4786.4416,1.3240533007774502E-4
bathy,-4772.536,1.3098769704811275E-4
bathy,-4758.6304,1.1793460726039484E-4
bathy,-4744.7248,1.0589633893687278E-4
bathy,-4730.8192,9.508724178886041E-5
bathy,-4716.9136,8.538113615941256E-5
bathy,-4703.008,7.666579040233046E-5
bathy,-4689.1024,6.884033064125106E-5
bathy,-4675.1968,6.181339995237067E-5
bathy,-4661.2912,5.550374407903291E-5
