variable,x,y
bathy,-5676.4,6.19248839939246E-5
bathy,-5669.4472,6.19248839939246E-5
bathy,-5662.4944,6.19248839939246E-5
bathy,-5655.5416,6.19248839939246E-5
bathy,-5648.5887999999995,6.19248839939246E-5
bathy,-5641.6359999999995,6.19248839939246E-5
bathy,-5634.6831999999995,6.19248839939246E-5
bathy,-5627.7303999999995,6.19248839939246E-5
bathy,-5620.777599999999,6.19248839939246E-5
bathy,-5613.824799999999,6.19248839939246E-5
bathy,-5606.871999999999,6.19248839939246E-5
bathy,-5599.919199999999,6.19248839939246E-5
bathy,-5592.966399999999,6.19248839939246E-5
bathy,-5586.013599999999,6.19248839939246E-5
bathy,-5579.060799999999,6.19248839939246E-5
bathy,-5572.107999999999,6.19248839939246E-5
bathy,-5565.155199999999,6.19248839939246E-5
bathy,-5558.202399999999,6.19248839939246E-5
bathy,-5551.249599999999,6.19248839939246E-5
bathy,-5544.2968,6.19248839939246E-5
bathy,-5537.344,6.19248839939246E-5
bathy,-5530.3912,6.19248839939246E-5
bathy,-5523.4384,6.19248839939246E-5
bathy,-5516.4856,6.19248839939246E-5
bathy,-5509.5328,6.19248839939246E-5
bathy,-5502.58,6.19248839939246E-5
bathy,-5495.6272,6.19248839939246E-5
bathy,-5488.6744,6.19248839939246E-5
bathy,-5481.7216,6.19248839939246E-5
bathy,-5474.7688,6.19248839939246E-5
bathy,-5467.816,6.19248839939246E-5
bathy,-5460.8632,6.19248839939246E-5
bathy,-5453.9104,6.19248839939246E-5
bathy,-5446.9576,6.19248839939246E-5
bathy,-5440.0048,6.19248839939246E-5
bathy,-5433.052,6.19248839939246E-5
bathy,-5426.0992,6.19248839939246E-5
bathy,-5419.1464,6.19248839939246E-5
bathy,-5412.1936,6.19248839939246E-5
bathy,-5405.2408,6.19248839939246E-5
bathy,-5398.288,6.19248839939246E-5
bathy,-5391.3351999999995,6.19248839939246E-5
bathy,-5384.3823999999995,6.19248839939246E-5
bathy,-5377.4295999999995,6.19248839939246E-5
bathy,-5370.4767999999995,6.19248839939246E-5
bathy,-5363.523999999999,6.19248839939246E-5
bathy,-5356.571199999999,6.19248839939246E-5
bathy,-5349.618399999999,6.19248839939246E-5
bathy,-5342.665599999999,6.19248839939246E-5
bathy,-5335.712799999999,6.19248839939246E-5
bathy,-5328.759999999999,6.19248839939246E-5
bathy,-5321.807199999999,6.19248839939246E-5
bathy,-5314.854399999999,6.19248839939246E-5
bathy,-5307.901599999999,6.19248839939246E-5
bathy,-5300.9488,6.19248839939246E-5
bathy,-5293.996,6.19248839939246E-5
bathy,-5287.0432,6.19248839939246E-5
bathy,-5280.0904,6.19248839939246E-5
bathy,-5273.1376,6.19248839939246E-5
bathy,-5266.1848,6.19248839939246E-5
bathy,-5259.232,6.19248839939246E-5
bathy,-5252.2792,6.19248839939246E-5
bathy,-5245.3264,6.19248839939246E-5
bathy,-5238.3736,6.19248839939246E-5
bathy,-5231.4208,6.19248839939246E-5
bathy,-5224.468,6.19248839939246E-5
bathy,-5217.5152,6.19248839939246E-5
bathy,-5210.5624,6.19248839939246E-5
bathy,-5203.6096,6.19248839939246E-5
bathy,-5196.6568,6.19248839939246E-5
bathy,-5189.704,6.19248839939246E-5
bathy,-5182.7512,6.19248839939246E-5
bathy,-5175.7984,6.19248839939246E-5
bathy,-5168.8456,6.19248839939246E-5
bathy,-5161.8928,6.19248839939246E-5
bathy,-5154.94,6.19248839939246E-5
bathy,-5147.9872,6.19248839939246E-5
bathy,-5141.0344,6.19248839939246E-5
bathy,-5134.0815999999995,6.19248839939246E-5
bathy,-5127.1287999999995,6.19248839939246E-5
bathy,-5120.1759999999995,6.19248839939246E-5
bathy,-5113.223199999999,6.19248839939246E-5
bathy,-5106.270399999999,6.19248839939246E-5
bathy,-5099.317599999999,6.244700143724913E-5
bathy,-5092.364799999999,6.296911888057367E-5
bathy,-5085.412,6.458922689489533E-5
bathy,-5078.459199999999,6.620933490921743E-5
bathy,-5071.506399999999,6.791327068640385E-5
bathy,-5064.553599999999,6.961720646359026E-5
bathy,-5057.6008,7.140946108847844E-5
bathy,-5050.648,7.320171571336686E-5
bathy,-5043.6952,7.508683120249758E-5
bathy,-5036.742399999999,7.697194669162855E-5
bathy,-5029.7896,7.895468988863274E-5
bathy,-5022.8368,8.093743308563716E-5
bathy,-5015.884,8.302303867822048E-5
bathy,-5008.9312,8.510864427080378E-5
bathy,-5001.9784,8.730240697332192E-5
bathy,-4995.0256,8.949616967584007E-5
bathy,-4988.0728,9.180364722851663E-5
bathy,-4981.12,9.411112478119321E-5
bathy,-4974.1672,9.653841952967923E-5
bathy,-4967.2144,9.896571427816525E-5
bathy,-4960.2616,1.0151899841730483E-4
bathy,-4953.3088,1.040722825564444E-4
bathy,-4946.356,1.0675803714548238E-4
bathy,-4939.4032,1.0944379173452034E-4
bathy,-4932.4504,1.122691304772161E-4
bathy,-4925.4976,1.1509446921991185E-4
bathy,-4918.5448,1.1806658985733521E-4
bathy,-4911.592,1.2103871049475856E-4
bathy,-4904.6392,1.2416516947268973E-4
bathy,-4897.6864,1.2729162845062091E-4
bathy,-4890.7336,1.305807221797295E-4
bathy,-4883.7807999999995,1.3386981590883805E-4
bathy,-4876.8279999999995,1.3732993611483834E-4
bathy,-4869.8751999999995,1.4079005632083863E-4
bathy,-4862.9223999999995,1.4443001709878444E-4
bathy,-4855.969599999999,1.4806997787673027E-4
bathy,-4849.016799999999,1.518994555226527E-4
bathy,-4842.063999999999,1.5572893316857518E-4
bathy,-4835.111199999999,1.597577131178698E-4
bathy,-4828.1584,1.6378649306716397E-4
bathy,-4821.205599999999,1.6802486061351398E-4
bathy,-4814.252799999999,1.722632281598635E-4
bathy,-4807.299999999999,1.765793240338101E-4
bathy,-4800.3472,1.8089541990775614E-4
bathy,-4793.3944,1.8496834018151277E-4
bathy,-4786.4416,1.8904126045526937E-4
bathy,-4779.488799999999,1.9189335798728316E-4
bathy,-4772.536,1.9474545551929624E-4
bathy,-4765.5832,1.90231621672865E-4
bathy,-4758.6304,1.8571778782643377E-4
bathy,-4751.6776,1.80549895594595E-4
bathy,-4744.7248,1.7538200336275622E-4
bathy,-4737.772,1.7049640446202828E-4
bathy,-4730.8192,1.6561080556130037E-4
bathy,-4723.8664,1.6099836138891988E-4
bathy,-4716.9136,1.563859172165394E-4
bathy,-4709.9608,1.520314530353062E-4
bathy,-4703.008,1.47676988854073E-4
bathy,-4696.0552,1.4356615574797615E-4
bathy,-4689.1024,1.3945532264187933E-4
bathy,-4682.1496,1.3557416314142757E-4
bathy,-4675.1968,1.3169300364097581E-4
bathy,-4668.244,1.2802876517525874E-4
bathy,-4661.2912,1.2436452670954167E-4
bathy,-4654.3384,1.2090515629097354E-4
bathy,-4647.3856,1.174457858724054E-4
bathy,-4640.4328,1.1417955320212059E-4
bathy,-4633.48,1.1091332053183577E-4
bathy,-4626.5271999999995,1.0783187462948263E-4
bathy,-4619.5743999999995,1.0475042872712948E-4
bathy,-4612.6215999999995,1.0185489372815937E-4
bathy,-4605.6687999999995,9.895935872918926E-5
bathy,-4598.715999999999,9.622560355637688E-5
bathy,-4591.763199999999,9.349184838356451E-5
bathy,-4584.8104,9.11279035790361E-5
bathy,-4577.857599999999,8.876395877450704E-5
bathy,-4570.9048,8.695119286130672E-5
bathy,-4563.951999999999,8.513842694810592E-5
bathy,-4556.9992,8.371959447686115E-5
bathy,-4550.046399999999,8.230076200561598E-5
bathy,-4543.0936,8.11788759165212E-5
bathy,-4536.140799999999,8.005698982742615E-5
bathy,-4529.188,7.906805403763435E-5
bathy,-4522.2352,7.807911824784242E-5
bathy,-4515.2824,7.72166680690134E-5
bathy,-4508.3296,7.635421789018438E-5
bathy,-4501.3768,7.552707647846546E-5
bathy,-4494.424,7.469993506674655E-5
bathy,-4487.4712,7.418067652906757E-5
bathy,-4480.5184,7.366141799138858E-5
bathy,-4473.5656,7.33493005100172E-5
bathy,-4466.6128,7.303718302864581E-5
bathy,-4459.66,7.282275473698973E-5
bathy,-4452.7072,7.260832644533366E-5
bathy,-4445.7544,7.243712898343801E-5
bathy,-4438.8016,7.226593152154237E-5
bathy,-4431.8488,7.209826362668537E-5
bathy,-4424.896,7.193059573182837E-5
bathy,-4417.9432,7.176411345426459E-5
bathy,-4410.9904,7.159763117670082E-5
