variable,x,y
bathy,-5676.4,5.37126230483409E-5
bathy,-5669.4472,5.37126230483409E-5
bathy,-5662.4944,5.37126230483409E-5
bathy,-5655.5416,5.37126230483409E-5
bathy,-5648.5887999999995,5.37126230483409E-5
bathy,-5641.6359999999995,5.37126230483409E-5
bathy,-5634.6831999999995,5.37126230483409E-5
bathy,-5627.7303999999995,5.37126230483409E-5
bathy,-5620.777599999999,5.37126230483409E-5
bathy,-5613.824799999999,5.37126230483409E-5
bathy,-5606.871999999999,5.37126230483409E-5
bathy,-5599.919199999999,5.37126230483409E-5
bathy,-5592.966399999999,5.37126230483409E-5
bathy,-5586.013599999999,5.37126230483409E-5
bathy,-5579.060799999999,5.37126230483409E-5
bathy,-5572.107999999999,5.37126230483409E-5
bathy,-5565.155199999999,5.37126230483409E-5
bathy,-5558.202399999999,5.37126230483409E-5
bathy,-5551.249599999999,5.37126230483409E-5
bathy,-5544.2968,5.37126230483409E-5
bathy,-5537.344,5.37126230483409E-5
bathy,-5530.3912,5.37126230483409E-5
bathy,-5523.4384,5.37126230483409E-5
bathy,-5516.4856,5.37126230483409E-5
bathy,-5509.5328,5.37126230483409E-5
bathy,-5502.58,5.37126230483409E-5
bathy,-5495.6272,5.37126230483409E-5
bathy,-5488.6744,5.37126230483409E-5
bathy,-5481.7216,5.37126230483409E-5
bathy,-5474.7688,5.37126230483409E-5
bathy,-5467.816,5.37126230483409E-5
bathy,-5460.8632,5.37126230483409E-5
bathy,-5453.9104,5.37126230483409E-5
bathy,-5446.9576,5.37126230483409E-5
bathy,-5440.0048,5.37126230483409E-5
bathy,-5433.052,5.37126230483409E-5
bathy,-5426.0992,5.37126230483409E-5
bathy,-5419.1464,5.37126230483409E-5
bathy,-5412.1936,5.37126230483409E-5
bathy,-5405.2408,5.37126230483409E-5
bathy,-5398.288,5.37126230483409E-5
bathy,-5391.3351999999995,5.37126230483409E-5
bathy,-5384.3823999999995,5.37126230483409E-5
bathy,-5377.4295999999995,5.37126230483409E-5
bathy,-5370.4767999999995,5.37126230483409E-5
bathy,-5363.523999999999,5.37126230483409E-5
bathy,-5356.571199999999,5.37126230483409E-5
bathy,-5349.618399999999,5.37126230483409E-5
bathy,-5342.665599999999,5.37126230483409E-5
bathy,-5335.712799999999,5.37126230483409E-5
bathy,-5328.759999999999,5.37126230483409E-5
bathy,-5321.807199999999,5.37126230483409E-5
bathy,-5314.854399999999,5.37126230483409E-5
bathy,-5307.901599999999,5.37126230483409E-5
bathy,-5300.9488,5.37126230483409E-5
bathy,-5293.996,5.37126230483409E-5
bathy,-5287.0432,5.37126230483409E-5
bathy,-5280.0904,5.37126230483409E-5
bathy,-5273.1376,5.37126230483409E-5
bathy,-5266.1848,5.37126230483409E-5
bathy,-5259.232,5.37126230483409E-5
bathy,-5252.2792,5.37126230483409E-5
bathy,-5245.3264,5.37126230483409E-5
bathy,-5238.3736,5.37126230483409E-5
bathy,-5231.4208,5.37126230483409E-5
bathy,-5224.468,5.37126230483409E-5
bathy,-5217.5152,5.37126230483409E-5
bathy,-5210.5624,5.37126230483409E-5
bathy,-5203.6096,5.37126230483409E-5
bathy,-5196.6568,5.37126230483409E-5
bathy,-5189.704,5.37126230483409E-5
bathy,-5182.7512,5.37126230483409E-5
bathy,-5175.7984,5.37126230483409E-5
bathy,-5168.8456,5.37126230483409E-5
bathy,-5161.8928,5.37126230483409E-5
bathy,-5154.94,5.37126230483409E-5
bathy,-5147.9872,5.37126230483409E-5
bathy,-5141.0344,5.37126230483409E-5
bathy,-5134.0815999999995,5.37126230483409E-5
bathy,-5127.1287999999995,5.37126230483409E-5
bathy,-5120.1759999999995,5.37126230483409E-5
bathy,-5113.223199999999,5.37126230483409E-5
bathy,-5106.270399999999,5.37126230483409E-5
bathy,-5099.317599999999,5.424628743639914E-5
bathy,-5092.364799999999,5.4779951824457385E-5
bathy,-5085.412,5.644572192977627E-5
bathy,-5078.459199999999,5.811149203509558E-5
bathy,-5071.506399999999,5.98789887590101E-5
bathy,-5064.553599999999,6.164648548292461E-5
bathy,-5057.6008,6.352208347379917E-5
