Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.4524E-6,0.00024524,0.020788234,1,0,0
2.52041E-6,0.000497281,0.021358573,0.999922197,0,0
2.53338E-6,0.000750619,0.021467235,0.999844394,0,0
2.59711E-6,0.001010329,0.022001284,0.999766591,0,0
2.92391E-6,0.002694528,0.024735276,0.999299774,0,0
3.2523E-6,0.005203701,0.027474881,0.998677352,0,0
3.53866E-6,0.010315984,0.029857482,0.997510309,0,0
4.24465E-6,0.025290148,0.035706797,0.994553801,0.000319591,0
4.87493E-6,0.050198191,0.040898973,0.990352447,0.000319591,0
5.86826E-6,0.100148519,0.049025274,0.983116782,0.000319591,0
7.5037E-6,0.200236919,0.062254837,0.971446355,0.000319591,0
8.84466E-6,0.300317379,0.072964854,0.961954408,0.002237136,0
9.78949E-6,0.400461802,0.080437427,0.953629503,0.002876318,0
1.02967E-5,0.500958047,0.084424435,0.945849218,0.0035155,0
1.08421E-5,0.600536122,0.088691809,0.93853575,0.003835091,0
1.12075E-5,0.700902715,0.091539302,0.931455691,0.004474273,0
1.13823E-5,0.75060701,0.092899084,0.928032366,0.004474273,0
1.15759E-5,0.801129843,0.094402157,0.924609041,0.004474273,0
1.19589E-5,0.901114065,0.097367997,0.917995799,0.004793864,0
1.22922E-5,1.00059348,0.099941591,0.911615965,0.004793864,0
1.26126E-5,1.100179236,0.102408157,0.905391737,0.005752637,0
1.28918E-5,1.200916943,0.10455233,0.899245312,0.005752637,0
1.31549E-5,1.301145327,0.106568153,0.893254493,0.005752637,0
1.33742E-5,1.400579513,0.108245461,0.88741928,0.007031,0
1.35709E-5,1.50037439,0.109746471,0.881661869,0.007989773,0
1.41237E-5,1.751002582,0.113952382,0.867579553,0.008948546,0
1.4714E-5,2.000360712,0.118421474,0.854119661,0.009907319,0
1.52144E-5,2.250288386,0.12219199,0.841126585,0.01022691,0
1.57384E-5,2.501409995,0.126122998,0.828522524,0.011185682,0
1.6239E-5,2.751092158,0.129862248,0.81638528,0.011185682,0
1.66714E-5,3.00098189,0.133079818,0.804559247,0.011824864,0
1.722E-5,3.251521504,0.137144012,0.793044425,0.012144455,0
1.77317E-5,3.501565644,0.14091795,0.781918618,0.012783637,0
1.8167E-5,3.750953931,0.144115309,0.771104022,0.01374241,0
1.87241E-5,4.001671012,0.148190031,0.760522835,0.014381592,0
1.92776E-5,4.250635753,0.15221897,0.750330662,0.014701182,0
1.98765E-5,4.501205737,0.156556765,0.740371898,0.015020773,0
2.04239E-5,4.751167418,0.160502912,0.730724345,0.015020773,0
2.1015E-5,5.001803643,0.164742708,0.7213102,0.015340364,0
2.16519E-5,5.251501794,0.169287531,0.712207267,0.015979546,0
2.24503E-5,5.500304131,0.174949209,0.703415545,0.015979546,0
2.31337E-5,5.750905836,0.17976493,0.694857232,0.01725791,0
2.37608E-5,6.001822317,0.184159471,0.686532327,0.018216683,0
2.44844E-5,6.250599772,0.189200463,0.678518634,0.019175455,0
2.51587E-5,6.50167922,0.193870408,0.670660546,0.020134228,0
2.59434E-5,6.75171172,0.199270472,0.663035867,0.021732183,0
2.68061E-5,7.002235582,0.205165912,0.655644597,0.023010547,0
2.77358E-5,7.250678235,0.211471086,0.648564537,0.02428891,0
2.8793E-5,7.502384556,0.218579648,0.641640084,0.026206456,0
