Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.85168E-7,0.000098517,0.009984536,1,0,0
1.53197E-6,0.000251714,0.015483257,0.999922209,0,0
1.59444E-6,0.000567792,0.016109485,0.999766628,0,0
2.48027E-6,0.001188669,0.024947067,0.999533256,0,0
3.18828E-6,0.002623301,0.031953519,0.999144302,0,0
3.61842E-6,0.005052107,0.036185509,0.998599767,0,0
4.21273E-6,0.01019181,0.042002422,0.997588487,0,0
5.88103E-6,0.025232305,0.058144093,0.995254765,0,0
6.70395E-6,0.050196692,0.066005745,0.992143135,0,0
7.90034E-6,0.100713399,0.077318527,0.986775574,0,0
9.38476E-6,0.20071261,0.091164548,0.977751848,0.000640615,0
1.07344E-5,0.300036746,0.103573018,0.970050564,0.001921845,0
1.19407E-5,0.401101828,0.11452047,0.963127188,0.003203075,0
1.28013E-5,0.50007894,0.1222479,0.956903928,0.004484305,0
1.3618E-5,0.600463848,0.12951984,0.950991832,0.00512492,0
1.43247E-5,0.700968208,0.135763194,0.945390898,0.005765535,0
1.4661E-5,0.750230412,0.1387185,0.942746013,0.006726457,0
1.49737E-5,0.80060747,0.141457093,0.940101128,0.006726457,0
1.54941E-5,0.901118582,0.145995895,0.934966939,0.007046765,0
1.60577E-5,1.000460823,0.15088465,0.930066122,0.00768738,0
1.64691E-5,1.101432574,0.154435463,0.925243096,0.008327995,0
1.69246E-5,1.201680808,0.158349267,0.920575651,0.008327995,0
1.73626E-5,1.301062947,0.162096094,0.916063788,0.008327995,0
1.77859E-5,1.401152279,0.165701273,0.911629716,0.008327995,0
1.81803E-5,1.500119968,0.169045936,0.907351225,0.008327995,0
1.91675E-5,1.750797085,0.177359301,0.896927266,0.008648302,0
2.02277E-5,2.001310051,0.186195658,0.887047841,0.009609225,0
2.10778E-5,2.250833738,0.193211993,0.877635161,0.009929532,0
2.20126E-5,2.500723492,0.20085708,0.868611435,0.010570147,0
2.28028E-5,2.751956155,0.207263585,0.859898872,0.011210762,0
2.35409E-5,3.002196329,0.213201308,0.851497472,0.012171685,0
2.42532E-5,3.250933161,0.218889024,0.843407235,0.0128123,0
2.50799E-5,3.500299129,0.22543841,0.83555037,0.01409353,0
2.58183E-5,3.750047093,0.231242834,0.827926877,0.01665599,0
