Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.908E-6,0.0006908,0.070820042,1,0,0
7.66037E-6,0.001456837,0.078223771,0.999922143,0,0
8.12766E-6,0.003045461,0.082792468,0.999766428,0,0
8.58645E-6,0.005562636,0.087255958,0.999532856,0,0
8.9067E-6,0.01083222,0.090358796,0.999065712,0,0
9.90534E-6,0.025217612,0.099966813,0.997897851,0,0
1.03912E-5,0.050550174,0.104604973,0.995951417,0,0
1.1202E-5,0.100332998,0.112290391,0.992369978,0,0
1.2282E-5,0.200646773,0.122426394,0.985752102,0,0
1.31442E-5,0.300137841,0.130435583,0.979679228,0,0
1.38547E-5,0.400069969,0.136979851,0.973917783,0.000319591,0
1.44558E-5,0.500578353,0.142478268,0.96838991,0.000319591,0
1.50611E-5,0.600979312,0.147979667,0.963095609,0.000319591,0
1.55267E-5,0.700470854,0.152187769,0.95803488,0.001278364,0
1.5803E-5,0.75062372,0.154674554,0.955543444,0.001278364,0
1.60693E-5,0.800022967,0.157065047,0.953129866,0.001278364,0
1.65448E-5,0.90126345,0.161315896,0.948302709,0.001278364,0
1.70354E-5,1.000247613,0.165679478,0.943709125,0.001917546,0
1.75434E-5,1.100577378,0.170174252,0.939193398,0.002237136,0
1.81968E-5,1.200462931,0.17591958,0.934833385,0.002556727,0
1.86563E-5,1.300117801,0.17993549,0.930629088,0.002556727,0
1.90521E-5,1.400040988,0.183380054,0.926502647,0.002876318,0
1.94468E-5,1.500088079,0.18679996,0.922454064,0.002876318,0
2.05302E-5,1.750133972,0.196114102,0.912721893,0.003195909,0
2.14971E-5,2.001565327,0.204336633,0.903301152,0.004474273,0
2.23892E-5,2.251887318,0.211848137,0.89450327,0.006072228,0
2.33652E-5,2.501520937,0.219985147,0.886016817,0.007031,0
2.42648E-5,2.751212835,0.227410778,0.877841794,0.007670182,0
2.51698E-5,3.001043934,0.234809812,0.8699782,0.01022691,0
2.59519E-5,3.251793857,0.241146933,0.862348178,0.011505273,0
2.67403E-5,3.501945702,0.247481919,0.854951728,0.012783637,0
2.74839E-5,3.751820647,0.253408186,0.847788851,0.014381592,0
2.81541E-5,4.002234177,0.258709581,0.840781688,0.01725791,0
2.88588E-5,4.250275527,0.264243599,0.834008097,0.019495046,0
2.95158E-5,4.501213931,0.269365272,0.827312364,0.020134228,0
3.03128E-5,4.752368555,0.275530939,0.820772345,0.022690956,0
3.10792E-5,5.001160915,0.281410615,0.814465898,0.023330137,0
3.18103E-5,5.252556919,0.28697534,0.808237309,0.023649728,0
3.24259E-5,5.502897788,0.291627712,0.802164435,0.025567274,0
3.31042E-5,5.751854346,0.296717894,0.796247275,0.029082774,0
3.37138E-5,6.00237219,0.301261797,0.790407973,0.031319911,0
3.42641E-5,6.250322092,0.305338191,0.784724385,0.033237456,0
3.47421E-5,6.502278366,0.308859898,0.779040797,0.036752956,0
3.52927E-5,6.750979873,0.312894892,0.773512924,0.039629275,0
3.60975E-5,7.000812483,0.318749518,0.768062909,0.04154682,0
3.66827E-5,7.251593202,0.322975609,0.762690751,0.042186002,0
3.72941E-5,7.503057063,0.327362553,0.75739645,0.04506232,0
3.80118E-5,7.751659639,0.332475896,0.752257864,0.047299457,0
