Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.5361E-6,0.00025361,0.021424223,1,0,0
2.59695E-6,0.000513305,0.021932611,0.999922155,0,0
2.69317E-6,0.001043589,0.022735964,0.999766464,0,0
3.03411E-6,0.002789763,0.025577088,0.999299393,0,0
3.27772E-6,0.005031753,0.027602025,0.998754476,0,0
3.62275E-6,0.010238636,0.030462887,0.997586797,0,0
4.30443E-6,0.025074237,0.036090377,0.994706523,0.000320307,0
4.98811E-6,0.050444197,0.041701611,0.99050288,0.000320307,0
5.95916E-6,0.10049764,0.049615253,0.983341118,0.000320307,0
7.54662E-6,0.200167849,0.062411904,0.971820022,0.000320307,0
8.76476E-6,0.300625454,0.072114449,0.962245057,0.002242152,0
9.71276E-6,0.400463755,0.079595763,0.953837771,0.00256246,0
1.02264E-5,0.500184062,0.083624011,0.946053246,0.003523382,0
1.07341E-5,0.600825815,0.087588092,0.938580103,0.004484305,0
1.10911E-5,0.700225344,0.090366064,0.931496186,0.004484305,0
1.12656E-5,0.750587683,0.091720168,0.92799315,0.004484305,0
1.14785E-5,0.800588815,0.093370053,0.924567959,0.004804612,0
1.18641E-5,0.900888451,0.096350343,0.917873268,0.00512492,0
1.21659E-5,1.000583509,0.098676814,0.911412113,0.005765535,0
1.25219E-5,1.100688224,0.101412473,0.905106648,0.005765535,0
1.27834E-5,1.200657107,0.103416634,0.898956874,0.005765535,0
1.30468E-5,1.300170431,0.105431038,0.89296279,0.00640615,0
1.32561E-5,1.400096987,0.107028568,0.887046551,0.007367072,0
1.34891E-5,1.500399326,0.108803384,0.881208158,0.008327995,0
1.40414E-5,1.750586356,0.112996878,0.867040324,0.009929532,0
1.46161E-5,2.000007916,0.11733941,0.853495251,0.009929532,0
1.51566E-5,2.250110099,0.121404386,0.840417251,0.010570147,0
1.56385E-5,2.501051085,0.125011905,0.827728476,0.010890455,0
1.61459E-5,2.750790514,0.128795554,0.815506773,0.011210762,0
1.66378E-5,3.00136032,0.132447255,0.80359645,0.011851377,0
1.71293E-5,3.251077795,0.13608105,0.792075354,0.0128123,0
1.76456E-5,3.5016859,0.139881325,0.780865639,0.013773222,0
1.80639E-5,3.751560531,0.142948267,0.769967305,0.014413837,0
1.86612E-5,4.001361229,0.147308897,0.759380352,0.014734145,0
1.91896E-5,4.25118032,0.151147583,0.74910478,0.014734145,0
1.9739E-5,4.500360365,0.155120841,0.739140589,0.015054452,0
2.04404E-5,4.751725494,0.160166331,0.729409933,0.01537476,0
2.09964E-5,5.000123632,0.164143934,0.720068504,0.01537476,0
2.16681E-5,5.251610048,0.168924794,0.710882765,0.015695067,0
2.2427E-5,5.500611044,0.174293732,0.702086253,0.01665599,0
2.30233E-5,5.750800749,0.178487438,0.693523276,0.017616912,0
2.3693E-5,6.000791983,0.183172202,0.685193835,0.018898142,0
2.44277E-5,6.251211688,0.188280795,0.677097929,0.019538757,0
2.51772E-5,6.501532093,0.193459874,0.66923556,0.020819987,0
2.5944E-5,6.751655976,0.198723535,0.661606726,0.022101217,0
2.68232E-5,7.002478721,0.204716706,0.654211428,0.024023062,0
2.77914E-5,7.251085333,0.211265397,0.647127511,0.024663677,0
2.86116E-5,7.501896745,0.216770123,0.640199284,0.026265215,0
2.96807E-5,7.752597027,0.223888452,0.633504593,0.02818706,0
3.06855E-5,8.00049476,0.230519673,0.627121283,0.030108905,0
3.1801E-5,8.250618407,0.237814704,0.620893663,0.03203075,0
3.30629E-5,8.500487626,0.245984033,0.61489958,0.034913517,0
3.43442E-5,8.750386866,0.254189118,0.609139032,0.035874439,0
3.5592E-5,9.002246538,0.262094096,0.603534174,0.037796284,0
3.6765E-5,9.251911837,0.269448275,0.598162852,0.040999359,0
3.7911E-5,9.501750345,0.276563138,0.592947221,0.043241512,0
3.8781E-5,9.751313668,0.281917765,0.58788728,0.044522742,0
3.96365E-5,10.002245281,0.287144834,0.582905184,0.047085202,0
4.03368E-5,10.250202285,0.291394704,0.578078779,0.050288277,0
4.09802E-5,10.502662005,0.295277545,0.573252374,0.053811659,0
4.14875E-5,10.754126504,0.298323698,0.568503814,0.056694427,0
4.20492E-5,11.000614958,0.301681685,0.563910945,0.060217809,0
4.27808E-5,11.250850618,0.306030991,0.559318076,0.062459962,0
4.3574E-5,11.500996539,0.310715318,0.554803052,0.065022422,0
4.43202E-5,11.751799162,0.315093485,0.550365873,0.069186419,0
4.51573E-5,12.002594228,0.319972104,0.546006539,0.071748879,0
4.60598E-5,12.253841647,0.325193216,0.541725051,0.073670724,0
4.68895E-5,12.500147742,0.3299576,0.537599253,0.075592569,0
4.7678E-5,12.750824859,0.334453975,0.533473455,0.078475336,0
4.83979E-5,13.000876876,0.338533045,0.529425502,0.081358104,0
4.91893E-5,13.254811125,0.342988089,0.525377549,0.082639334,0
5.01185E-5,13.502798841,0.348180843,0.521485287,0.083600256,0
5.09066E-5,13.75038971,0.352552851,0.51767087,0.087443946,0
5.15052E-5,14.001487224,0.355853951,0.513856453,0.090006406,0
5.19132E-5,14.254814232,0.358094155,0.510042036,0.094490711,0
5.23428E-5,14.505001288,0.360444722,0.506305465,0.095771941,0
5.28973E-5,14.752186786,0.363465984,0.502646738,0.098654709,0
5.32815E-5,15.001737347,0.365551257,0.498988012,0.101537476,0
5.36119E-5,15.252941308,0.367338666,0.495329285,0.103779628,0
5.40111E-5,15.505823046,0.369491465,0.491670559,0.106662396,0
5.45598E-5,15.75007849,0.372438968,0.488167523,0.107303011,0
5.51479E-5,16.002593006,0.375583094,0.484586642,0.108904548,0
5.56474E-5,16.251783878,0.378240461,0.481083606,0.111467008,0
5.60905E-5,16.503139297,0.380588716,0.47758057,0.114670083,0
5.67614E-5,16.751505135,0.384127587,0.474155379,0.119474696,0
5.74703E-5,17.003069241,0.387844296,0.470730188,0.122037156,0
5.79777E-5,17.251285349,0.390491174,0.467382843,0.124599616,0
5.87971E-5,17.502652621,0.394741366,0.464035497,0.126841768,0
5.94819E-5,17.751019392,0.39827012,0.460765997,0.130044843,0
6.01663E-5,18.00230505,0.401777089,0.457496497,0.132607303,0
6.08671E-5,18.256687674,0.405346375,0.454226997,0.136450993,0
6.1446E-5,18.501406223,0.40827881,0.451113187,0.138372838,0
6.21922E-5,18.755087986,0.412037063,0.447921532,0.141575913,0
6.26587E-5,19.004820349,0.414375059,0.444807722,0.143818065,0
6.32268E-5,19.250460112,0.417208749,0.441771758,0.146060218,0
6.37354E-5,19.504467709,0.419734646,0.438657948,0.149263293,0
6.43968E-5,19.754457571,0.423002939,0.435621983,0.152786675,0
6.50122E-5,20.000364767,0.426027223,0.432663864,0.156630365,0
6.57463E-5,20.255550238,0.429614052,0.4296279,0.15855221,0
6.64902E-5,20.50021425,0.433226041,0.426747626,0.161434978,0
6.71353E-5,20.754062527,0.436339508,0.423789506,0.165598975,0
6.75515E-5,21.003267335,0.438339389,0.420909232,0.169122357,0
6.82266E-5,21.254551714,0.441567884,0.418028958,0.17264574,0
6.89698E-5,21.501318595,0.445101183,0.41522653,0.176169122,0
6.93717E-5,21.750450458,0.447002159,0.412424101,0.178411275,0
6.99143E-5,22.001188519,0.44955838,0.409621672,0.181294042,0
7.04033E-5,22.253692636,0.451852379,0.406819243,0.183856502,0
7.11619E-5,22.501527424,0.455391988,0.40409466,0.18545804,0
7.16728E-5,22.751472136,0.457762841,0.401370076,0.188661115,0
7.21929E-5,23.003213328,0.460165815,0.398645493,0.191543882,0
7.28511E-5,23.256924119,0.463191409,0.395920909,0.194746957,0
7.32083E-5,23.505121259,0.464826313,0.393274171,0.196348495,0
7.36768E-5,23.754736455,0.466962939,0.390627433,0.19955157,0
7.41476E-5,24.006086817,0.469101683,0.387980694,0.203715567,0
7.47942E-5,24.251965671,0.472025148,0.385411801,0.206278027,0
7.52878E-5,24.507217064,0.474245792,0.382765063,0.209160794,0
7.56341E-5,24.756300942,0.475798659,0.38019617,0.212684177,0
7.61375E-5,25.006688804,0.478047031,0.377627277,0.215246637,0
7.68097E-5,25.251295737,0.48103452,0.375136229,0.218770019,0
7.72306E-5,25.505680362,0.482896477,0.372567336,0.222293402,0
7.75786E-5,25.753409081,0.484431055,0.370076288,0.225816784,0
7.80193E-5,26.002498907,0.486367611,0.367585241,0.229660474,0
7.85766E-5,26.253078432,0.48880616,0.365094193,0.232863549,0
7.92181E-5,26.505664706,0.491598893,0.362603145,0.235746316,0
7.99217E-5,26.752168278,0.494644605,0.360189942,0.239269699,0
8.05338E-5,27.000895298,0.497279285,0.35777674,0.242472774,0
8.10353E-5,27.251294709,0.499427445,0.355363537,0.245996156,0
8.16347E-5,27.503591935,0.501983034,0.352950335,0.249519539,0
8.19954E-5,27.757156353,0.50351489,0.350537132,0.252402306,0
8.27376E-5,28.012531127,0.506651495,0.34812393,0.255285074,0
8.31747E-5,28.253016184,0.508489622,0.345866418,0.256886611,0
8.37138E-5,28.503446311,0.510747174,0.34353106,0.260089686,0
8.41685E-5,28.755169733,0.512643358,0.341195703,0.263933376,0
8.45913E-5,29.008409342,0.514399414,0.338860346,0.267777066,0
8.50898E-5,29.254363621,0.516462291,0.336602834,0.271300448,0
8.57253E-5,29.502000834,0.519079206,0.334345322,0.274823831,0
8.61979E-5,29.751401909,0.521016241,0.332087809,0.279308136,0
8.67356E-5,30.002146601,0.523210828,0.329830297,0.281550288,0
8.7224E-5,30.254366845,0.525195181,0.327572785,0.284433056,0
8.78089E-5,30.508222028,0.527560526,0.325315273,0.287636131,0
8.84234E-5,30.75500439,0.530033431,0.323135606,0.289878283,0
8.89736E-5,31.003510972,0.532236239,0.32095594,0.291800128,0
8.96032E-5,31.253553716,0.534744422,0.318776273,0.294362588,0
9.01672E-5,31.505179052,0.536980008,0.316596606,0.298206278,0
9.0628E-5,31.758276162,0.538798226,0.314416939,0.299807816,0
9.14478E-5,32.004013997,0.542015847,0.312315118,0.301409353,0
9.19186E-5,32.251510552,0.543853376,0.310213296,0.305253043,0
9.27957E-5,32.500817189,0.547256921,0.308111474,0.308456118,0
9.33652E-5,32.752217837,0.549453739,0.306009653,0.312620115,0
9.39904E-5,33.005166832,0.551852437,0.303907831,0.315502883,0
9.46389E-5,33.250446133,0.554327495,0.301883855,0.319026265,0
9.55137E-5,33.507138098,0.557644283,0.299782033,0.32222934,0
9.60567E-5,33.7563451,0.559690774,0.297758057,0.325432415,0
9.66912E-5,34.006890285,0.562070224,0.295734081,0.327994875,0
9.7236E-5,34.259102153,0.564102927,0.293710104,0.32991672,0
9.77596E-5,34.502904705,0.566047543,0.291763973,0.332799488,0
9.841E-5,34.758101514,0.568451205,0.289739997,0.336002562,0
9.88762E-5,35.004687544,0.570165688,0.287793866,0.33888533,0
9.93156E-5,35.252519783,0.571775572,0.285847735,0.34144779,0
9.97887E-5,35.501438934,0.573502041,0.283901604,0.344650865,0
1.00377E-4,35.751810607,0.575638749,0.281955473,0.348174247,0
1.00879E-4,36.003538191,0.577454977,0.280009341,0.350736707,0
1.01576E-4,36.256736112,0.579962811,0.27806321,0.35426009,0
1.02125E-4,36.501203975,0.581927134,0.276117079,0.35810378,0
1.02631E-4,36.757128268,0.583730168,0.274248793,0.360345932,0
1.03264E-4,37.004186131,0.585973098,0.272380508,0.363549007,0
1.03988E-4,37.252923501,0.588525721,0.270512222,0.366111467,0
1.04596E-4,37.503263049,0.590656199,0.268643936,0.370275464,0
1.05163E-4,37.755044131,0.592634084,0.26677565,0.374119154,0
1.05811E-4,38.008225418,0.594883036,0.264907364,0.377001922,0
1.06399E-4,38.252301519,0.596909002,0.263116924,0.379244074,0
