Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,UD contribution,anom contribution,bathy contribution,sst contribution,UD permutation importance,anom permutation importance,bathy permutation importance,sst permutation importance,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
RFBO_0,2758,0.4282,0.4655,500,0.7661,307,0.5083,0.7788,0.0102,12570,51.3493,3.9402,19.2721,25.4384,51.0396,5.9614,25.7482,17.2507,9.0112,0.3926,1.0000,0.0846,0.8877,0.0065,0.0000,2.325E-10,5.0000,0.1779,0.6972,0.0170,0.0163,4.354E-28,10.0000,0.2720,0.5689,0.0508,0.0456,1.17E-42,0.1455,0.0455,0.9660,0.0000,0.0000,5.016E-4,14.9633,0.3619,0.4835,0.0997,0.0814,7.848E-53,32.1888,0.5546,0.3064,0.3064,0.2932,1.271E-52,21.5374,0.4605,0.4033,0.1690,0.1336,8.842E-62,32.7457,0.5595,0.3019,0.3136,0.3029,1.07E-51,21.5750,0.4608,0.4029,0.1697,0.1336,6.682E-62,5.1207,0.1806,0.6932,0.0170,0.0163,1.241E-28,6.5033,0.2098,0.6519,0.0239,0.0195,6.294E-34
RFBO_1,2758,0.4349,0.4694,500,0.7673,307,0.4271,0.7579,0.0116,12571,53.2776,3.3657,17.6654,25.6913,51.1175,5.6972,24.8279,18.3575,9.0051,0.3901,1.0000,0.0823,0.8814,0.0065,0.0163,1.471E-8,5.0000,0.1780,0.6930,0.0149,0.0423,4.468E-24,10.0000,0.2731,0.5660,0.0508,0.0684,1.625E-38,0.0758,0.0356,0.9760,0.0000,0.0033,8.745E-3,14.8255,0.3596,0.4832,0.0993,0.1173,6.802E-45,31.9959,0.5508,0.3057,0.3057,0.3062,1.318E-49,20.9962,0.4512,0.4069,0.1642,0.1498,1.325E-56,31.9272,0.5501,0.3062,0.3038,0.3062,1.898E-49,21.3504,0.4560,0.4032,0.1697,0.1498,1.085E-57,5.5216,0.1901,0.6765,0.0152,0.0423,3.108E-26,6.5126,0.2112,0.6478,0.0221,0.0423,3.125E-30
RFBO_2,2758,0.4337,0.4697,500,0.7676,307,0.4230,0.7534,0.0103,12568,52.4743,4.2806,18.3650,24.8800,52.5073,6.1005,24.7586,16.6337,9.0075,0.3910,1.0000,0.0843,0.8896,0.0051,0.0065,3.133E-9,5.0000,0.1754,0.6980,0.0167,0.0130,1.386E-28,10.0000,0.2700,0.5684,0.0508,0.0456,9.563E-43,0.1592,0.0479,0.9652,0.0000,0.0000,4.412E-4,14.9693,0.3599,0.4826,0.0997,0.1010,1.356E-48,31.9773,0.5506,0.3055,0.3057,0.3322,1.735E-43,19.0239,0.4229,0.4299,0.1429,0.1531,1.351E-49,31.1057,0.5422,0.3127,0.2930,0.3127,8.351E-46,21.7395,0.4579,0.3995,0.1744,0.1694,5.813E-54,5.0808,0.1768,0.6953,0.0167,0.0130,5.987E-29,6.5963,0.2096,0.6496,0.0218,0.0293,2.139E-32
RFBO_3,2758,0.4279,0.4628,500,0.7657,307,0.5202,0.7791,0.0099,12569,51.2115,3.4787,18.9625,26.3473,51.9407,5.9449,25.4114,16.7030,9.0119,0.3927,1.0000,0.0851,0.8916,0.0054,0.0033,1.541E-9,5.0000,0.1757,0.6998,0.0178,0.0033,3.669E-30,10.0000,0.2702,0.5701,0.0508,0.0326,3.283E-45,0.1704,0.0509,0.9647,0.0000,0.0000,3.999E-4,14.9191,0.3602,0.4847,0.0993,0.0814,1.481E-52,32.2872,0.5557,0.3050,0.3049,0.3029,1.169E-50,21.1592,0.4529,0.4074,0.1657,0.1433,4.404E-58,32.4558,0.5569,0.3035,0.3078,0.3029,3.824E-51,20.9924,0.4513,0.4091,0.1646,0.1336,5.069E-60,4.7750,0.1705,0.7075,0.0170,0.0033,4.025E-29,6.5564,0.2094,0.6523,0.0236,0.0130,3.886E-35
RFBO_4,2758,0.4344,0.4713,500,0.7674,307,0.4388,0.7595,0.0112,12568,51.7307,3.7011,19.6396,24.9286,51.5856,5.7778,25.3026,17.3341,9.0061,0.3905,1.0000,0.0830,0.8870,0.0062,0.0098,5.565E-9,5.0000,0.1760,0.6941,0.0160,0.0261,9.737E-27,10.0000,0.2713,0.5654,0.0504,0.0619,6.202E-40,0.1247,0.0429,0.9693,0.0000,0.0000,9.076E-4,15.2062,0.3704,0.4768,0.0997,0.1205,1.341E-45,31.9371,0.5527,0.3067,0.3067,0.3160,6.496E-47,22.9617,0.4788,0.3866,0.1813,0.1954,2.08E-51,31.7992,0.5511,0.3078,0.3049,0.3094,4.099E-48,22.0935,0.4696,0.3954,0.1751,0.1759,1.498E-53,5.1850,0.1802,0.6879,0.0160,0.0293,5.53E-27,6.4956,0.2077,0.6486,0.0228,0.0391,1.032E-30
RFBO_5,2759,0.4263,0.4625,500,0.7655,306,0.5434,0.7874,0.0098,12570,52.2016,3.9487,19.2389,24.6109,49.9780,5.3759,24.8416,19.8045,9.0132,0.3933,1.0000,0.0859,0.8920,0.0054,0.0000,5.719E-10,5.0000,0.1758,0.7006,0.0178,0.0033,5.738E-30,10.0000,0.2709,0.5710,0.0529,0.0392,1.737E-43,0.1498,0.0487,0.9675,0.0000,0.0000,6.777E-4,14.9555,0.3592,0.4846,0.0997,0.0882,7.775E-51,32.0976,0.5547,0.3070,0.3070,0.2680,9.374E-59,21.4095,0.4562,0.4048,0.1660,0.1503,6.455E-57,33.9410,0.5689,0.2924,0.3298,0.2908,4.002E-58,23.7616,0.4855,0.3807,0.1975,0.1634,6.25E-61,5.5131,0.1889,0.6839,0.0185,0.0033,2.826E-32,6.5643,0.2104,0.6531,0.0243,0.0065,3.396E-36
RFBO_6,2759,0.4354,0.4711,500,0.7677,306,0.4154,0.7504,0.0111,12569,52.6871,4.2251,18.8526,24.2353,50.9423,5.2400,25.2812,18.5365,9.0058,0.3903,1.0000,0.0838,0.8875,0.0051,0.0065,2.23E-9,5.0000,0.1762,0.6950,0.0167,0.0196,1.088E-27,10.0000,0.2717,0.5658,0.0533,0.0686,2.154E-38,0.1550,0.0474,0.9656,0.0000,0.0000,4.762E-4,14.7089,0.3556,0.4843,0.0997,0.1144,3.968E-45,32.0621,0.5550,0.3044,0.3045,0.3333,1.886E-43,19.9846,0.4361,0.4169,0.1511,0.1961,3.299E-43,30.9139,0.5466,0.3137,0.2896,0.3137,4.086E-45,18.4118,0.4146,0.4352,0.1377,0.1536,5.332E-48,5.1511,0.1799,0.6901,0.0167,0.0196,2.375E-28,6.5365,0.2077,0.6484,0.0221,0.0327,7.736E-32
RFBO_7,2759,0.4326,0.4684,500,0.7669,306,0.4389,0.7602,0.0107,12570,50.0729,3.8124,21.4114,24.7034,50.1930,5.3353,23.9683,20.5034,9.0059,0.3904,1.0000,0.0814,0.8858,0.0051,0.0065,1.608E-9,5.0000,0.1781,0.6941,0.0178,0.0098,1.292E-29,10.0000,0.2720,0.5663,0.0529,0.0490,2.753E-42,0.1227,0.0434,0.9696,0.0000,0.0000,9.778E-4,14.8230,0.3580,0.4831,0.0997,0.1144,2.122E-45,32.0391,0.5534,0.3056,0.3055,0.3203,4.035E-46,21.5684,0.4608,0.4009,0.1667,0.2026,8.933E-46,31.4203,0.5489,0.3106,0.2961,0.3105,7.52E-47,25.5194,0.5010,0.3619,0.2146,0.2288,1.622E-50,5.1184,0.1803,0.6903,0.0178,0.0098,3.876E-30,6.5239,0.2109,0.6484,0.0246,0.0131,1.289E-35
RFBO_8,2759,0.4315,0.4687,500,0.7671,306,0.4684,0.7685,0.0108,12570,50.7389,4.7800,19.7733,24.7078,50.4660,5.6526,25.2926,18.5888,9.0081,0.3914,1.0000,0.0852,0.8847,0.0058,0.0065,1.29E-9,5.0000,0.1780,0.6956,0.0178,0.0131,8.364E-29,10.0000,0.2732,0.5679,0.0497,0.0621,2.531E-39,0.2261,0.0522,0.9534,0.0000,0.0065,4.407E-4,14.9589,0.3600,0.4827,0.0997,0.1013,2.377E-48,32.2632,0.5560,0.3045,0.3045,0.3105,7.98E-49,20.9660,0.4505,0.4080,0.1624,0.1797,4.846E-49,31.9266,0.5528,0.3072,0.2997,0.3072,9.923E-49,24.6277,0.4930,0.3708,0.2044,0.2059,2.389E-53,4.7516,0.1718,0.7041,0.0167,0.0131,1.109E-27,6.5246,0.2108,0.6498,0.0232,0.0196,3.997E-34
RFBO_9,2759,0.4337,0.4694,500,0.7671,306,0.4214,0.7558,0.0108,12573,51.3272,3.7271,18.2696,26.6762,49.8290,5.2246,23.3274,21.6190,9.0065,0.3905,1.0000,0.0808,0.8873,0.0054,0.0131,1.781E-8,5.0000,0.1770,0.6930,0.0156,0.0294,3.219E-26,10.0000,0.2768,0.5660,0.0515,0.0523,1.125E-41,0.1333,0.0448,0.9690,0.0000,0.0000,8.746E-4,14.7832,0.3596,0.4844,0.0997,0.0948,2.032E-49,32.0829,0.5528,0.3055,0.3055,0.3301,7.281E-44,21.3801,0.4559,0.4033,0.1689,0.1634,3.77E-54,31.0780,0.5446,0.3137,0.2885,0.3137,4.029E-45,19.0564,0.4274,0.4293,0.1457,0.1307,7.814E-55,5.2517,0.1828,0.6847,0.0159,0.0294,2.582E-27,6.4679,0.2093,0.6486,0.0261,0.0327,8.258E-32
