Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.64333E-7,0.000016433,0.001332128,1,0,0
1.68081E-7,0.000033241,0.001362485,0.999922408,0,0
1.81732E-7,0.000051415,0.001473063,0.999844817,0,0
2.86993E-7,0.000106029,0.002325282,0.999689634,0,0
4.52642E-7,0.000258072,0.003664945,0.999379268,0,0
5.90844E-7,0.000527961,0.004781255,0.99899131,0,0
8.27942E-7,0.001006822,0.006693474,0.998448169,0,0
1.1261E-6,0.002566293,0.009092969,0.997206704,0,0
1.3777E-6,0.00503695,0.011113188,0.995654873,0,0
1.67791E-6,0.010105779,0.013518418,0.993094351,0,0
2.32326E-6,0.02514569,0.01866905,0.987352576,0,0
2.89494E-6,0.050127311,0.02320914,0.979981378,0,0
3.71739E-6,0.100169971,0.029704089,0.968342644,0,0
4.7624E-6,0.200198453,0.037894279,0.950108628,0,0
5.57504E-6,0.300035859,0.04421546,0.935133457,0.000326264,0
6.17955E-6,0.400215326,0.048890778,0.921942893,0.000652529,0
6.68678E-6,0.500093293,0.052796064,0.909916201,0.001957586,0
7.17947E-6,0.60033916,0.056574017,0.898743017,0.001957586,0
7.6709E-6,0.700111333,0.060327304,0.888345748,0.00228385,0
7.91711E-6,0.750703966,0.062202156,0.883302297,0.00228385,0
8.14421E-6,0.800487171,0.063928085,0.87849162,0.00228385,0
8.5802E-6,0.900223115,0.06723274,0.869258225,0.003588907,0
8.99762E-6,1.000117107,0.070385734,0.860412787,0.004241436,0
9.38954E-6,1.10034106,0.073336402,0.851955307,0.004893964,0
9.85801E-6,1.200565812,0.076851148,0.843885785,0.005220228,0
1.02124E-5,1.300140275,0.079501048,0.836204221,0.005220228,0
1.06041E-5,1.400132736,0.082421158,0.828755431,0.005546493,0
1.10302E-5,1.500564315,0.085586937,0.821539417,0.006525285,0
1.19787E-5,1.750897536,0.09259591,0.804624457,0.010114192,0
1.30178E-5,2.001269469,0.100212153,0.789028554,0.011092985,0
1.39839E-5,2.250476127,0.107235451,0.774674115,0.011745514,0
1.48932E-5,2.500212442,0.113796043,0.761250776,0.012071778,0
1.58173E-5,2.750505286,0.120414623,0.748603352,0.012724307,0
1.67384E-5,3.001019372,0.12696174,0.736654252,0.014355628,0
1.76068E-5,3.251125683,0.133090262,0.725325885,0.014681892,0
1.83701E-5,3.501419438,0.138441432,0.714540658,0.016965742,0
1.91592E-5,3.750992944,0.143938018,0.704220981,0.019249592,0
1.9958E-5,4.001293093,0.149467378,0.694289261,0.020880914,0
2.08992E-5,4.250427711,0.15593603,0.684823091,0.023164763,0
2.17271E-5,4.501708459,0.161585524,0.675667287,0.024469821,0
2.24831E-5,4.7515118,0.166711604,0.666899441,0.026427406,0
2.33043E-5,5.000820347,0.172243926,0.658441962,0.030016313,0
2.42497E-5,5.25106123,0.178567081,0.650294848,0.031647635,0
2.50569E-5,5.500230099,0.183928069,0.642458101,0.032300163,0
2.59665E-5,5.752466737,0.189927081,0.634776536,0.032952692,0
2.6877E-5,6.0010414,0.195887839,0.62748293,0.033931485,0
2.78244E-5,6.250019555,0.202044341,0.620422098,0.036541599,0
2.88087E-5,6.50128055,0.208390041,0.613516449,0.039804241,0
2.963E-5,6.75250766,0.213645793,0.606843575,0.041435563,0
3.04503E-5,7.002018825,0.218860807,0.600403476,0.043393148,0
3.12468E-5,7.251942769,0.223891557,0.59411856,0.045350734,0
3.20712E-5,7.502156311,0.229064327,0.587988827,0.046655791,0
3.28891E-5,7.752260402,0.234162553,0.582014277,0.048939641,0
3.37138E-5,8.002006833,0.239268604,0.57619491,0.054486134,0
3.45407E-5,8.251264291,0.244353927,0.570530726,0.056443719,0
3.53281E-5,8.502798652,0.249165057,0.564944134,0.059380098,0
3.62419E-5,8.753526935,0.254709629,0.559512725,0.061663948,0
3.72359E-5,9.003287659,0.260694952,0.554236499,0.063295269,0
3.80837E-5,9.251866408,0.265762048,0.549115456,0.064274062,0
3.91023E-5,9.503167156,0.271803605,0.544072005,0.067862969,0
3.99859E-5,9.752608037,0.277004209,0.539183737,0.070473083,0
4.06662E-5,10.002692176,0.280983061,0.53437306,0.072104405,0
4.14215E-5,10.253116138,0.285374663,0.529639975,0.073735726,0
4.23747E-5,10.500094219,0.290878635,0.525062073,0.076019576,0
4.32662E-5,10.753005857,0.295988501,0.520484171,0.079934747,0
4.39714E-5,11.001831949,0.300003902,0.516061453,0.082218597,0
4.47724E-5,11.250280191,0.304537351,0.511716325,0.084176183,0
4.56463E-5,11.503692663,0.309449781,0.507371198,0.086133768,0
4.64257E-5,11.752543377,0.313801895,0.503181254,0.089070147,0
4.7241E-5,12.000637828,0.318325293,0.499068901,0.091680261,0
4.81858E-5,12.253418069,0.323529461,0.494956549,0.094942904,0
4.89734E-5,12.501351567,0.327837719,0.490999379,0.097553018,0
4.96353E-5,12.752918333,0.331436608,0.48704221,0.100489396,0
5.04664E-5,13.003503722,0.335928644,0.483162632,0.102773246,0
5.1502E-5,13.253520769,0.341483995,0.479360646,0.104078303,0
5.23346E-5,13.502831374,0.345916401,0.475636251,0.107014682,0
5.30166E-5,13.750310614,0.34952509,0.471989448,0.108646003,0
5.37159E-5,14.001146787,0.353204077,0.468342644,0.110603589,0
5.46232E-5,14.250509271,0.35794695,0.464773433,0.112887439,0
5.57313E-5,14.504546086,0.363692425,0.461204221,0.115823817,0
5.66932E-5,14.752001614,0.368637849,0.457790192,0.117455139,0
5.75503E-5,15.003124848,0.373011874,0.454376164,0.119738989,0
5.8403E-5,15.252255499,0.377333842,0.451039727,0.12137031,0
5.9223E-5,15.505237226,0.381461852,0.44770329,0.12365416,0
5.99853E-5,15.75541763,0.38527467,0.444444444,0.12822186,0
6.08935E-5,16.003012508,0.38978682,0.441263191,0.131810767,0
6.16442E-5,16.254198022,0.39349129,0.438081937,0.135399674,0
6.24599E-5,16.502508035,0.397491353,0.434978274,0.137030995,0
6.32513E-5,16.754046794,0.401346427,0.431874612,0.138988581,0
6.39253E-5,17.0020136,0.404610605,0.428848541,0.142251223,0
6.48916E-5,17.253615323,0.409259205,0.425822471,0.144861338,0
6.54851E-5,17.501429856,0.41209642,0.422873991,0.146166395,0
6.67716E-5,17.752869264,0.418199515,0.419925512,0.14812398,0
6.75903E-5,18.001515487,0.422050752,0.417054624,0.150081566,0
6.84385E-5,18.253497635,0.426013463,0.414183737,0.153670473,0
6.92662E-5,18.501417097,0.429854308,0.411390441,0.156280587,0
7.00504E-5,18.751999892,0.433469393,0.408597145,0.160848287,0
7.09421E-5,19.00579199,0.437552523,0.405803849,0.164763458,0
7.18284E-5,19.255770317,0.441581788,0.403088144,0.168026101,0
7.27048E-5,19.501438394,0.445537487,0.400450031,0.169004894,0
7.3518E-5,19.75004847,0.449183046,0.397811918,0.170309951,0
