Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.73251E-7,0.000037325,0.003778958,1,0,0
4.00321E-7,0.000077357,0.004052465,0.999922246,0,0
4.15717E-7,0.000118929,0.004207989,0.999844491,0,0
5.4956E-7,0.000280194,0.005559016,0.999611228,0,0
6.77147E-7,0.000523329,0.006845183,0.99930021,0,0
8.10164E-7,0.001035452,0.008184311,0.998755929,0,0
1.18529E-6,0.002546831,0.011951111,0.997667366,0,0
1.49054E-6,0.005123914,0.015005694,0.996190032,0,0
1.9654E-6,0.010157693,0.019738813,0.993935153,0,0
3.26544E-6,0.025217032,0.032580799,0.989269886,0,0
4.73619E-6,0.050132484,0.046906347,0.98444911,0,0
6.82399E-6,0.100565705,0.066878505,0.977528964,0,0
8.10254E-6,0.200206915,0.078902118,0.967420885,0.000652529,0
8.71589E-6,0.300234734,0.084615058,0.958168105,0.000652529,0
9.36195E-6,0.400573557,0.09059427,0.949537361,0.001305057,0
9.88183E-6,0.500857623,0.095377421,0.941450898,0.001631321,0
1.03513E-5,0.600220959,0.099675291,0.933830962,0.003262643,0
1.08345E-5,0.700704074,0.104076786,0.926444289,0.003262643,0
1.10845E-5,0.750100705,0.106345987,0.922945339,0.003915171,0
1.12694E-5,0.800365329,0.108020661,0.919446388,0.004241436,0
1.17082E-5,0.900471779,0.111982173,0.912681751,0.004241436,0
1.21336E-5,1.000456282,0.11580562,0.906150377,0.0045677,0
1.27075E-5,1.101029632,0.120937766,0.899852267,0.005872757,0
1.31532E-5,1.200515772,0.124903652,0.893865174,0.006199021,0
1.35855E-5,1.300953751,0.128732682,0.88803359,0.006199021,0
1.39848E-5,1.401375605,0.132254458,0.882357515,0.007504078,0
1.44838E-5,1.501001317,0.136635593,0.876914703,0.008482871,0
1.577E-5,1.751499721,0.147825891,0.864007464,0.009461664,0
1.71308E-5,2.000169774,0.159508465,0.852266542,0.011092985,0
1.83573E-5,2.250808454,0.169899945,0.841303165,0.013050571,0
1.97326E-5,2.501409217,0.181400053,0.831039577,0.014029364,0
2.09065E-5,2.750945742,0.191090135,0.821475779,0.015986949,0
2.18417E-5,3.000994095,0.198727426,0.812378509,0.020228385,0
2.28304E-5,3.25097947,0.206722983,0.80367001,0.021859706,0
2.36758E-5,3.502156482,0.213496274,0.795272529,0.024143556,0
2.45915E-5,3.750957843,0.220768043,0.787263821,0.026427406,0
2.5498E-5,4.001105706,0.227900324,0.779488376,0.027732463,0
2.64208E-5,4.250456967,0.235093694,0.772023948,0.030342577,0
2.7414E-5,4.500543598,0.24276116,0.764792784,0.03132137,0
2.85142E-5,4.752284134,0.251164989,0.757794884,0.031973899,0
2.94419E-5,5.001229335,0.258179196,0.751108001,0.032952692,0
3.06206E-5,5.250232271,0.26699586,0.744654381,0.034910277,0
3.19769E-5,5.500411262,0.277010607,0.738434025,0.036541599,0
3.30191E-5,5.750540479,0.284613969,0.732446933,0.036867863,0
3.40197E-5,6.002438256,0.291838118,0.726615349,0.037846656,0
3.51052E-5,6.250740057,0.299593073,0.721017028,0.039477977,0
3.63319E-5,6.500538603,0.308254456,0.715574217,0.04045677,0
3.74547E-5,6.751422942,0.316087785,0.710286914,0.042414356,0
3.88406E-5,7.0000788,0.325634824,0.705232875,0.044045677,0
3.97147E-5,7.251494588,0.331588253,0.70025659,0.046003263,0
4.06516E-5,7.500980757,0.337909912,0.695435814,0.047634584,0
4.15852E-5,7.751739123,0.344150713,0.690692792,0.050570962,0
4.25163E-5,8.000244166,0.350315465,0.68610528,0.053181077,0
4.34444E-5,8.2540744,0.356403092,0.681517767,0.058075041,0
4.42788E-5,8.504056106,0.361827407,0.677085763,0.060032626,0
4.53837E-5,8.75053056,0.368939932,0.672809268,0.063621533,0
4.63069E-5,9.002914503,0.374822284,0.668532774,0.066231648,0
4.70583E-5,9.250283904,0.379568857,0.664411788,0.06949429,0
4.78026E-5,9.50177604,0.384235635,0.660290802,0.072756933,0
4.84452E-5,9.752380552,0.388236567,0.65624757,0.076019576,0
4.92936E-5,10.001478868,0.393478432,0.652282093,0.077324633,0
5.00287E-5,10.254685829,0.397984432,0.648316616,0.079934747,0
5.06541E-5,10.501490021,0.401790981,0.644506648,0.08091354,0
5.12238E-5,10.750988405,0.405237988,0.64069668,0.083849918,0
5.17917E-5,11.003289524,0.408654266,0.636886712,0.084502447,0
5.22456E-5,11.253099499,0.411370968,0.633154498,0.087438825,0
5.27422E-5,11.505130794,0.414328407,0.629422284,0.090375204,0
5.33385E-5,11.754462964,0.417860384,0.625767825,0.092006525,0
5.39904E-5,12.001210631,0.421697129,0.62219112,0.094616639,0
5.45656E-5,12.250802035,0.425061705,0.618614416,0.097879282,0
5.51337E-5,12.503155116,0.42836507,0.615037711,0.101468189,0
5.55844E-5,12.752360036,0.430972432,0.611538761,0.104404568,0
5.61529E-5,13.003602353,0.434244553,0.60803981,0.107014682,0
5.65559E-5,13.251558765,0.4365524,0.604618614,0.108319739,0
5.69746E-5,13.501366091,0.438940297,0.601197419,0.110929853,0
5.73184E-5,13.752903859,0.440893647,0.597776223,0.11451876,0
5.78386E-5,14.000493676,0.443836275,0.594432781,0.118107667,0
5.85021E-5,14.250879552,0.447566505,0.59108934,0.120717781,0
5.8944E-5,14.503431877,0.450037508,0.587745898,0.122349103,0
5.94677E-5,14.751978399,0.45295114,0.584480211,0.123980424,0
6.01182E-5,15.003294044,0.456549191,0.581214525,0.125285481,0
6.06868E-5,15.250913788,0.459674274,0.578026592,0.128548124,0
6.11889E-5,15.500954917,0.462419413,0.57483866,0.131158238,0
6.1773E-5,15.753229082,0.465594925,0.571650727,0.133768352,0
6.22225E-5,16.00132556,0.468026321,0.568540549,0.137357259,0
6.27189E-5,16.251223633,0.470698219,0.565430371,0.140293638,0
6.31944E-5,16.503022462,0.473244555,0.562320193,0.143230016,0
6.35617E-5,16.750193749,0.475203721,0.559287769,0.144861338,0
6.40653E-5,17.005468167,0.477877496,0.556177591,0.148450245,0
6.46256E-5,17.256380241,0.4808366,0.553145168,0.151386623,0
6.50819E-5,17.50284719,0.483234269,0.550190498,0.155954323,0
6.56815E-5,17.751285916,0.486367572,0.547235829,0.158890701,0
6.60218E-5,18.001536046,0.488137518,0.54428116,0.16182708,0
6.66023E-5,18.253698971,0.491142988,0.541326491,0.16411093,0
6.70828E-5,18.500967667,0.493617061,0.538449576,0.166068515,0
6.75234E-5,18.750037184,0.495875105,0.535572662,0.169331158,0
6.8026E-5,19.000817981,0.498438798,0.532695747,0.171941272,0
6.84525E-5,19.253332583,0.500603629,0.529818832,0.174551387,0
6.88476E-5,19.500452131,0.502601078,0.527019672,0.177161501,0
6.93106E-5,19.756070724,0.504931621,0.524142757,0.179119086,0
6.98151E-5,20.006652922,0.507458873,0.521343597,0.181729201,0
7.02541E-5,20.251794362,0.509647362,0.518622191,0.184013051,0
7.07038E-5,20.505658315,0.511878753,0.515823031,0.1862969,0
7.11188E-5,20.753841987,0.513929443,0.513101625,0.191190865,0
7.16503E-5,21.003886098,0.516543107,0.510380219,0.193474715,0
7.20026E-5,21.25527433,0.518267302,0.507658813,0.197389886,0
