Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.77775E-8,0.000001778,0.000153452,1,0,0
2.76576E-8,0.000004544,0.000238725,0.999922372,0,0
5.59019E-8,0.000015313,0.000482454,0.999767117,0,0
1.54246E-7,0.000039681,0.001330632,0.999611862,0,0
1.74493E-7,0.00005713,0.001505172,0.999534234,0,0
2.15426E-7,0.000120281,0.001857925,0.999301351,0,0
2.74363E-7,0.000262804,0.002365623,0.998835585,0,0
3.60592E-7,0.00053206,0.003107952,0.998214563,0,0
5.10849E-7,0.001024108,0.004400172,0.997360658,0,0
7.70439E-7,0.002503135,0.006628709,0.995575221,0,0
9.50885E-7,0.005010415,0.008174873,0.993324018,0,0
1.33607E-6,0.010081981,0.011467331,0.989986027,0,0
2.05574E-6,0.025094293,0.017589499,0.983232417,0,0
2.80328E-6,0.050120327,0.023908717,0.975236764,0,0
3.94691E-6,0.100035466,0.033497597,0.963747865,0,0
5.60971E-6,0.200472692,0.047271735,0.947290793,0,0
6.47112E-6,0.300586613,0.054330039,0.934404596,0,0
7.10258E-6,0.400562679,0.059470855,0.922993324,0.000978793,0
7.68531E-6,0.500601745,0.064190184,0.912513585,0.001631321,0
8.17462E-6,0.600350458,0.068134715,0.902732495,0.001957586,0
8.70681E-6,0.700640152,0.072405997,0.893494799,0.002610114,0
8.93758E-6,0.750050417,0.074251988,0.889147648,0.002610114,0
9.21324E-6,0.800016705,0.076452334,0.884878125,0.003262643,0
9.83276E-6,0.900194453,0.081378239,0.876727216,0.003915171,0
1.03423E-5,1.000878285,0.08540977,0.868964447,0.004893964,0
1.07827E-5,1.100164087,0.088880054,0.861667443,0.005546493,0
1.13515E-5,1.200985055,0.093343433,0.854603322,0.005546493,0
1.18461E-5,1.300841493,0.097205828,0.84792734,0.007177814,0
1.23983E-5,1.400215522,0.101499187,0.841561869,0.008156607,0
1.28246E-5,1.501254675,0.104799433,0.835351653,0.008809135,0
1.39056E-5,1.750192148,0.113114824,0.820835274,0.010114192,0
1.48827E-5,2.000471636,0.120564072,0.807328055,0.010766721,0
1.57661E-5,2.25128791,0.127244471,0.794597112,0.011092985,0
1.65857E-5,2.500712501,0.133397484,0.782642447,0.011745514,0
1.75712E-5,2.750456292,0.14073913,0.771308803,0.012398042,0
1.84621E-5,3.000780261,0.147321781,0.760518553,0.012398042,0
1.92878E-5,3.250329393,0.153377743,0.750271697,0.0137031,0
2.01442E-5,3.500564341,0.159613812,0.740412979,0.014681892,0
2.1168E-5,3.750628383,0.167008507,0.731020028,0.015334421,0
2.20827E-5,4.00187388,0.173559773,0.722015215,0.016313214,0
2.29421E-5,4.251762254,0.179668332,0.713398541,0.016965742,0
2.39096E-5,4.50071945,0.186491093,0.705170005,0.018923328,0
2.49257E-5,4.752312517,0.193595516,0.697174352,0.021533442,0
2.57384E-5,5.00080083,0.199232874,0.689566837,0.022512235,0
2.66676E-5,5.252639578,0.205630919,0.682114578,0.024469821,0
2.76281E-5,5.50244538,0.212189898,0.67497283,0.026427406,0
2.83971E-5,5.751649174,0.217402327,0.668063965,0.029363785,0
2.93552E-5,6.002839449,0.223848488,0.661310356,0.031647635,0
3.01629E-5,6.252853002,0.229240979,0.654789629,0.033931485,0
3.10499E-5,6.500474004,0.235120166,0.648501785,0.03588907,0
3.16064E-5,6.751261308,0.238785699,0.64229157,0.039151713,0
