Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,Ert contribution,anom contribution,bathy contribution,sst contribution,Ert permutation importance,anom permutation importance,bathy permutation importance,sst permutation importance,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
RFBO_0,2758,0.4678,0.4973,500,0.7734,307,0.5554,0.7906,0.0099,12574,59.9547,4.6008,15.6363,19.8083,64.9369,5.3687,18.0456,11.6488,8.9736,0.3770,1.0000,0.0804,0.8650,0.0036,0.0000,2.209E-12,5.0000,0.1717,0.6770,0.0174,0.0098,4.192E-32,10.0000,0.2673,0.5486,0.0584,0.0586,8.467E-44,0.3182,0.0494,0.9279,0.0000,0.0000,5.24E-7,13.4274,0.3239,0.4871,0.0997,0.0814,5.602E-52,30.8023,0.5507,0.2981,0.2980,0.2541,0E0,20.5647,0.4340,0.3923,0.1773,0.1303,0E0,33.2021,0.5709,0.2799,0.3303,0.2801,0E0,27.1309,0.5161,0.3283,0.2491,0.1824,0E0,3.9918,0.1520,0.7130,0.0131,0.0098,3.356E-27,6.6314,0.2039,0.6276,0.0268,0.0326,3.761E-35
RFBO_1,2758,0.4758,0.5027,500,0.7748,307,0.4641,0.7667,0.0112,12576,59.9513,3.4463,15.7138,20.8885,64.3050,5.1562,17.5430,12.9958,8.9673,0.3745,1.0000,0.0779,0.8614,0.0047,0.0163,2.782E-10,5.0000,0.1707,0.6718,0.0149,0.0358,5.109E-28,10.0000,0.2677,0.5444,0.0591,0.0651,3.013E-43,0.0965,0.0268,0.9633,0.0000,0.0000,3.155E-4,13.2306,0.3207,0.4866,0.0997,0.0912,7.153E-50,30.7866,0.5513,0.2957,0.2959,0.3290,2.287E-47,25.5440,0.4984,0.3395,0.2266,0.2182,1.669E-60,29.9292,0.5425,0.3025,0.2864,0.3029,1.682E-51,20.7832,0.4362,0.3867,0.1846,0.1596,3.348E-60,4.2721,0.1560,0.6972,0.0112,0.0326,3.352E-25,6.5996,0.2034,0.6236,0.0268,0.0391,1.556E-34
RFBO_2,2758,0.4776,0.5071,500,0.7759,307,0.4290,0.7546,0.0103,12574,60.9682,4.5310,15.8430,18.6578,65.6162,5.4994,17.4916,11.3929,8.9653,0.3736,1.0000,0.0778,0.8627,0.0036,0.0000,1.384E-12,5.0000,0.1692,0.6720,0.0185,0.0163,1.405E-31,10.0000,0.2655,0.5437,0.0598,0.0684,1.098E-42,0.3067,0.0462,0.9294,0.0000,0.0000,6.828E-7,13.7403,0.3282,0.4774,0.0993,0.1336,1.054E-42,30.5193,0.5464,0.2967,0.2966,0.3388,1.015E-44,23.9897,0.4765,0.3530,0.2121,0.2182,5.671E-56,29.3100,0.5355,0.3063,0.2785,0.3062,2.152E-49,23.8682,0.4748,0.3541,0.2117,0.2150,1.955E-56,3.9676,0.1496,0.7092,0.0131,0.0098,1.068E-27,6.6339,0.2025,0.6224,0.0297,0.0293,1.229E-36
RFBO_3,2758,0.4696,0.4983,500,0.7738,307,0.5455,0.7842,0.0098,12574,60.4733,3.6297,16.3265,19.5705,65.3571,5.1333,18.3979,11.1118,8.9728,0.3767,1.0000,0.0798,0.8658,0.0036,0.0033,8.359E-12,5.0000,0.1706,0.6766,0.0185,0.0033,1.989E-33,10.0000,0.2668,0.5478,0.0584,0.0456,8.949E-47,0.2944,0.0472,0.9326,0.0000,0.0000,1.227E-6,13.2491,0.3210,0.4891,0.0997,0.0684,1.488E-54,30.7549,0.5500,0.2977,0.2977,0.2899,1.46E-56,24.1360,0.4810,0.3547,0.2132,0.2052,9.613E-59,31.1934,0.5544,0.2943,0.3035,0.2932,5.69E-57,18.3035,0.3983,0.4175,0.1555,0.1205,7.737E-61,4.0190,0.1519,0.7116,0.0138,0.0033,1.404E-28,6.6272,0.2027,0.6271,0.0283,0.0195,7.834E-38
RFBO_4,2758,0.4746,0.5044,500,0.7752,307,0.4779,0.7688,0.0108,12574,59.8696,3.7878,16.2619,20.0807,65.1278,5.0131,18.5246,11.3345,8.9665,0.3741,1.0000,0.0784,0.8642,0.0036,0.0033,6.104E-12,5.0000,0.1693,0.6731,0.0156,0.0261,1.319E-29,10.0000,0.2644,0.5441,0.0569,0.0749,2.855E-41,0.3262,0.0494,0.9269,0.0000,0.0000,4.326E-7,13.5013,0.3250,0.4816,0.0997,0.1042,4.374E-48,30.6657,0.5473,0.2967,0.2966,0.3062,1.108E-52,20.5483,0.4354,0.3893,0.1737,0.2150,3.437E-46,29.8833,0.5411,0.3029,0.2875,0.3029,2.391E-51,17.7554,0.3912,0.4217,0.1483,0.1531,1.02E-51,4.4467,0.1580,0.6924,0.0134,0.0195,3.838E-28,6.6419,0.2016,0.6231,0.0272,0.0358,3.073E-35
RFBO_5,2759,0.4666,0.4953,500,0.7730,306,0.5880,0.7982,0.0097,12576,60.1649,3.9278,16.3469,19.5604,63.7765,4.8206,17.6629,13.7400,8.9752,0.3776,1.0000,0.0804,0.8670,0.0029,0.0000,3.694E-12,5.0000,0.1721,0.6784,0.0181,0.0000,1.026E-33,10.0000,0.2662,0.5495,0.0605,0.0359,2.063E-48,0.3508,0.0515,0.9261,0.0000,0.0000,3.898E-7,13.7119,0.3296,0.4833,0.0997,0.1046,1.763E-47,30.8405,0.5504,0.2983,0.2983,0.2484,0E0,21.4093,0.4451,0.3837,0.1827,0.1601,7.989E-61,33.5365,0.5736,0.2778,0.3320,0.2778,0E0,28.9425,0.5328,0.3135,0.2682,0.2026,0E0,4.4310,0.1604,0.6982,0.0152,0.0000,6.438E-31,6.6454,0.2039,0.6285,0.0286,0.0098,1.781E-39
RFBO_6,2759,0.4765,0.5052,500,0.7754,306,0.4694,0.7627,0.0111,12575,63.6355,4.0255,15.4174,16.9215,64.2278,4.9269,17.9332,12.9120,8.9637,0.3730,1.0000,0.0776,0.8635,0.0040,0.0033,5.712E-12,5.0000,0.1668,0.6717,0.0174,0.0261,1.097E-29,10.0000,0.2631,0.5421,0.0594,0.0850,1.792E-39,0.2365,0.0415,0.9398,0.0000,0.0000,4.772E-6,13.6591,0.3259,0.4769,0.0997,0.1307,2.826E-43,30.4688,0.5482,0.2967,0.2968,0.3039,4.202E-53,20.1179,0.4305,0.3917,0.1693,0.2157,2.96E-45,29.6339,0.5401,0.3033,0.2845,0.3039,8.168E-51,14.9012,0.3443,0.4581,0.1142,0.1340,7.824E-47,3.9689,0.1478,0.7092,0.0127,0.0196,7.596E-26,6.6422,0.2005,0.6214,0.0297,0.0294,1.144E-36
RFBO_7,2759,0.4746,0.5023,500,0.7747,306,0.4753,0.7690,0.0106,12577,61.1265,3.7863,14.2112,20.8760,63.8461,4.9073,17.2400,14.0066,8.9676,0.3745,1.0000,0.0781,0.8627,0.0051,0.0098,4.565E-11,5.0000,0.1701,0.6731,0.0174,0.0131,6.204E-32,10.0000,0.2657,0.5447,0.0623,0.0621,1.091E-43,0.1951,0.0377,0.9449,0.0000,0.0000,1.199E-5,13.4813,0.3248,0.4825,0.0997,0.1176,8.244E-45,30.6393,0.5495,0.2970,0.2968,0.3007,7.627E-54,19.2603,0.4172,0.4038,0.1606,0.1895,6.353E-48,30.3559,0.5458,0.2993,0.2929,0.3007,5.021E-53,20.9988,0.4407,0.3845,0.1809,0.1928,1.804E-52,4.1431,0.1533,0.7034,0.0130,0.0098,2.309E-28,6.6318,0.2029,0.6238,0.0308,0.0196,3E-38
RFBO_8,2759,0.4734,0.5033,500,0.7749,306,0.4886,0.7727,0.0107,12575,59.1770,4.0781,16.5049,20.2400,64.2601,5.1319,17.9877,12.6203,8.9685,0.3750,1.0000,0.0784,0.8631,0.0033,0.0065,1.619E-11,5.0000,0.1696,0.6736,0.0185,0.0196,1.256E-30,10.0000,0.2657,0.5452,0.0605,0.0654,6.631E-43,0.2878,0.0457,0.9317,0.0000,0.0000,1.087E-6,13.5279,0.3243,0.4820,0.0997,0.1013,1.67E-48,30.6761,0.5510,0.2969,0.2968,0.3105,2.161E-51,23.5409,0.4727,0.3585,0.2048,0.2157,1.039E-54,30.1897,0.5461,0.3007,0.2910,0.3007,1.553E-52,20.0780,0.4292,0.3946,0.1722,0.1699,4.56E-55,4.4352,0.1590,0.6932,0.0145,0.0196,6.176E-28,6.6213,0.2032,0.6244,0.0286,0.0294,3.529E-36
RFBO_9,2759,0.4747,0.5033,500,0.7748,306,0.4702,0.7660,0.0106,12577,59.2906,4.0565,15.3212,21.3317,63.2077,4.9452,16.9532,14.8939,8.9675,0.3746,1.0000,0.0766,0.8630,0.0040,0.0033,5.111E-12,5.0000,0.1710,0.6711,0.0167,0.0261,8.852E-30,10.0000,0.2683,0.5439,0.0613,0.0654,3.729E-43,0.2730,0.0449,0.9348,0.0000,0.0000,1.921E-6,13.3050,0.3227,0.4850,0.0997,0.0817,2.982E-52,30.7202,0.5496,0.2968,0.2968,0.3105,2.081E-51,24.1378,0.4824,0.3531,0.2109,0.2353,1.376E-51,29.8755,0.5415,0.3035,0.2852,0.3039,9.474E-51,14.4667,0.3416,0.4671,0.1120,0.0948,1.502E-53,4.6914,0.1646,0.6816,0.0130,0.0261,2.512E-28,6.5747,0.2034,0.6237,0.0283,0.0294,2.685E-36
